,TikToker Name,YouTube Channel,Videos Published,First Video Publish Date,Total Views,Total Subscribers
0,patrickbarnes,https://www.youtube.com/channel/UCvH8Qx2bBK3Nd9m5vHne3wg,320,2015-10-22T20:47:28Z,130116957,426000
1,ramizeinn,https://www.youtube.com/channel/UCaDasYq37YjwAJWsNGWYpdw,112,2021-01-13T22:47:30Z,118379246,358000
2,flossybaby,https://www.youtube.com/channel/UC7LPnBMfg4pa4lVFVGWB6Hg,6,2020-08-20T19:49:47Z,28433,7030
3,simjiofficial,https://www.youtube.com/channel/UCshZhWW8AP9lH6b1AgGe2XQ,7,2021-08-03T13:00:13Z,8159677,156000
4,cookingwithlynja,https://www.youtube.com/channel/UCjvGPQTRr2eIEhthL5y31VQ,287,2020-04-14T23:38:34Z,1008492499,3300000
5,brandonspam_,https://www.youtube.com/channel/UC6mboRNUSgSjumTsQoRwsVQ,357,2020-05-30T21:33:09Z,314373638,705000
6,retirementhouse,https://www.youtube.com/channel/UCHON_8-Jh4pAv5y_8zRDHow,202,2021-09-24T19:17:55Z,753697,1970
7,tuckerbudzyn,https://www.youtube.com/channel/UCNSzfesc7IgWZwg4n6uXr1A,181,2018-09-21T15:39:00Z,1100367376,4560000
8,donnydust,https://www.youtube.com/channel/UCrbAnPwWsPKuadQ94wNORvw,163,2017-04-25T00:11:52Z,102890321,589000
9,vicblends,https://www.youtube.com/channel/UCR6Jv1wniCG_3gdCo_f8_qA,120,2020-11-25T20:00:10Z,239821714,1170000
10,comestayawhile,https://www.youtube.com/channel/UCaFbO8DnnXo4zeZoV2f6Q7g,9,2021-03-18T15:28:02Z,23259,823
11,sarbeeston,https://www.youtube.com/channel/UCFO7NbGd9mrINed0JT8IC7w,238,2020-04-18T03:01:10Z,1038785188,1320000
12,emily.the.engineer,https://www.youtube.com/channel/UC_4YBM08hcpJqLl3vvgTqXg,40,2020-07-11T22:04:14Z,37409876,238000
13,topperguild,https://www.youtube.com/channel/UCPuEAY09CtdTzFNWuqVZgDw,403,2020-01-25T01:10:49Z,7046300182,6690000
14,jamie.nyland,https://www.youtube.com/channel/UCaTzBPf2rmS3ClFbnmOzkqw,487,2018-01-11T19:54:44Z,712360421,771000
15,thrdfloor,https://www.youtube.com/channel/UClXzGQmG__cj_auW7Nk7ETg,19,2022-01-30T23:19:04Z,159458115,490000
16,caloriequeen14,https://www.youtube.com/channel/UCOEgshkYczZFxxxcZ93RiBA,220,2016-04-01T21:15:37Z,401270,9420
17,nabela,https://www.youtube.com/channel/UCx8rlHU4ylTLHGixMPvjgfw,79,2016-02-16T20:28:36Z,41835662,1060000
18,jaykindafunny8,https://www.youtube.com/channel/UCo1D69DoOnX1um64p4h9XUw,419,2019-01-02T18:52:40Z,828163640,867000
19,kodyantle,https://www.youtube.com/channel/UCtiPxFWKtzixXdvPI9sspew,495,2010-11-19T22:03:50Z,132690572,776000
20,qpark,https://www.youtube.com/channel/UCEq2mmBydypRUvTlTgm_ghA,301,2007-05-12T21:12:51Z,1167480599,9940000
21,klrdubs,https://www.youtube.com/channel/UCZpvLeZDtm8mmmvwgBrNVyg,465,2018-02-27T22:08:11Z,337835169,892000
22,emilymariko,https://www.youtube.com/channel/UCP31cb4nqpVYb_CildSgtiQ,477,2012-06-11T23:45:29Z,42063387,576000
23,leanbeefpatty,https://www.youtube.com/channel/UCxTclqPDlFzC6yMVtWYm_DA,17,2021-12-19T19:57:06Z,4502450,181000
24,lobeeston,https://www.youtube.com/channel/UCpkyh0kLgCzPv_XqS-xmP2w,196,2017-09-13T00:03:27Z,366298686,799000
25,otakoyakisoba,https://www.youtube.com/channel/UC8lVqk3EQ1wiUeyOMD24N7g,37,2021-01-02T00:00:04Z,18180044,429000
26,jakehunterofficial,https://www.youtube.com/channel/UCCCCbFV69YZKeTeDLdfhwZQ,352,2020-07-10T20:03:15Z,407003861,223000
27,scottsreality,https://www.youtube.com/channel/UCFXZBGS7J0IDINQc8xtMqCg,773,2021-04-28T20:26:14Z,4107458370,3040000
28,mistermainer,https://www.youtube.com/channel/UCkZqA6pP0V0wrqXmcGQJEUQ,82,2014-06-14T00:24:11Z,383738,1700
29,dudeperfect,https://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,288,2009-04-09T05:42:48Z,14249592505,57400000
30,bayashi.tiktok,https://www.youtube.com/channel/UCbCJmNKAL85O1VFeD6Wj60g,512,2021-01-27T02:25:26Z,281868779,1150000
31,cheekyboyos,https://www.youtube.com/channel/UC1AZlchD57wkvpWFMDgMUJQ,180,2020-10-20T21:01:42Z,727203952,1070000
32,newt,https://www.youtube.com/channel/UCOEXdtfmcbGuEXS2BFKrakA,52,2019-02-09T01:39:57Z,9690685,369000
33,goub,https://www.youtube.com/channel/UCu-fsx-DVnmn8la6XjYF62Q,436,2015-01-05T14:12:26Z,148326537,209000
34,kingcarlx,https://www.youtube.com/channel/UCUsG5bs9ezFDxFoXjWIfIjA,669,2018-12-22T18:26:57Z,331277264,481000
35,bentellect,https://www.youtube.com/channel/UCyQHab6hU_5cqhK6wRS173w,1000,2020-08-01T10:08:22Z,2517272474,2230000
36,jesseogn,https://www.youtube.com/channel/UCeOFPMK-i-eo-JdeNWHeCYQ,22,2020-08-24T02:04:44Z,136059,6910
37,karissaastevens,https://www.youtube.com/channel/UCP1w3f09_jJKq5TKIWyoT2g,61,2020-08-31T23:35:45Z,427693,12400
38,pudgywoke,https://www.youtube.com/channel/UCfHrAmCfDErTRPblk2w-qzw,1,2021-07-16T14:20:20Z,1380781,75700
39,itscamcasey,https://www.youtube.com/channel/UCAatjI5Yc8o7WZcHDbNw7eA,1542,2017-08-08T19:40:38Z,5893946859,5100000
40,alexgriswold,https://www.youtube.com/channel/UCK7mk2tt1FtBs5VqocHQtzg,171,2021-04-10T22:40:56Z,441719047,1220000
41,mndiaye_97,https://www.youtube.com/channel/UC5Yo88QF-chdugJbAnB2tUw,93,2020-12-28T21:45:00Z,230039977,1980000
42,anxietycouple,https://www.youtube.com/channel/UC8WUVP4GinwyR1wc5i_dmWQ,310,2018-12-06T10:00:07Z,54733906,518000
43,chefcuso,https://www.youtube.com/channel/UCiVQLmPxXRqpu6dQ2IWw0lQ,264,2020-02-12T04:42:11Z,248025642,453000
44,cierra_mistt,https://www.youtube.com/channel/UCUSiprPHb__2r3tb4kjSscw,31,2019-04-02T02:43:27Z,95825,9450
45,joemyheck,https://www.youtube.com/channel/UC8G0_pNYsiqPxy6y7xZ8SVA,54,2017-07-03T22:57:48Z,1085342,2750
46,martamie,https://www.youtube.com/channel/UC9_7lEOeLBLbPcZwbiG6qYw,222,2020-04-19T19:56:51Z,737199,7240
