day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-07-19,43996,7522,376,2758,86,1458,458,110,39859,7292,54,90.6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5
2021-07-20,10802,1697,63,527,14,240,238,22,9669,1559,53,89.51,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
2021-07-21,7579,1155,47,383,10,212,120,17,6691,1048,52,88.29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
2021-07-22,8940,1356,46,405,18,213,88,16,7720,1252,51,86.36,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2021-07-23,7215,1072,43,345,10,160,70,13,6118,957,50,84.8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2021-07-24,6350,774,16,268,9,106,56,21,5306,688,50,83.57,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
2021-07-25,5184,744,16,264,4,73,63,8,4312,646,49,83.18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-07-26,4757,624,9,240,7,55,54,4,3777,553,47,79.42,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-07-27,3959,531,10,221,3,47,38,7,3134,452,47,79.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-07-28,3117,423,7,160,7,40,35,5,2737,491,52,87.84,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-07-29,2467,343,7,144,5,21,26,6,2231,383,54,90.44,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
2021-07-30,1713,223,3,107,5,7,23,5,1482,263,51,86.57,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-07-31,1598,208,2,119,3,13,23,3,1301,178,48,81.43,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-08-01,1593,230,4,114,4,6,17,4,1307,198,49,82.08,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-08-02,1813,175,3,151,8,4,12,5,1574,253,52,86.82,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-08-03,1861,235,5,149,7,9,21,8,1505,191,48,80.91,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-08-04,1367,173,3,106,1,8,8,6,1080,140,47,79.03,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2021-08-05,1143,131,3,115,2,2,9,0,923,114,48,80.76,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-08-06,1103,101,0,109,6,10,7,0,929,157,50,84.26,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-08-07,1480,149,2,130,7,7,9,5,1181,113,47,79.84,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-08-08,1744,207,5,131,7,3,10,3,1370,204,47,78.56,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2021-08-09,1330,148,5,128,4,5,7,1,1002,108,45,75.37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-08-10,1316,147,4,100,6,3,6,4,1053,113,48,80.04,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-08-11,1177,130,5,87,2,4,4,3,843,102,42,71.65,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2021-08-12,1095,119,3,98,4,5,8,2,798,94,43,72.93,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-08-13,1074,102,4,105,4,3,4,2,928,81,51,86.43,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-08-14,1048,109,2,114,6,2,4,1,794,86,45,75.81,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-08-15,1247,149,1,119,4,7,7,5,923,120,44,74.02,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-08-16,1030,129,2,94,7,7,8,0,784,112,45,76.18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-08-17,1038,116,3,103,2,3,6,0,873,88,50,84.13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-08-18,816,92,2,102,6,2,6,6,608,89,44,74.61,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-08-19,874,117,0,92,6,0,4,2,665,90,45,76.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
