videoID,day,likes
-SVm-kf6uk8,2021-07-19,2758
-SVm-kf6uk8,2021-07-20,527
-SVm-kf6uk8,2021-07-21,383
-SVm-kf6uk8,2021-07-22,405
-SVm-kf6uk8,2021-07-23,345
-SVm-kf6uk8,2021-07-24,268
-SVm-kf6uk8,2021-07-25,264
-SVm-kf6uk8,2021-07-26,240
-SVm-kf6uk8,2021-07-27,221
-SVm-kf6uk8,2021-07-28,160
-SVm-kf6uk8,2021-07-29,144
-SVm-kf6uk8,2021-07-30,107
-SVm-kf6uk8,2021-07-31,119
-SVm-kf6uk8,2021-08-01,114
-SVm-kf6uk8,2021-08-02,151
-SVm-kf6uk8,2021-08-03,149
-SVm-kf6uk8,2021-08-04,106
-SVm-kf6uk8,2021-08-05,115
-SVm-kf6uk8,2021-08-06,109
-SVm-kf6uk8,2021-08-07,130
-SVm-kf6uk8,2021-08-08,131
-SVm-kf6uk8,2021-08-09,128
-SVm-kf6uk8,2021-08-10,100
-SVm-kf6uk8,2021-08-11,87
-SVm-kf6uk8,2021-08-12,98
-SVm-kf6uk8,2021-08-13,105
-SVm-kf6uk8,2021-08-14,114
-SVm-kf6uk8,2021-08-15,119
-SVm-kf6uk8,2021-08-16,94
-SVm-kf6uk8,2021-08-17,103
-SVm-kf6uk8,2021-08-18,102
-SVm-kf6uk8,2021-08-19,92
-SVm-kf6uk8,2021-08-20,90
-SVm-kf6uk8,2021-08-21,94
-SVm-kf6uk8,2021-08-22,69
-SVm-kf6uk8,2021-08-23,53
-SVm-kf6uk8,2021-08-24,39
-SVm-kf6uk8,2021-08-25,28
-SVm-kf6uk8,2021-08-26,25
-SVm-kf6uk8,2021-08-27,25
-SVm-kf6uk8,2021-08-28,32
-SVm-kf6uk8,2021-08-29,22
-SVm-kf6uk8,2021-08-30,25
-SVm-kf6uk8,2021-08-31,16
-SVm-kf6uk8,2021-09-01,17
-SVm-kf6uk8,2021-09-02,14
-SVm-kf6uk8,2021-09-03,25
-SVm-kf6uk8,2021-09-04,26
-SVm-kf6uk8,2021-09-05,23
-SVm-kf6uk8,2021-09-06,13
-SVm-kf6uk8,2021-09-07,30
-SVm-kf6uk8,2021-09-08,36
-SVm-kf6uk8,2021-09-09,23
-SVm-kf6uk8,2021-09-10,19
-SVm-kf6uk8,2021-09-11,23
-SVm-kf6uk8,2021-09-12,29
-SVm-kf6uk8,2021-09-13,37
-SVm-kf6uk8,2021-09-14,18
-SVm-kf6uk8,2021-09-15,23
-SVm-kf6uk8,2021-09-16,23
-SVm-kf6uk8,2021-09-17,18
-SVm-kf6uk8,2021-09-18,26
-SVm-kf6uk8,2021-09-19,20
-SVm-kf6uk8,2021-09-20,15
-SVm-kf6uk8,2021-09-21,62
-SVm-kf6uk8,2021-09-22,58
-SVm-kf6uk8,2021-09-23,46
-SVm-kf6uk8,2021-09-24,46
-SVm-kf6uk8,2021-09-25,40
-SVm-kf6uk8,2021-09-26,39
-SVm-kf6uk8,2021-09-27,38
-SVm-kf6uk8,2021-09-28,44
-SVm-kf6uk8,2021-09-29,38
-SVm-kf6uk8,2021-09-30,35
-SVm-kf6uk8,2021-10-01,49
-SVm-kf6uk8,2021-10-02,47
-SVm-kf6uk8,2021-10-03,49
-SVm-kf6uk8,2021-10-04,46
-SVm-kf6uk8,2021-10-05,48
-SVm-kf6uk8,2021-10-06,95
-SVm-kf6uk8,2021-10-07,77
-SVm-kf6uk8,2021-10-08,129
-SVm-kf6uk8,2021-10-09,108
-SVm-kf6uk8,2021-10-10,101
-SVm-kf6uk8,2021-10-11,73
-SVm-kf6uk8,2021-10-12,101
-SVm-kf6uk8,2021-10-13,59
-SVm-kf6uk8,2021-10-14,73
-SVm-kf6uk8,2021-10-15,54
-SVm-kf6uk8,2021-10-16,53
-SVm-kf6uk8,2021-10-17,56
-SVm-kf6uk8,2021-10-18,82
-SVm-kf6uk8,2021-10-19,81
-SVm-kf6uk8,2021-10-20,91
-SVm-kf6uk8,2021-10-21,108
-SVm-kf6uk8,2021-10-22,84
-SVm-kf6uk8,2021-10-23,84
-SVm-kf6uk8,2021-10-24,77
-SVm-kf6uk8,2021-10-25,75
-SVm-kf6uk8,2021-10-26,85
-SVm-kf6uk8,2021-10-27,76
-SVm-kf6uk8,2021-10-28,107
-SVm-kf6uk8,2021-10-29,81
-SVm-kf6uk8,2021-10-30,87
-SVm-kf6uk8,2021-10-31,88
-SVm-kf6uk8,2021-11-01,60
-SVm-kf6uk8,2021-11-02,68
-SVm-kf6uk8,2021-11-03,94
-SVm-kf6uk8,2021-11-04,114
-SVm-kf6uk8,2021-11-05,121
-SVm-kf6uk8,2021-11-06,158
-SVm-kf6uk8,2021-11-07,197
-SVm-kf6uk8,2021-11-08,96
-SVm-kf6uk8,2021-11-09,94
-SVm-kf6uk8,2021-11-10,93
-SVm-kf6uk8,2021-11-11,83
-SVm-kf6uk8,2021-11-12,80
-SVm-kf6uk8,2021-11-13,72
-SVm-kf6uk8,2021-11-14,63
-SVm-kf6uk8,2021-11-15,66
-SVm-kf6uk8,2021-11-16,83
-SVm-kf6uk8,2021-11-17,72
-SVm-kf6uk8,2021-11-18,90
-SVm-kf6uk8,2021-11-19,72
-SVm-kf6uk8,2021-11-20,88
-SVm-kf6uk8,2021-11-21,89
-SVm-kf6uk8,2021-11-22,61
-SVm-kf6uk8,2021-11-23,37
-SVm-kf6uk8,2021-11-24,36
-SVm-kf6uk8,2021-11-25,28
-SVm-kf6uk8,2021-11-26,27
-SVm-kf6uk8,2021-11-27,36
-SVm-kf6uk8,2021-11-28,44
-SVm-kf6uk8,2021-11-29,36
-SVm-kf6uk8,2021-11-30,29
-SVm-kf6uk8,2021-12-01,42
