day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2016-05-02,519,9,14,46,0,13,1,9,1700,38,196,37.51,0.0054,0.0276,477,372,434,2,12,0.0,0.0,0,5,0,0,0,0
2016-05-03,180,4,3,14,0,3,2,3,567,18,189,36.09,0.008100000000000001,0.035699999999999996,153,123,140,1,5,0.0,0.0,0,0,0,0,0,0
2016-05-04,71,0,1,4,0,1,0,0,247,0,208,39.87,0.0,0.030299999999999997,71,57,66,0,2,0.0,0.0,0,1,0,0,0,0
2016-05-05,62,3,0,1,0,1,0,1,260,19,251,48.02,0.0,0.0317,67,51,63,0,2,0.0,0.0,0,0,0,0,0,0
2016-05-06,30,0,0,0,0,0,0,0,116,0,232,44.29,0.0,0.0667,15,15,15,0,1,0.0,0.0,0,0,0,0,0,0
2016-05-07,32,1,0,3,0,2,0,0,127,8,238,45.54,0.0,0.0294,36,28,34,0,1,0.0,0.0,0,0,0,0,0,0
2016-05-08,48,2,0,0,0,2,0,0,179,9,224,42.84,0.0,0.0377,57,45,53,0,2,0.0,0.0,0,0,0,0,0,0
2016-05-09,103,3,0,3,0,2,0,2,337,17,196,37.48,0.0,0.026699999999999998,163,129,150,0,4,0.0,0.0,0,0,0,0,0,0
2016-05-10,35,0,0,0,0,1,0,0,142,0,243,46.5,0.0,0.0,29,25,27,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-11,40,0,0,0,0,1,1,0,180,0,271,51.74999999999999,0.0,0.0217,51,41,46,0,1,0.0,0.0,0,0,0,0,0,0
2016-05-12,81,0,0,3,0,1,0,0,216,0,160,30.56,0.0,0.0417,52,42,48,0,2,0.0,0.0,0,0,0,0,0,0
2016-05-13,36,0,0,0,0,2,0,0,113,0,188,36.02,0.0,0.0,17,15,16,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-14,36,1,0,1,0,1,3,0,140,0,234,44.84,0.0,0.0,40,32,37,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-15,22,0,0,1,0,0,2,0,81,0,221,42.32,0.0,0.0,46,34,42,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-16,17,0,1,1,0,0,0,0,45,0,161,30.740000000000002,0.0,0.0,12,10,11,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-17,22,0,0,0,0,0,0,0,103,0,281,53.81,0.0,0.0435,26,20,23,0,1,0.0,0.0,0,0,0,0,1,0
2016-05-18,19,0,0,1,0,0,0,0,118,0,373,71.21,0.0,0.0263,42,32,38,0,1,0.0,0.0,0,0,0,0,0,0
2016-05-19,16,0,0,0,0,0,0,0,48,0,181,34.69,0.0,0.0,13,11,12,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-20,18,0,0,2,0,0,0,0,51,0,173,33.07,0.0,0.0,18,14,17,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-21,18,0,0,1,0,0,0,0,74,0,247,47.21,0.0,0.035699999999999996,31,25,28,0,1,0.0,0.0,0,0,0,0,0,0
2016-05-22,21,0,0,0,0,0,0,0,65,0,185,35.49,0.0,0.0,28,22,25,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-23,14,0,0,2,0,0,0,3,57,0,246,47.07,0.0667,0.0625,17,15,16,1,1,0.0,0.0,0,0,0,0,0,0
2016-05-24,13,0,0,0,0,0,0,0,59,0,272,52.03,0.0,0.0,5,5,5,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-25,16,0,0,0,0,0,0,0,69,0,260,49.7,0.0,0.0,10,8,9,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-26,21,1,0,0,0,0,1,0,106,1,305,58.32999999999999,0.0,0.0435,25,21,23,0,1,0.0,0.0,0,0,0,0,0,0
2016-05-27,20,0,0,0,0,0,0,0,94,0,282,53.849999999999994,0.0,0.0,50,38,46,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-28,14,1,0,1,0,0,0,0,48,0,209,39.9,0.0,0.0,12,10,11,0,0,0.0,0.0,0,0,0,0,0,0
2016-05-29,14,0,0,0,0,0,0,0,66,0,284,54.28999999999999,0.0,0.0,2,2,2,0,0,0.0,0.0,0,0,0,0,1,0
2016-05-30,17,1,0,0,0,0,0,0,62,1,219,41.98,0.0,0.11109999999999999,10,8,9,0,1,0.0,0.0,0,0,0,0,0,0
2016-05-31,12,0,0,0,0,0,0,0,47,0,238,45.54,0.0,0.16670000000000001,6,6,6,0,1,0.0,0.0,0,0,0,0,0,0
2016-06-01,15,0,0,1,0,0,0,0,57,0,230,44.05,0.0,0.0,3,3,3,0,0,0.0,0.0,0,0,0,0,0,0
2016-06-02,19,0,0,1,0,0,0,0,116,0,366,70.03,0.0,0.047599999999999996,22,18,21,0,1,0.0,0.0,0,0,0,0,0,0
2016-06-03,12,1,0,0,0,0,0,0,42,3,214,41.01,0.0,0.0,4,4,4,0,0,0.0,0.0,0,0,0,0,0,0
2016-06-04,21,2,0,1,0,0,0,0,98,17,282,53.87,0.0,0.11109999999999999,9,7,9,0,1,0.0,0.0,0,0,0,0,0,0
2016-06-05,15,1,0,0,0,0,0,0,48,6,195,37.39,0.0,0.0,6,6,6,0,0,0.0,0.0,0,0,0,0,0,0
2016-06-06,15,0,0,0,0,0,0,0,53,0,215,41.1,0.0,0.2,16,14,15,0,3,0.0,0.0,0,0,0,0,0,0
2016-06-07,13,0,0,0,0,0,0,0,47,0,221,42.2,0.0,0.0,22,16,21,0,0,0.0,0.0,0,0,0,0,0,0
