day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-04-07,25502,2314,198,2256,35,1803,306,145,117513,11089,276,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16
2020-04-08,21960,1761,98,1421,33,901,400,117,96874,8478,264,69.29,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8
2020-04-09,5479,501,33,351,6,211,208,33,24041,2428,263,68.92,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4
2020-04-10,3239,281,14,170,3,114,123,11,14731,1320,272,71.43,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2
2020-04-11,2257,191,4,117,6,67,85,14,10021,891,266,69.74,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2020-04-12,2232,200,7,98,4,86,70,16,10008,918,269,70.43,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
2020-04-13,1874,136,8,89,2,59,59,13,8286,690,265,69.46,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
2020-04-14,2119,148,7,111,2,76,54,16,9270,645,262,68.71,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
2020-04-15,1168,125,1,63,3,38,26,5,5269,552,270,70.86,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-04-16,913,96,2,42,0,32,28,1,4098,444,269,70.51,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-04-17,854,95,4,52,1,28,26,8,3929,502,276,72.28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-04-18,771,60,2,43,1,21,25,4,3396,299,264,69.18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-04-19,902,75,1,56,0,41,27,4,4096,405,272,71.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-20,747,53,2,48,1,34,27,4,3116,251,250,65.53,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-04-21,627,64,4,33,0,34,24,5,2922,326,279,73.22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-04-22,582,60,1,25,0,12,28,0,2654,293,273,71.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-04-23,507,46,0,18,0,17,12,2,2335,227,276,72.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-24,902,113,3,46,1,14,12,1,4148,529,275,72.24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-25,1856,220,5,93,1,51,27,5,8405,982,271,71.14,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
2020-04-26,2670,273,12,110,1,90,32,8,11823,1302,265,69.55,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2020-04-27,2666,245,11,117,3,84,32,10,11470,1132,258,67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
2020-04-28,2188,223,3,89,1,86,35,5,9350,1053,256,67.13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
