videoID,day,likes
-d1ZBrSBYmg,2020-04-07,2256
-d1ZBrSBYmg,2020-04-08,1421
-d1ZBrSBYmg,2020-04-09,351
-d1ZBrSBYmg,2020-04-10,170
-d1ZBrSBYmg,2020-04-11,117
-d1ZBrSBYmg,2020-04-12,98
-d1ZBrSBYmg,2020-04-13,89
-d1ZBrSBYmg,2020-04-14,111
-d1ZBrSBYmg,2020-04-15,63
-d1ZBrSBYmg,2020-04-16,42
-d1ZBrSBYmg,2020-04-17,52
-d1ZBrSBYmg,2020-04-18,43
-d1ZBrSBYmg,2020-04-19,56
-d1ZBrSBYmg,2020-04-20,48
-d1ZBrSBYmg,2020-04-21,33
-d1ZBrSBYmg,2020-04-22,25
-d1ZBrSBYmg,2020-04-23,18
-d1ZBrSBYmg,2020-04-24,46
-d1ZBrSBYmg,2020-04-25,93
-d1ZBrSBYmg,2020-04-26,110
-d1ZBrSBYmg,2020-04-27,117
-d1ZBrSBYmg,2020-04-28,89
-d1ZBrSBYmg,2020-04-29,107
-d1ZBrSBYmg,2020-04-30,62
-d1ZBrSBYmg,2020-05-01,63
-d1ZBrSBYmg,2020-05-02,64
-d1ZBrSBYmg,2020-05-03,96
-d1ZBrSBYmg,2020-05-04,121
-d1ZBrSBYmg,2020-05-05,58
-d1ZBrSBYmg,2020-05-06,42
-d1ZBrSBYmg,2020-05-07,39
-d1ZBrSBYmg,2020-05-08,28
-d1ZBrSBYmg,2020-05-09,33
-d1ZBrSBYmg,2020-05-10,24
-d1ZBrSBYmg,2020-05-11,31
-d1ZBrSBYmg,2020-05-12,45
-d1ZBrSBYmg,2020-05-13,48
-d1ZBrSBYmg,2020-05-14,55
-d1ZBrSBYmg,2020-05-15,51
-d1ZBrSBYmg,2020-05-16,65
-d1ZBrSBYmg,2020-05-17,79
-d1ZBrSBYmg,2020-05-18,115
-d1ZBrSBYmg,2020-05-19,128
-d1ZBrSBYmg,2020-05-20,210
-d1ZBrSBYmg,2020-05-21,287
-d1ZBrSBYmg,2020-05-22,211
-d1ZBrSBYmg,2020-05-23,324
-d1ZBrSBYmg,2020-05-24,315
-d1ZBrSBYmg,2020-05-25,274
-d1ZBrSBYmg,2020-05-26,235
-d1ZBrSBYmg,2020-05-27,222
-d1ZBrSBYmg,2020-05-28,274
-d1ZBrSBYmg,2020-05-29,209
-d1ZBrSBYmg,2020-05-30,147
-d1ZBrSBYmg,2020-05-31,84
-d1ZBrSBYmg,2020-06-01,79
-d1ZBrSBYmg,2020-06-02,88
-d1ZBrSBYmg,2020-06-03,50
-d1ZBrSBYmg,2020-06-04,41
-d1ZBrSBYmg,2020-06-05,44
-d1ZBrSBYmg,2020-06-06,57
-d1ZBrSBYmg,2020-06-07,46
-d1ZBrSBYmg,2020-06-08,41
-d1ZBrSBYmg,2020-06-09,87
-d1ZBrSBYmg,2020-06-10,72
-d1ZBrSBYmg,2020-06-11,58
-d1ZBrSBYmg,2020-06-12,53
-d1ZBrSBYmg,2020-06-13,28
-d1ZBrSBYmg,2020-06-14,56
-d1ZBrSBYmg,2020-06-15,50
-d1ZBrSBYmg,2020-06-16,45
-d1ZBrSBYmg,2020-06-17,21
-d1ZBrSBYmg,2020-06-18,33
-d1ZBrSBYmg,2020-06-19,17
-d1ZBrSBYmg,2020-06-20,24
-d1ZBrSBYmg,2020-06-21,21
-d1ZBrSBYmg,2020-06-22,19
-d1ZBrSBYmg,2020-06-23,13
-d1ZBrSBYmg,2020-06-24,15
-d1ZBrSBYmg,2020-06-25,21
-d1ZBrSBYmg,2020-06-26,8
-d1ZBrSBYmg,2020-06-27,13
-d1ZBrSBYmg,2020-06-28,19
-d1ZBrSBYmg,2020-06-29,16
-d1ZBrSBYmg,2020-06-30,12
-d1ZBrSBYmg,2020-07-01,9
-d1ZBrSBYmg,2020-07-02,8
-d1ZBrSBYmg,2020-07-03,11
-d1ZBrSBYmg,2020-07-04,10
-d1ZBrSBYmg,2020-07-05,16
-d1ZBrSBYmg,2020-07-06,12
-d1ZBrSBYmg,2020-07-07,12
-d1ZBrSBYmg,2020-07-08,20
-d1ZBrSBYmg,2020-07-09,11
-d1ZBrSBYmg,2020-07-10,12
-d1ZBrSBYmg,2020-07-11,12
-d1ZBrSBYmg,2020-07-12,16
-d1ZBrSBYmg,2020-07-13,18
-d1ZBrSBYmg,2020-07-14,9
-d1ZBrSBYmg,2020-07-15,11
-d1ZBrSBYmg,2020-07-16,9
-d1ZBrSBYmg,2020-07-17,7
-d1ZBrSBYmg,2020-07-18,8
-d1ZBrSBYmg,2020-07-19,32
-d1ZBrSBYmg,2020-07-20,13
