day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,1,0,0,0,0,0,0,0,0,0,59,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,3,0,0,0,0,0,0,0,1,0,25,21.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,3,0,0,0,0,0,0,0,5,0,113,94.94,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0
2019-01-05,5,0,0,0,0,0,0,0,4,0,52,43.5,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2019-01-06,1,0,0,0,0,0,0,0,1,0,112,94.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,3,0,0,0,0,0,0,0,4,0,92,77.22,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2019-01-08,3,0,0,0,0,0,0,0,2,0,51,43.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,1,0,0,0,0,0,0,0,1,0,76,63.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,6,0,0,0,0,0,0,0,5,0,58,48.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,1,0,0,0,0,0,0,0,1,0,119,99.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-12,1,0,0,0,0,0,0,0,1,0,119,99.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,3,0,0,0,0,0,0,0,2,0,59,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,4,0,0,1,0,0,0,0,4,0,65,54.49,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2019-01-15,3,0,0,0,0,0,0,0,3,0,75,62.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,2,0,0,0,0,1,0,0,3,0,101,84.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,5,1,0,0,0,0,0,0,5,1,66,55.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-19,1,0,0,0,0,0,0,0,0,0,6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,4,0,0,0,0,0,0,0,2,0,30,25.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-21,2,1,0,0,0,0,0,0,2,0,70,58.879999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,2,0,0,0,0,0,0,0,2,0,61,51.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,1,0,0,0,0,0,0,0,1,0,119,99.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,1,0,0,0,0,0,0,0,0,0,44,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,1,0,0,1,0,0,0,0,0,0,15,13.170000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
