day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-03-24,46435,6427,168,3317,29,2645,367,144,377735,57764,488,63.72,0,0,0,0,0,0,0,0.1375,0.0048,80,13253,11,64,118,15
2021-03-25,34773,4112,83,1835,36,1255,548,132,264419,35399,456,59.56,0,0,0,0,0,0,0,0.0625,0.0032,48,8941,3,29,135,12
2021-03-26,28613,3081,53,1133,24,952,291,72,202625,24860,424,55.47,0,0,0,0,0,0,0,0.1,0.0018,20,5679,2,10,145,5
2021-03-27,30085,3436,47,1087,17,1038,283,72,219824,27419,438,57.22999999999999,0,0,0,0,0,0,0,0.1429,0.0033,28,6284,4,21,162,7
2021-03-28,34019,3855,48,1308,23,1167,286,89,249821,30696,440,57.52,0,0,0,0,0,0,0,0.11900000000000001,0.004,42,7271,5,29,218,3
2021-03-29,25425,2679,40,925,16,1029,221,88,181676,20798,428,55.97,0,0,0,0,0,0,0,0.0833,0.0046,36,5264,3,24,166,6
2021-03-30,18711,1853,26,680,14,759,202,39,131511,14122,421,55.05,0,0,0,0,0,0,0,0.07690000000000001,0.0016,13,3844,1,6,125,2
2021-03-31,16000,1512,25,567,5,603,192,31,110941,11729,416,54.31,0,0,0,0,0,0,0,0.0,0.0022,11,3214,0,7,108,1
2021-04-01,15798,1394,17,474,14,635,223,30,107771,10667,409,53.43,0,0,0,0,0,0,0,0.0909,0.0013,11,3028,1,4,131,2
2021-04-02,9178,866,6,277,7,386,125,26,63440,6203,414,54.14,0,0,0,0,0,0,0,0.0,0.0011,2,1830,0,2,64,4
2021-04-03,7667,755,11,251,4,307,117,13,53162,5788,416,54.31,0,0,0,0,0,0,0,0.0909,0.005699999999999999,11,1569,1,9,52,2
2021-04-04,8438,736,16,265,6,359,129,32,57102,5495,406,53.010000000000005,0,0,0,0,0,0,0,0.125,0.0037,8,1617,1,6,58,1
2021-04-05,6422,613,10,197,4,202,86,43,43768,4469,408,53.38,0,0,0,0,0,0,0,0.16670000000000001,0.0032,6,1255,1,4,52,0
2021-04-06,7723,756,8,198,5,268,85,11,51293,5710,398,52.019999999999996,0,0,0,0,0,0,0,0.46149999999999997,0.0062,13,1451,6,9,59,2
2021-04-07,9014,790,10,247,6,329,68,28,58439,5978,388,50.78,0,0,0,0,0,0,0,0.11109999999999999,0.0043,9,1630,1,7,80,0
2021-04-08,7512,684,7,215,4,265,84,32,48312,4908,385,50.38,0,0,0,0,0,0,0,0.1,0.0051,10,1366,1,7,65,1
2021-04-09,6331,527,3,175,7,249,53,14,40562,3721,384,50.19,0,0,0,0,0,0,0,0.2857,0.0036,7,1107,2,4,45,1
2021-04-10,6314,530,5,184,2,249,82,34,40809,4041,387,50.629999999999995,0,0,0,0,0,0,0,0.1429,0.0028000000000000004,7,1088,1,3,50,1
2021-04-11,7177,602,5,170,6,278,80,38,45308,4471,378,49.45,0,0,0,0,0,0,0,0.1429,0.004,7,1255,1,5,69,4
2021-04-12,7208,595,6,188,5,343,88,33,43682,4233,363,47.47,0,0,0,0,0,0,0,0.0,0.0025,3,1177,0,3,68,4
2021-04-13,6343,504,7,159,3,270,72,41,38442,3522,363,47.47,0,0,0,0,0,0,0,0.2,0.0029,5,1041,1,3,73,0
2021-04-14,4619,350,1,106,4,238,45,32,27560,2613,358,46.74,0,0,0,0,0,0,0,0.3333,0.0014000000000000002,3,691,1,1,36,1
2021-04-15,3814,289,1,81,5,155,64,18,22806,2157,358,46.84,0,0,0,0,0,0,0,0.0,0.0048,4,619,0,3,31,1
2021-04-16,2962,243,1,80,2,126,42,13,17770,1762,359,46.99,0,0,0,0,0,0,0,0.25,0.0022,4,462,1,1,21,0
2021-04-17,2978,274,4,76,0,128,49,18,17713,1911,356,46.59,0,0,0,0,0,0,0,0.0,0.0022,2,451,0,1,11,1
2021-04-18,3161,280,1,81,1,118,46,9,19168,2004,363,47.5,0,0,0,0,0,0,0,0.22219999999999998,0.011200000000000002,9,537,2,6,24,0
2021-04-19,2813,250,5,71,1,106,45,13,16671,1729,355,46.42,0,0,0,0,0,0,0,0.0,0.0,1,444,0,0,19,1
2021-04-20,3567,320,5,98,2,97,31,8,20987,2332,353,46.09,0,0,0,0,0,0,0,0.0,0.004,1,496,0,2,19,1
2021-04-21,5223,432,5,144,1,162,45,17,29176,3039,335,43.76,0,0,0,0,0,0,0,0.25,0.0060999999999999995,4,655,1,4,35,1
2021-04-22,6046,498,9,129,2,164,50,17,33757,3385,335,43.73,0,0,0,0,0,0,0,0.0,0.0039000000000000003,5,779,0,3,43,0
2021-04-23,6399,474,3,146,5,204,47,11,35009,3215,328,42.85,0,0,0,0,0,0,0,0.0,0.0025,2,798,0,2,49,1
2021-04-24,8205,593,6,157,3,221,37,15,42533,4164,311,40.6,0,0,0,0,0,0,0,0.2857,0.0054,7,928,2,5,62,2
2021-04-25,8621,657,18,187,5,217,61,17,44155,4431,307,40.12,0,0,0,0,0,0,0,0.0,0.0070999999999999995,3,982,0,7,65,1
2021-04-26,9076,609,11,170,6,219,67,17,45276,4067,299,39.08,0,0,0,0,0,0,0,0.2,0.0029,5,1052,1,3,55,1
2021-04-27,8430,656,6,157,5,229,53,18,42311,4395,301,39.31,0,0,0,0,0,0,0,0.0,0.0019,3,1028,0,2,58,0
2021-04-28,8705,568,9,177,5,216,43,23,44287,3848,305,39.85,0,0,0,0,0,0,0,0.4,0.005600000000000001,5,1063,2,6,52,0
2021-04-29,6894,526,8,144,4,210,62,18,37262,3598,324,42.34,0,0,0,0,0,0,0,0.22219999999999998,0.011699999999999999,9,858,2,10,38,0
2021-04-30,5370,387,2,95,0,128,49,7,29292,2858,327,42.73,0,0,0,0,0,0,0,0.3333,0.0049,6,614,2,3,33,1
2021-05-01,4121,302,1,99,0,81,42,13,22638,2091,329,43.03,0,0,0,0,0,0,0,0.0,0.0038,3,522,0,2,21,1
2021-05-02,4867,392,6,121,2,130,39,15,28345,2913,349,45.62,0,0,0,0,0,0,0,0.1429,0.0049,7,612,1,3,28,0
2021-05-03,5154,443,5,106,5,122,40,14,30511,3274,355,46.37,0,0,0,0,0,0,0,0.0,0.0,0,648,0,0,33,0
2021-05-04,3935,355,3,87,2,96,33,17,24472,2648,373,48.71,0,0,0,0,0,0,0,0.0,0.002,2,511,0,1,24,0
2021-05-05,3629,304,4,61,3,73,32,8,22916,2223,378,49.46,0,0,0,0,0,0,0,0.0,0.0,1,476,0,0,23,1
2021-05-06,3673,322,8,70,1,62,31,9,23174,2467,378,49.42,0,0,0,0,0,0,0,0.25,0.0042,4,479,1,2,20,0
2021-05-07,2807,255,3,51,1,61,34,3,17917,1857,382,50.0,0,0,0,0,0,0,0,0.5,0.0025,2,395,1,1,21,0
2021-05-08,2709,233,7,53,1,52,33,6,17468,1739,386,50.51,0,0,0,0,0,0,0,1.0,0.0027,1,375,1,1,8,0
2021-05-09,3125,309,2,74,2,50,26,8,20842,2572,400,52.239999999999995,0,0,0,0,0,0,0,0.0,0.0,0,395,0,0,10,0
2021-05-10,2808,278,5,59,1,53,29,6,18900,2201,403,52.72,0,0,0,0,0,0,0,0.0,0.0026,2,388,0,1,12,0
2021-05-11,2410,210,2,46,0,43,31,2,16600,1623,413,53.949999999999996,0,0,0,0,0,0,0,0.3333,0.0108,3,369,1,4,19,1
2021-05-12,2322,234,1,47,2,60,22,2,16173,1815,417,54.559999999999995,0,0,0,0,0,0,0,0.0,0.0,0,342,0,0,10,1
2021-05-13,2084,186,1,53,2,54,29,4,15242,1596,438,57.29,0,0,0,0,0,0,0,0.0,0.0027,1,364,0,1,10,0
2021-05-14,2087,204,2,45,1,42,30,3,15038,1711,432,56.44,0,0,0,0,0,0,0,0.0,0.0,1,308,0,0,13,0
2021-05-15,2413,243,6,44,1,44,29,3,17474,1935,434,56.720000000000006,0,0,0,0,0,0,0,1.0,0.0028000000000000004,1,357,1,1,13,0
2021-05-16,2381,245,2,49,2,47,23,4,17356,1995,437,57.10000000000001,0,0,0,0,0,0,0,0.0,0.0,0,416,0,0,10,0
