day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-12-14,29289,2114,108,1886,22,1323,177,77,195454,14979,400,66.62,0,0,0,0,0,0,0,0.044500000000000005,0.0194,337,16407,15,318,60,9
2019-12-15,56918,3477,117,1973,55,1365,373,125,352480,23901,371,61.82,0,0,0,0,0,0,0,0.0495,0.013500000000000002,404,27955,20,377,226,11
2019-12-16,31541,1770,56,890,35,689,246,75,177068,11401,336,56.05,0,0,0,0,0,0,0,0.058499999999999996,0.011899999999999999,205,15347,12,183,112,7
2019-12-17,19254,957,30,430,16,500,165,45,104753,6062,326,54.32,0,0,0,0,0,0,0,0.0547,0.0115,128,10267,7,118,93,3
2019-12-18,12793,692,20,356,13,333,127,44,71183,4278,333,55.55,0,0,0,0,0,0,0,0.0781,0.016,128,7167,10,115,78,2
2019-12-19,11939,535,11,273,12,413,78,64,64539,3367,324,53.97,0,0,0,0,0,0,0,0.009399999999999999,0.011899999999999999,106,8141,1,97,71,2
2019-12-20,9869,414,7,232,13,288,72,38,54685,2646,332,55.32,0,0,0,0,0,0,0,0.061,0.011200000000000002,82,6255,5,70,74,5
2019-12-21,7497,322,12,185,7,184,73,19,41371,1999,331,55.09,0,0,0,0,0,0,0,0.08960000000000001,0.0132,67,4714,6,62,63,1
2019-12-22,4965,290,2,107,9,88,54,12,28424,1751,343,57.15,0,0,0,0,0,0,0,0.0227,0.015700000000000002,44,2802,1,44,21,0
2019-12-23,3838,256,10,79,5,66,38,16,21841,1461,341,56.81,0,0,0,0,0,0,0,0.0,0.009399999999999999,24,2018,0,19,23,0
2019-12-24,3020,236,3,79,4,49,42,8,16641,1301,330,55.010000000000005,0,0,0,0,0,0,0,0.0,0.008,16,1622,0,13,19,0
2019-12-25,2562,181,2,72,4,45,24,12,13979,934,327,54.47,0,0,0,0,0,0,0,0.0,0.0105,16,1426,0,15,13,0
2019-12-26,2416,175,6,54,7,39,40,2,13687,1036,339,56.56,0,0,0,0,0,0,0,0.0,0.0097,12,1344,0,13,15,1
2019-12-27,1843,128,3,54,2,46,28,2,10917,773,355,59.14,0,0,0,0,0,0,0,0.1875,0.0126,16,950,3,12,11,0
2019-12-28,1226,63,1,31,2,27,31,4,7280,382,356,59.28,0,0,0,0,0,0,0,0.0,0.0149,10,604,0,9,4,0
2019-12-29,991,62,2,27,0,22,30,3,5624,388,340,56.66,0,0,0,0,0,0,0,0.1429,0.0282,14,496,2,14,2,0
2019-12-30,867,54,0,23,1,10,24,3,5158,355,356,59.4,0,0,0,0,0,0,0,0.0,0.0315,15,413,0,13,7,0
2019-12-31,702,38,0,16,0,9,21,1,4089,282,349,58.15,0,0,0,0,0,0,0,0.11109999999999999,0.021400000000000002,9,327,1,7,3,1
2020-01-01,831,55,3,21,0,12,11,3,5014,431,362,60.25,0,0,0,0,0,0,0,0.2727,0.0179,11,390,3,7,1,0
2020-01-02,918,64,1,29,1,17,8,0,5602,453,366,60.92999999999999,0,0,0,0,0,0,0,0.0,0.013000000000000001,7,461,0,6,5,0
2020-01-03,946,48,0,27,1,16,21,0,5852,308,371,61.77,0,0,0,0,0,0,0,0.07139999999999999,0.036000000000000004,14,417,1,15,4,0
2020-01-04,1106,82,1,27,1,23,14,1,6700,517,363,60.49,0,0,0,0,0,0,0,0.0,0.0116,6,516,0,6,4,0
2020-01-05,1182,77,0,24,1,24,13,0,7168,482,363,60.54999999999999,0,0,0,0,0,0,0,0.0,0.011899999999999999,8,590,0,7,5,0
2020-01-06,1184,57,2,24,0,25,20,1,6981,412,353,58.86,0,0,0,0,0,0,0,0.11109999999999999,0.0123,9,568,1,7,2,0
2020-01-07,1076,58,1,29,0,21,22,1,6393,390,356,59.31999999999999,0,0,0,0,0,0,0,0.0,0.0159,7,502,0,8,5,0
2020-01-08,1283,81,1,32,2,19,13,1,7805,529,365,60.74,0,0,0,0,0,0,0,0.5,0.0017000000000000001,2,590,1,1,4,0
2020-01-09,1501,104,1,35,0,27,11,0,8971,728,358,59.67,0,0,0,0,0,0,0,0.0833,0.015,12,733,1,11,6,0
2020-01-10,1553,97,1,34,0,29,17,1,9599,723,370,61.71,0,0,0,0,0,0,0,0.0,0.0128,11,701,0,9,4,0
2020-01-11,1758,81,2,31,0,19,18,3,10333,547,352,58.68,0,0,0,0,0,0,0,0.0909,0.015300000000000001,11,782,1,12,8,0
2020-01-12,1493,87,0,29,5,25,20,1,8773,572,352,58.660000000000004,0,0,0,0,0,0,0,0.0,0.0111,8,718,0,8,7,0
2020-01-13,1022,52,2,21,0,8,7,1,6141,386,360,59.99,0,0,0,0,0,0,0,0.0,0.0126,8,478,0,6,4,0
2020-01-14,930,40,1,18,0,12,9,1,5900,278,380,63.34000000000001,0,0,0,0,0,0,0,0.11109999999999999,0.0212,9,425,1,9,2,0
