videoID,day,likes
13eztn3RxQw,2019-12-14,1886
13eztn3RxQw,2019-12-15,1973
13eztn3RxQw,2019-12-16,890
13eztn3RxQw,2019-12-17,430
13eztn3RxQw,2019-12-18,356
13eztn3RxQw,2019-12-19,273
13eztn3RxQw,2019-12-20,232
13eztn3RxQw,2019-12-21,185
13eztn3RxQw,2019-12-22,107
13eztn3RxQw,2019-12-23,79
13eztn3RxQw,2019-12-24,79
13eztn3RxQw,2019-12-25,72
13eztn3RxQw,2019-12-26,54
13eztn3RxQw,2019-12-27,54
13eztn3RxQw,2019-12-28,31
13eztn3RxQw,2019-12-29,27
13eztn3RxQw,2019-12-30,23
13eztn3RxQw,2019-12-31,16
13eztn3RxQw,2020-01-01,21
13eztn3RxQw,2020-01-02,29
13eztn3RxQw,2020-01-03,27
13eztn3RxQw,2020-01-04,27
13eztn3RxQw,2020-01-05,24
13eztn3RxQw,2020-01-06,24
13eztn3RxQw,2020-01-07,29
13eztn3RxQw,2020-01-08,32
13eztn3RxQw,2020-01-09,35
13eztn3RxQw,2020-01-10,34
13eztn3RxQw,2020-01-11,31
13eztn3RxQw,2020-01-12,29
13eztn3RxQw,2020-01-13,21
13eztn3RxQw,2020-01-14,18
13eztn3RxQw,2020-01-15,19
13eztn3RxQw,2020-01-16,19
13eztn3RxQw,2020-01-17,16
13eztn3RxQw,2020-01-18,15
13eztn3RxQw,2020-01-19,17
13eztn3RxQw,2020-01-20,13
13eztn3RxQw,2020-01-21,25
13eztn3RxQw,2020-01-22,5
13eztn3RxQw,2020-01-23,12
13eztn3RxQw,2020-01-24,22
13eztn3RxQw,2020-01-25,14
13eztn3RxQw,2020-01-26,26
13eztn3RxQw,2020-01-27,23
13eztn3RxQw,2020-01-28,20
13eztn3RxQw,2020-01-29,27
13eztn3RxQw,2020-01-30,34
13eztn3RxQw,2020-01-31,15
13eztn3RxQw,2020-02-01,20
13eztn3RxQw,2020-02-02,17
13eztn3RxQw,2020-02-03,29
13eztn3RxQw,2020-02-04,15
13eztn3RxQw,2020-02-05,20
13eztn3RxQw,2020-02-06,28
13eztn3RxQw,2020-02-07,27
13eztn3RxQw,2020-02-08,42
13eztn3RxQw,2020-02-09,40
13eztn3RxQw,2020-02-10,67
13eztn3RxQw,2020-02-11,62
13eztn3RxQw,2020-02-12,41
13eztn3RxQw,2020-02-13,17
13eztn3RxQw,2020-02-14,25
