day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-07-13,125101,17283,535,9547,68,4866,759,217,913651,140933,438,62.86999999999999,0,0,0,0,0,0,0,0.4955,0.012,664,38884,329,468,467,45
2021-07-14,103919,13473,239,5083,78,2530,791,165,698031,104518,403,57.82000000000001,0,0,0,0,0,0,0,0.5099,0.009899999999999999,406,27329,207,270,485,21
2021-07-15,95121,11506,174,3724,79,2330,637,147,585399,83789,369,52.98,0,0,0,0,0,0,0,0.5056,0.0102,358,23138,181,235,633,15
2021-07-16,67499,8506,91,2349,62,1846,510,98,405353,60775,360,51.7,0,0,0,0,0,0,0,0.483,0.0127,294,15924,142,203,470,13
2021-07-17,50864,6359,70,1687,51,1394,403,68,305608,44227,360,51.72,0,0,0,0,0,0,0,0.5183,0.0101,191,12359,99,125,390,14
2021-07-18,41623,5357,60,1421,30,1100,379,77,258523,37830,372,53.47,0,0,0,0,0,0,0,0.5327000000000001,0.0137,214,11003,114,151,362,12
2021-07-19,36664,4995,40,1183,26,948,359,46,226127,34302,370,53.09,0,0,0,0,0,0,0,0.5444,0.0124,180,9892,98,123,354,5
2021-07-20,26270,3346,41,789,22,661,267,30,160284,23519,366,52.52,0,0,0,0,0,0,0,0.4902,0.0146,153,7207,75,105,238,8
2021-07-21,25161,3266,25,734,17,604,203,25,151081,22072,360,51.690000000000005,0,0,0,0,0,0,0,0.536,0.013000000000000001,125,6544,67,85,205,4
2021-07-22,19190,2444,21,564,13,440,179,25,117460,16746,367,52.68999999999999,0,0,0,0,0,0,0,0.49450000000000005,0.010700000000000001,91,5232,45,56,154,4
2021-07-23,12086,1522,21,406,9,287,173,13,74950,10670,372,53.38,0,0,0,0,0,0,0,0.5,0.0121,64,3318,32,40,98,0
2021-07-24,10599,1394,9,307,7,236,147,11,65861,9833,372,53.49,0,0,0,0,0,0,0,0.5517,0.013600000000000001,58,2802,32,38,64,2
2021-07-25,12030,1515,13,363,9,245,155,11,74196,10746,370,53.09,0,0,0,0,0,0,0,0.6175999999999999,0.0116,68,3350,42,39,95,1
2021-07-26,11162,1496,13,332,6,257,124,11,69154,10490,371,53.33,0,0,0,0,0,0,0,0.5316,0.0175,79,3139,42,55,68,1
2021-07-27,8555,1148,10,247,6,187,123,15,54470,8371,382,54.81,0,0,0,0,0,0,0,0.6,0.0097,35,2485,21,24,53,3
2021-07-28,8311,1043,6,226,4,205,100,6,52508,7223,379,54.39000000000001,0,0,0,0,0,0,0,0.5692,0.0168,65,2496,37,42,63,1
2021-07-29,6006,741,5,178,5,164,105,8,38012,5228,379,54.48,0,0,0,0,0,0,0,0.39289999999999997,0.0116,28,1810,11,21,43,2
2021-07-30,3853,503,3,105,3,97,90,3,24580,3595,382,54.92,0,0,0,0,0,0,0,0.5,0.0138,22,1159,11,16,23,0
2021-07-31,3367,388,4,105,2,66,81,6,21692,2696,386,55.46,0,0,0,0,0,0,0,0.46149999999999997,0.0191,26,996,12,19,20,0
2021-08-01,3712,434,2,115,1,62,83,2,23527,3151,380,54.559999999999995,0,0,0,0,0,0,0,0.4,0.0086,15,1158,6,10,28,1
2021-08-02,3415,419,1,104,3,67,60,6,22172,3060,389,55.88999999999999,0,0,0,0,0,0,0,0.7,0.015700000000000002,20,1085,14,17,24,1
2021-08-03,2537,311,5,81,3,50,58,3,16818,2240,397,57.07,0,0,0,0,0,0,0,0.55,0.0181,20,829,11,15,18,1
2021-08-04,2733,332,4,83,2,64,56,4,17749,2444,389,55.91,0,0,0,0,0,0,0,0.6364,0.0144,22,905,14,13,16,0
2021-08-05,2610,335,3,92,0,52,50,4,16875,2490,387,55.66,0,0,0,0,0,0,0,0.4167,0.0204,24,834,10,17,15,0
2021-08-06,2533,305,1,94,2,51,63,6,16654,2173,394,56.60000000000001,0,0,0,0,0,0,0,0.6315999999999999,0.0168,19,773,12,13,25,0
2021-08-07,2442,309,1,70,1,44,51,2,15829,2225,388,55.8,0,0,0,0,0,0,0,0.5714,0.012,14,749,8,9,15,2
2021-08-08,3284,361,6,115,2,56,58,17,21040,2622,384,55.15,0,0,0,0,0,0,0,0.6875,0.011200000000000002,16,1070,11,12,24,0
2021-08-09,3230,407,4,104,1,59,43,6,20943,2872,389,55.82,0,0,0,0,0,0,0,0.6154,0.018500000000000003,26,1029,16,19,22,0
2021-08-10,3626,517,7,141,2,71,54,9,24844,4029,411,58.98,0,0,0,0,0,0,0,0.5832999999999999,0.0181,36,1268,21,23,24,1
2021-08-11,4110,572,6,138,3,68,39,7,27255,4298,397,57.09000000000001,0,0,0,0,0,0,0,0.42310000000000003,0.016200000000000003,26,1354,11,22,32,1
2021-08-12,3764,520,4,137,2,88,45,6,24849,3749,396,56.830000000000005,0,0,0,0,0,0,0,0.5,0.0202,28,1190,14,24,35,0
2021-08-13,3571,452,4,124,2,72,25,20,22574,3358,379,54.42,0,0,0,0,0,0,0,0.6315999999999999,0.0121,19,1074,12,13,30,0
2021-08-14,3780,496,1,136,3,79,45,10,23698,3524,376,53.97,0,0,0,0,0,0,0,0.5625,0.011899999999999999,16,1092,9,13,39,1
2021-08-15,3101,405,1,100,1,81,54,2,20528,3147,397,56.99000000000001,0,0,0,0,0,0,0,0.5385,0.009300000000000001,13,963,7,9,20,2
2021-08-16,2646,346,4,80,3,55,39,2,17435,2923,395,56.720000000000006,0,0,0,0,0,0,0,0.5455,0.013000000000000001,11,768,6,10,22,0
2021-08-17,2770,351,0,104,0,53,45,4,18193,2767,394,56.54,0,0,0,0,0,0,0,0.5,0.0229,24,831,12,19,32,1
2021-08-18,3128,401,3,80,1,68,40,17,20536,2985,393,56.52,0,0,0,0,0,0,0,0.6570999999999999,0.028999999999999998,35,931,23,27,17,0
2021-08-19,3598,481,5,97,1,63,28,3,22706,3474,378,54.33,0,0,0,0,0,0,0,0.6053000000000001,0.0271,38,1071,23,29,22,1
