videoID,day,likes
1MwGXzKjFfY,2021-07-13,9547
1MwGXzKjFfY,2021-07-14,5083
1MwGXzKjFfY,2021-07-15,3724
1MwGXzKjFfY,2021-07-16,2349
1MwGXzKjFfY,2021-07-17,1687
1MwGXzKjFfY,2021-07-18,1421
1MwGXzKjFfY,2021-07-19,1183
1MwGXzKjFfY,2021-07-20,789
1MwGXzKjFfY,2021-07-21,734
1MwGXzKjFfY,2021-07-22,564
1MwGXzKjFfY,2021-07-23,406
1MwGXzKjFfY,2021-07-24,307
1MwGXzKjFfY,2021-07-25,363
1MwGXzKjFfY,2021-07-26,332
1MwGXzKjFfY,2021-07-27,247
1MwGXzKjFfY,2021-07-28,226
1MwGXzKjFfY,2021-07-29,178
1MwGXzKjFfY,2021-07-30,105
1MwGXzKjFfY,2021-07-31,105
1MwGXzKjFfY,2021-08-01,115
1MwGXzKjFfY,2021-08-02,104
1MwGXzKjFfY,2021-08-03,81
1MwGXzKjFfY,2021-08-04,83
1MwGXzKjFfY,2021-08-05,92
1MwGXzKjFfY,2021-08-06,94
1MwGXzKjFfY,2021-08-07,70
1MwGXzKjFfY,2021-08-08,115
1MwGXzKjFfY,2021-08-09,104
1MwGXzKjFfY,2021-08-10,141
1MwGXzKjFfY,2021-08-11,138
1MwGXzKjFfY,2021-08-12,137
1MwGXzKjFfY,2021-08-13,124
1MwGXzKjFfY,2021-08-14,136
1MwGXzKjFfY,2021-08-15,100
1MwGXzKjFfY,2021-08-16,80
1MwGXzKjFfY,2021-08-17,104
1MwGXzKjFfY,2021-08-18,80
1MwGXzKjFfY,2021-08-19,97
1MwGXzKjFfY,2021-08-20,83
1MwGXzKjFfY,2021-08-21,109
1MwGXzKjFfY,2021-08-22,154
1MwGXzKjFfY,2021-08-23,179
1MwGXzKjFfY,2021-08-24,191
1MwGXzKjFfY,2021-08-25,250
1MwGXzKjFfY,2021-08-26,327
1MwGXzKjFfY,2021-08-27,375
1MwGXzKjFfY,2021-08-28,608
1MwGXzKjFfY,2021-08-29,982
1MwGXzKjFfY,2021-08-30,941
1MwGXzKjFfY,2021-08-31,906
1MwGXzKjFfY,2021-09-01,748
1MwGXzKjFfY,2021-09-02,658
1MwGXzKjFfY,2021-09-03,543
1MwGXzKjFfY,2021-09-04,674
