day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2015-02-13,219,0,8,21,0,17,1,5,1277,0,349,47.54,0.027200000000000002,0.0,147,147,123,4,0,0.0,0.0,0,0,0,0,0,0
2015-02-14,198,0,16,11,0,3,1,6,1107,0,335,45.59,0.0263,0.0,190,190,170,5,0,0.0,0.0,0,0,0,0,1,0
2015-02-15,159,0,7,6,0,2,1,4,976,0,368,50.06,0.0192,0.0,104,104,96,2,0,0.0,0.0,0,0,0,0,1,1
2015-02-16,911,0,1,18,0,8,0,5,3691,0,243,33.04,0.015300000000000001,0.0034000000000000002,652,652,591,10,2,0.0,0.0,0,0,0,0,5,0
2015-02-17,263,0,3,5,0,7,3,1,1132,0,258,35.11,0.016,0.023700000000000002,188,188,169,3,4,0.0,0.0,0,0,0,0,0,0
2015-02-18,142,0,0,3,0,0,1,1,631,0,266,36.27,0.0116,0.0519,86,86,77,1,4,0.0,0.0,0,0,0,0,0,0
2015-02-19,90,0,0,2,0,0,0,1,362,0,241,32.81,0.0137,0.015600000000000001,73,73,64,1,1,0.0,0.0,0,0,0,0,0,0
2015-02-20,84,0,2,3,0,0,2,1,364,0,260,35.4,0.0,0.0,48,48,42,0,0,0.0,0.0,0,0,0,0,0,0
2015-02-21,78,0,0,2,0,2,0,0,365,0,281,38.22,0.0,0.0,31,31,27,0,0,0.0,0.0,0,0,0,0,0,0
2015-02-22,68,0,0,1,0,3,1,1,301,0,265,36.09,0.0556,0.0,18,18,15,1,0,0.0,0.0,0,0,0,0,1,0
2015-02-23,77,0,1,2,0,0,1,0,398,0,310,42.21,0.0345,0.0,58,58,52,2,0,0.0,0.0,0,0,0,0,0,0
2015-02-24,61,0,3,3,0,1,1,0,239,0,235,31.97,0.0,0.0,44,44,38,0,0,0.0,0.0,0,0,0,0,3,0
2015-02-25,99,0,7,5,0,0,1,0,429,0,260,35.36,0.0139,0.0,72,72,61,1,0,0.0,0.0,0,0,0,0,0,0
2015-02-26,70,0,1,0,0,1,0,2,294,0,252,34.32,0.0,0.0,39,39,35,0,0,0.0,0.0,0,0,0,0,1,0
2015-02-27,58,0,4,0,0,0,0,0,304,0,315,42.82,0.0,0.0,12,12,12,0,0,0.0,0.0,0,0,0,0,0,0
2015-02-28,65,0,1,2,0,0,0,0,309,0,285,38.79,0.0345,0.0,29,29,26,1,0,0.0,0.0,0,0,0,0,1,0
2015-03-01,58,0,0,0,0,0,0,0,209,0,216,29.42,0.0377,0.0,53,53,46,2,0,0.0,0.0,0,0,0,0,0,0
2015-03-02,52,0,1,0,0,0,0,1,177,0,205,27.87,0.0,0.0,21,21,18,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-03,31,0,0,0,0,1,0,0,148,0,287,39.02,0.0,0.0,17,17,14,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-04,39,0,0,0,0,0,0,0,177,0,272,37.01,0.0,0.0,36,36,31,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-05,38,0,0,1,0,1,0,0,184,0,291,39.56,0.0,0.0,38,38,33,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-06,35,0,0,0,0,0,0,0,157,0,269,36.6,0.0,0.0,15,15,13,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-07,42,0,0,0,0,0,0,0,183,0,262,35.61,0.0,0.0,28,28,24,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-08,44,0,0,0,0,0,0,0,238,0,325,44.27,0.0,0.0,26,26,23,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-09,44,0,0,0,0,0,0,0,145,0,197,26.890000000000004,0.069,0.0,29,29,26,2,0,0.0,0.0,0,0,0,0,0,0
2015-03-10,56,0,0,1,0,1,1,0,292,0,313,42.6,0.0189,0.0,53,53,46,1,0,0.0,0.0,0,0,0,0,0,0
2015-03-11,34,0,0,0,0,0,0,0,115,0,204,27.73,0.0,0.0,26,26,21,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-12,44,0,0,0,0,0,0,0,194,0,264,36.0,0.1,0.0,10,10,9,1,0,0.0,0.0,0,0,0,0,0,0
2015-03-13,31,0,0,1,0,0,0,2,218,0,423,57.58,0.0,0.0,40,40,35,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-14,43,0,0,2,0,0,0,0,228,0,319,43.39,0.0,0.0,12,12,10,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-15,36,0,0,0,0,1,0,0,184,0,307,41.8,0.0,0.0,16,16,16,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-16,37,0,0,2,0,1,0,0,182,0,296,40.23,0.0625,0.0,16,16,14,1,0,0.0,0.0,0,0,0,0,0,0
2015-03-17,27,0,1,1,0,2,1,0,123,0,274,37.31,0.0,0.0,14,14,13,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-18,45,0,0,1,0,0,0,0,216,0,288,39.24,0.0,0.0,14,14,13,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-19,32,0,0,0,0,1,0,1,185,0,347,47.26,0.0,0.0,18,18,15,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-20,40,0,0,2,0,0,0,0,176,0,264,35.95,0.0,0.0,4,4,4,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-21,38,0,0,3,0,2,0,1,218,0,344,46.81,0.0333,0.0,30,30,27,1,0,0.0,0.0,0,0,0,0,0,0
2015-03-22,49,0,0,1,0,2,1,0,269,0,329,44.76,0.0,0.0,39,39,34,0,0,0.0,0.0,0,0,0,0,0,0
2015-03-23,35,0,0,0,0,0,0,0,126,0,217,29.520000000000003,0.0,0.15380000000000002,14,14,13,0,2,0.0,0.0,0,0,0,0,0,0
2015-03-24,47,0,0,3,0,1,0,0,322,0,411,55.95,0.0137,0.0,73,73,67,1,0,0.0,0.0,0,0,0,0,0,0
2015-03-25,28,0,0,2,0,0,0,0,197,0,422,57.36,0.061200000000000004,0.0,49,49,43,3,0,0.0,0.0,0,0,0,0,1,0
2015-03-26,25,0,0,0,0,0,0,0,103,0,247,33.59,0.0,0.0,10,10,9,0,0,0.0,0.0,0,0,0,0,1,0
