day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-09-24,10,0,0,1,0,2,0,1,82,0,495,72.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-25,83777,4749,168,2993,61,2031,308,139,563641,34964,403,59.36,0,0,0,0,0,0,0,0,0,0,0,0,0,341,13
2019-09-26,61238,3207,61,1281,59,1169,342,122,352137,21204,345,50.74000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,338,11
2019-09-27,15682,917,30,371,16,318,189,39,91319,5719,349,51.38,0,0,0,0,0,0,0,0,0,0,0,0,0,66,4
2019-09-28,10881,727,12,260,9,193,102,26,69323,5044,382,56.220000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3
2019-09-29,8881,514,10,198,5,158,100,23,58723,3766,396,58.34,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2
2019-09-30,4481,274,3,121,3,72,67,6,31225,1916,418,61.49,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
2019-10-01,2905,177,5,70,4,56,56,5,20466,1283,422,62.17,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2019-10-02,1882,112,3,48,0,27,46,4,13480,925,429,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
2019-10-03,1567,122,0,30,0,28,30,4,11274,943,431,63.47999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2019-10-04,1115,87,1,35,0,19,24,4,7877,651,423,62.34,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-10-05,995,69,2,20,0,15,28,1,7138,524,430,63.31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-10-06,1066,67,1,24,1,8,24,0,7926,513,446,65.61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-10-07,914,60,0,30,0,13,27,3,6659,419,437,64.28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-10-08,1226,96,2,25,0,11,15,0,9714,681,475,69.92,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-10-09,683,57,1,18,0,11,22,1,5383,449,472,69.55,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-10-10,869,70,1,16,1,10,18,0,6213,560,429,63.09,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-10-11,912,50,1,17,1,13,14,0,6383,384,419,61.75999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-10-12,830,52,2,13,2,11,20,4,5797,457,419,61.64000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-13,814,49,0,23,0,9,14,3,5624,396,414,60.97,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-10-14,1147,51,1,26,0,11,10,3,7885,319,412,60.65999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-10-15,1375,58,0,19,0,12,17,4,8817,427,384,56.58,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-10-16,1035,53,0,19,0,12,17,1,6910,446,400,58.92000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-10-17,728,41,0,13,0,10,7,2,5096,336,420,61.77,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-10-18,944,76,0,11,2,8,12,4,6782,583,431,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-19,1091,57,1,27,0,8,8,0,7670,452,421,62.03999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-10-20,1123,69,1,25,2,16,5,1,7766,560,414,61.02000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-10-21,784,38,0,17,0,13,10,0,5571,326,426,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-10-22,666,42,0,20,0,9,10,1,4754,366,428,62.99,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-10-23,717,37,0,19,0,12,17,2,4632,277,387,57.00999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-10-24,674,25,0,12,0,11,8,0,4371,205,389,57.22999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-25,506,31,0,8,0,10,10,0,3165,218,375,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-10-26,332,17,0,8,0,2,7,1,2414,164,436,64.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-27,381,22,0,6,1,9,6,0,2609,142,410,60.42999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-28,344,23,0,6,1,7,8,1,2487,126,433,63.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-29,278,27,1,2,0,13,6,1,1834,178,395,58.22999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-30,275,13,0,3,0,3,4,0,2084,127,454,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-31,244,13,1,8,0,7,6,0,1784,87,438,64.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,897,52,1,14,0,8,7,1,6846,422,457,67.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-11-02,1164,76,1,19,1,14,10,0,8697,624,448,65.93,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-11-03,685,29,0,8,0,9,9,1,4773,241,418,61.480000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-11-04,460,25,0,10,0,3,5,2,3095,182,403,59.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-05,452,25,0,8,0,6,7,0,3272,155,434,63.89,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-11-06,381,26,0,5,0,2,6,1,2542,217,400,58.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-07,286,20,0,3,0,4,4,0,1845,159,387,56.95,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-08,349,12,0,5,0,2,6,2,2467,83,424,62.36999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-09,396,24,0,8,1,4,3,0,2839,237,430,63.27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-11-10,261,21,0,2,0,8,6,0,1862,159,428,62.97999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-11,281,17,0,5,0,5,5,0,1984,164,423,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-12,274,13,0,6,0,0,5,1,1992,114,436,64.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-13,201,9,0,8,0,2,4,0,1215,77,362,53.339999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-14,245,16,0,8,0,2,3,1,1810,128,443,65.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-15,281,20,0,6,0,1,2,0,1880,176,401,59.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-16,245,13,0,6,0,2,3,0,1642,117,402,59.150000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-17,177,13,0,4,0,0,5,1,1232,106,417,61.42999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-18,158,10,0,2,0,1,4,1,1068,86,405,59.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-19,235,20,0,2,0,1,2,1,1701,141,434,63.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-20,208,17,0,4,0,2,4,0,1675,140,483,71.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-21,142,9,0,3,0,3,3,1,1056,99,446,65.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-22,198,16,1,4,0,3,4,0,1300,94,394,57.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-23,154,8,0,5,0,8,8,1,1087,49,423,62.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,148,10,0,2,0,3,5,0,1047,78,424,62.46000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-11-25,148,6,0,3,0,1,2,0,1114,46,452,66.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-26,155,15,0,3,0,4,5,1,1322,124,511,75.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-27,229,10,0,2,0,6,3,2,1588,74,416,61.199999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2019-11-28,233,17,0,3,0,5,2,1,1629,158,419,61.72,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-29,162,11,0,2,0,0,1,1,1264,105,468,68.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-30,171,12,0,4,0,3,4,0,1207,91,423,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,235,15,0,3,0,4,6,0,1718,115,438,64.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-02,217,6,0,4,0,0,7,0,1662,30,459,67.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-03,231,13,0,3,1,2,6,0,1629,106,423,62.25000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-12-04,413,27,1,8,1,3,2,0,3129,220,454,66.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-05,2023,122,2,38,2,19,4,2,14581,941,432,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-12-06,1503,78,0,31,1,20,4,0,9890,587,394,58.06,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-12-07,849,51,0,16,1,9,6,3,5708,327,403,59.32999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-08,590,41,1,11,0,9,9,0,3982,353,404,59.54999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
