day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-03-01,22374,3128,141,2997,33,1613,475,418,15076,2301,40,91.89,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16
2021-03-02,6927,896,19,578,10,210,172,98,4304,539,37,84.74,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
2021-03-03,9531,1005,9,459,7,60,81,97,5290,585,33,75.7,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2
2021-03-04,9585,1068,6,471,8,46,53,100,5454,566,34,77.6,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2
2021-03-05,7046,790,6,325,4,24,47,58,3768,473,32,72.93,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
2021-03-06,5855,690,11,271,3,19,27,72,3200,361,32,74.55,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
2021-03-07,5338,559,4,233,5,27,23,54,2835,314,31,72.43,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
2021-03-08,4422,455,3,190,1,14,13,48,2328,314,31,71.79,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
2021-03-09,3453,331,6,145,5,17,16,38,1762,178,30,69.61,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
2021-03-10,3711,371,3,174,1,9,19,46,1948,191,31,71.61,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
2021-03-11,3325,346,2,136,4,7,12,30,1787,188,32,73.31,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
2021-03-12,3111,281,6,144,0,10,8,38,1714,150,33,75.13,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
2021-03-13,3137,290,2,125,4,7,13,30,1670,154,31,72.61,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
2021-03-14,2894,275,2,127,3,4,7,28,1740,165,36,82.01,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2021-03-15,2500,236,0,114,0,15,10,44,1229,133,29,67.08,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2021-03-16,1277,132,3,62,1,4,6,16,665,69,31,71.1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-03-17,716,76,0,50,1,3,3,10,408,54,34,77.82,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-03-18,864,69,0,33,1,6,3,8,460,40,31,72.67,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-03-19,776,55,3,45,2,3,4,16,418,42,32,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2021-03-20,754,63,0,45,0,9,8,8,397,34,31,71.91,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-03-21,919,81,0,45,2,8,6,6,476,50,31,70.65,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-03-22,778,67,0,38,3,4,2,9,432,41,33,75.86,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-03-23,694,59,0,46,2,2,3,8,340,35,29,66.98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-03-24,877,99,0,44,2,2,1,12,567,59,38,88.28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-03-25,918,102,0,51,1,8,2,9,589,63,38,87.49,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-03-26,971,84,1,55,1,10,1,10,516,54,31,72.49,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-03-27,988,99,2,57,2,14,6,17,622,68,37,85.95,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-03-28,1305,120,2,81,2,1,6,13,699,94,32,73.06,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-03-29,1392,118,1,82,2,9,7,9,790,144,34,77.42,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-03-30,1182,123,0,76,3,13,8,18,654,91,33,75.46,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-03-31,1525,167,0,107,-1,4,6,16,850,96,33,76.05,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-04-01,1841,169,1,125,4,10,1,16,1025,103,33,75.98,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2021-04-02,1720,164,1,111,3,4,6,25,1083,109,37,85.93,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
2021-04-03,1929,185,3,143,7,2,2,27,1149,118,35,81.27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
2021-04-04,2430,262,1,159,5,10,7,40,1569,179,38,88.08,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
2021-04-05,2270,224,4,129,1,4,1,24,1435,138,37,86.25,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
2021-04-06,2556,247,3,171,6,9,4,32,1522,153,35,81.2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
2021-04-07,3087,312,5,220,10,7,7,47,1956,221,38,86.45,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
2021-04-08,3603,379,5,250,4,8,2,41,2491,310,41,94.29,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
2021-04-09,6314,611,10,390,12,4,2,94,4317,413,41,93.25,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0
2021-04-10,7051,752,17,508,15,8,9,121,5074,492,43,98.15,0,0,0,0,0,0,0,0,0,0,0,0,0,147,4
2021-04-11,10312,1063,12,628,22,9,5,176,7222,765,42,95.51,0,0,0,0,0,0,0,0,0,0,0,0,0,236,7
2021-04-12,10820,1157,15,606,16,17,4,219,7669,793,42,96.66,0,0,0,0,0,0,0,0,0,0,0,0,0,209,3
2021-04-13,13824,1426,19,781,28,14,3,248,9115,958,39,89.92,0,0,0,0,0,0,0,0,0,0,0,0,0,303,4
2021-04-14,12759,1213,16,675,26,24,8,236,8551,866,40,91.4,0,0,0,0,0,0,0,0,0,0,0,0,0,231,4
2021-04-15,15838,1519,17,843,29,25,5,237,10326,1061,39,88.91,0,0,0,0,0,0,0,0,0,0,0,0,0,288,4
2021-04-16,20063,1650,31,955,43,17,3,275,12840,1142,38,87.27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,5
2021-04-17,20284,1685,23,1039,38,19,4,280,12547,1124,37,84.36,0,0,0,0,0,0,0,0,0,0,0,0,0,347,4
2021-04-18,19151,1597,39,927,28,15,3,226,12232,1256,38,87.1,0,0,0,0,0,0,0,0,0,0,0,0,0,339,6
2021-04-19,23710,1928,20,1080,53,18,4,329,14433,1267,36,83.01,0,0,0,0,0,0,0,0,0,0,0,0,0,389,5
2021-04-20,18643,1432,16,830,35,37,5,232,11122,986,35,81.35,0,0,0,0,0,0,0,0,0,0,0,0,0,330,6
2021-04-21,17089,1337,17,775,38,15,1,197,10606,1071,37,84.63,0,0,0,0,0,0,0,0,0,0,0,0,0,316,7
2021-04-22,16249,1329,18,738,32,27,6,169,9583,895,35,80.42,0,0,0,0,0,0,0,0,0,0,0,0,0,261,2
2021-04-23,15638,1348,6,664,34,5,2,175,9295,887,35,81.05,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1
2021-04-24,13054,1017,6,504,29,11,4,142,7374,727,33,77.03,0,0,0,0,0,0,0,0,0,0,0,0,0,217,1
2021-04-25,10259,911,6,428,22,7,2,145,6276,622,36,83.43,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1
2021-04-26,7965,670,7,335,11,9,1,93,4694,432,35,80.37,0,0,0,0,0,0,0,0,0,0,0,0,0,136,3
2021-04-27,6992,597,6,305,15,13,3,84,4172,459,35,81.38,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0
2021-04-28,5885,515,6,263,10,8,2,70,3543,328,36,82.11,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1
2021-04-29,5725,494,5,229,13,7,3,55,3433,339,35,81.79,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
2021-04-30,5925,470,3,234,7,5,1,68,3038,302,30,69.93,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4
2021-05-01,5985,443,2,242,14,4,4,62,3104,307,31,70.72,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1
2021-05-02,5392,416,2,232,10,10,4,44,2998,347,33,75.82,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2
2021-05-03,4257,375,2,178,10,3,4,35,2392,270,33,76.64,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
2021-05-04,4401,368,4,201,7,6,4,44,2530,237,34,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3
