videoID,day,likes
2HUZ_2D0zpI,2021-03-01,2997
2HUZ_2D0zpI,2021-03-02,578
2HUZ_2D0zpI,2021-03-03,459
2HUZ_2D0zpI,2021-03-04,471
2HUZ_2D0zpI,2021-03-05,325
2HUZ_2D0zpI,2021-03-06,271
2HUZ_2D0zpI,2021-03-07,233
2HUZ_2D0zpI,2021-03-08,190
2HUZ_2D0zpI,2021-03-09,145
2HUZ_2D0zpI,2021-03-10,174
2HUZ_2D0zpI,2021-03-11,136
2HUZ_2D0zpI,2021-03-12,144
2HUZ_2D0zpI,2021-03-13,125
2HUZ_2D0zpI,2021-03-14,127
2HUZ_2D0zpI,2021-03-15,114
2HUZ_2D0zpI,2021-03-16,62
2HUZ_2D0zpI,2021-03-17,50
2HUZ_2D0zpI,2021-03-18,33
2HUZ_2D0zpI,2021-03-19,45
2HUZ_2D0zpI,2021-03-20,45
2HUZ_2D0zpI,2021-03-21,45
2HUZ_2D0zpI,2021-03-22,38
2HUZ_2D0zpI,2021-03-23,46
2HUZ_2D0zpI,2021-03-24,44
2HUZ_2D0zpI,2021-03-25,51
2HUZ_2D0zpI,2021-03-26,55
2HUZ_2D0zpI,2021-03-27,57
2HUZ_2D0zpI,2021-03-28,81
2HUZ_2D0zpI,2021-03-29,82
2HUZ_2D0zpI,2021-03-30,76
2HUZ_2D0zpI,2021-03-31,107
2HUZ_2D0zpI,2021-04-01,125
2HUZ_2D0zpI,2021-04-02,111
2HUZ_2D0zpI,2021-04-03,143
2HUZ_2D0zpI,2021-04-04,159
2HUZ_2D0zpI,2021-04-05,129
2HUZ_2D0zpI,2021-04-06,171
2HUZ_2D0zpI,2021-04-07,220
2HUZ_2D0zpI,2021-04-08,250
2HUZ_2D0zpI,2021-04-09,390
2HUZ_2D0zpI,2021-04-10,508
2HUZ_2D0zpI,2021-04-11,628
2HUZ_2D0zpI,2021-04-12,606
2HUZ_2D0zpI,2021-04-13,781
2HUZ_2D0zpI,2021-04-14,675
2HUZ_2D0zpI,2021-04-15,843
2HUZ_2D0zpI,2021-04-16,955
2HUZ_2D0zpI,2021-04-17,1039
2HUZ_2D0zpI,2021-04-18,927
2HUZ_2D0zpI,2021-04-19,1080
2HUZ_2D0zpI,2021-04-20,830
2HUZ_2D0zpI,2021-04-21,775
2HUZ_2D0zpI,2021-04-22,738
2HUZ_2D0zpI,2021-04-23,664
2HUZ_2D0zpI,2021-04-24,504
2HUZ_2D0zpI,2021-04-25,428
2HUZ_2D0zpI,2021-04-26,335
2HUZ_2D0zpI,2021-04-27,305
2HUZ_2D0zpI,2021-04-28,263
2HUZ_2D0zpI,2021-04-29,229
2HUZ_2D0zpI,2021-04-30,234
2HUZ_2D0zpI,2021-05-01,242
2HUZ_2D0zpI,2021-05-02,232
2HUZ_2D0zpI,2021-05-03,178
2HUZ_2D0zpI,2021-05-04,201
2HUZ_2D0zpI,2021-05-05,188
2HUZ_2D0zpI,2021-05-06,162
2HUZ_2D0zpI,2021-05-07,146
2HUZ_2D0zpI,2021-05-08,163
2HUZ_2D0zpI,2021-05-09,205
2HUZ_2D0zpI,2021-05-10,197
2HUZ_2D0zpI,2021-05-11,192
2HUZ_2D0zpI,2021-05-12,215
2HUZ_2D0zpI,2021-05-13,208
2HUZ_2D0zpI,2021-05-14,155
2HUZ_2D0zpI,2021-05-15,170
2HUZ_2D0zpI,2021-05-16,151
2HUZ_2D0zpI,2021-05-17,115
2HUZ_2D0zpI,2021-05-18,124
2HUZ_2D0zpI,2021-05-19,165
2HUZ_2D0zpI,2021-05-20,167
2HUZ_2D0zpI,2021-05-21,146
2HUZ_2D0zpI,2021-05-22,145
2HUZ_2D0zpI,2021-05-23,154
2HUZ_2D0zpI,2021-05-24,157
2HUZ_2D0zpI,2021-05-25,154
2HUZ_2D0zpI,2021-05-26,212
2HUZ_2D0zpI,2021-05-27,236
2HUZ_2D0zpI,2021-05-28,211
2HUZ_2D0zpI,2021-05-29,158
2HUZ_2D0zpI,2021-05-30,150
2HUZ_2D0zpI,2021-05-31,150
2HUZ_2D0zpI,2021-06-01,165
2HUZ_2D0zpI,2021-06-02,178
2HUZ_2D0zpI,2021-06-03,149
2HUZ_2D0zpI,2021-06-04,181
2HUZ_2D0zpI,2021-06-05,167
2HUZ_2D0zpI,2021-06-06,187
2HUZ_2D0zpI,2021-06-07,175
