day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-12-19,53710,5659,230,3769,33,2149,424,1366,207242,23157,231,69.73,0,0,0,0,0,0,0,0.085,0.008,200,22536,17,181,283,16
2020-12-20,88077,7206,115,3325,29,1623,381,2378,313374,27351,213,64.3,0,0,0,0,0,0,0,0.1024,0.0070999999999999995,254,29734,26,211,657,16
2020-12-21,119468,7439,102,2981,43,1270,340,2631,318501,21454,159,48.18,0,0,0,0,0,0,0,0.0712,0.0103,393,34853,28,358,677,13
2020-12-22,35179,2163,33,858,21,501,178,388,95028,6118,162,48.82,0,0,0,0,0,0,0,0.0818,0.0101,110,9801,9,99,194,3
2020-12-23,25424,1359,18,517,6,327,144,222,64099,3869,151,45.56,0,0,0,0,0,0,0,0.1159,0.0089,69,6969,8,62,147,9
2020-12-24,12422,684,6,238,9,218,86,86,30692,1878,148,44.65,0,0,0,0,0,0,0,0.0417,0.0126,48,3414,2,43,57,4
2020-12-25,6702,433,7,158,8,91,72,35,17883,1384,160,48.22,0,0,0,0,0,0,0,0.09380000000000001,0.0134,32,2089,3,28,53,3
2020-12-26,4700,290,4,125,2,95,80,54,13064,934,166,50.24000000000001,0,0,0,0,0,0,0,0.07139999999999999,0.0084,14,1555,1,13,31,1
2020-12-27,3425,243,2,82,0,44,61,37,9614,741,168,50.73,0,0,0,0,0,0,0,0.0667,0.0097,15,1138,1,11,30,0
2020-12-28,2551,183,4,58,0,38,45,18,7190,596,169,50.94,0,0,0,0,0,0,0,0.16670000000000001,0.0037,6,818,1,3,14,1
2020-12-29,2006,138,1,39,1,36,48,11,5533,496,165,49.85,0,0,0,0,0,0,0,0.07139999999999999,0.019299999999999998,14,622,1,12,10,0
2020-12-30,1494,106,3,34,1,22,49,11,4132,342,165,49.99,0,0,0,0,0,0,0,0.1429,0.0134,7,448,1,6,10,1
2020-12-31,1075,73,1,27,0,14,17,9,2777,249,155,46.69,0,0,0,0,0,0,0,0.5,0.0033,2,300,1,1,7,1
2021-01-01,922,55,1,26,1,18,22,6,2633,212,171,51.62,0,0,0,0,0,0,0,0.0,0.013500000000000002,5,297,0,4,4,0
2021-01-02,787,69,4,13,2,10,27,1,2245,254,171,51.57000000000001,0,0,0,0,0,0,0,0.25,0.013300000000000001,4,225,1,3,5,0
2021-01-03,702,64,1,15,0,5,26,7,2074,244,177,53.410000000000004,0,0,0,0,0,0,0,0.4,0.0128,5,234,2,3,5,0
2021-01-04,617,49,1,13,2,5,23,4,1785,174,173,52.300000000000004,0,0,0,0,0,0,0,0.3333,0.0,3,208,1,0,1,0
