videoID,day,likes
2NAp1q_5YZs,2020-12-19,3769
2NAp1q_5YZs,2020-12-20,3325
2NAp1q_5YZs,2020-12-21,2981
2NAp1q_5YZs,2020-12-22,858
2NAp1q_5YZs,2020-12-23,517
2NAp1q_5YZs,2020-12-24,238
2NAp1q_5YZs,2020-12-25,158
2NAp1q_5YZs,2020-12-26,125
2NAp1q_5YZs,2020-12-27,82
2NAp1q_5YZs,2020-12-28,58
2NAp1q_5YZs,2020-12-29,39
2NAp1q_5YZs,2020-12-30,34
2NAp1q_5YZs,2020-12-31,27
2NAp1q_5YZs,2021-01-01,26
2NAp1q_5YZs,2021-01-02,13
2NAp1q_5YZs,2021-01-03,15
2NAp1q_5YZs,2021-01-04,13
2NAp1q_5YZs,2021-01-05,16
2NAp1q_5YZs,2021-01-06,15
2NAp1q_5YZs,2021-01-07,10
2NAp1q_5YZs,2021-01-08,4
2NAp1q_5YZs,2021-01-09,11
2NAp1q_5YZs,2021-01-10,8
2NAp1q_5YZs,2021-01-11,8
2NAp1q_5YZs,2021-01-12,6
2NAp1q_5YZs,2021-01-13,9
2NAp1q_5YZs,2021-01-14,4
2NAp1q_5YZs,2021-01-15,8
2NAp1q_5YZs,2021-01-16,3
2NAp1q_5YZs,2021-01-17,9
2NAp1q_5YZs,2021-01-18,3
2NAp1q_5YZs,2021-01-19,4
2NAp1q_5YZs,2021-01-20,5
2NAp1q_5YZs,2021-01-21,3
2NAp1q_5YZs,2021-01-22,2
2NAp1q_5YZs,2021-01-23,4
2NAp1q_5YZs,2021-01-24,5
2NAp1q_5YZs,2021-01-25,5
2NAp1q_5YZs,2021-01-26,2
2NAp1q_5YZs,2021-01-27,3
2NAp1q_5YZs,2021-01-28,3
2NAp1q_5YZs,2021-01-29,2
2NAp1q_5YZs,2021-01-30,6
2NAp1q_5YZs,2021-01-31,5
2NAp1q_5YZs,2021-02-01,6
2NAp1q_5YZs,2021-02-02,4
2NAp1q_5YZs,2021-02-03,10
2NAp1q_5YZs,2021-02-04,4
2NAp1q_5YZs,2021-02-05,1
2NAp1q_5YZs,2021-02-06,8
2NAp1q_5YZs,2021-02-07,1
2NAp1q_5YZs,2021-02-08,-4
2NAp1q_5YZs,2021-02-09,5
2NAp1q_5YZs,2021-02-10,1
2NAp1q_5YZs,2021-02-11,5
2NAp1q_5YZs,2021-02-12,2
2NAp1q_5YZs,2021-02-13,3
2NAp1q_5YZs,2021-02-14,4
2NAp1q_5YZs,2021-02-15,3
