day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-11-07,3,0,0,0,0,1,0,2,8,0,161,43.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-08,22859,1590,94,1516,10,1089,211,223,88884,6782,233,63.57000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,41,12
2019-11-09,22012,1220,41,663,20,361,139,135,70223,4805,191,52.16,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3
2019-11-10,17365,781,29,355,11,243,124,215,47889,2680,165,45.09,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3
2019-11-11,27114,999,33,318,19,238,98,231,56095,2401,124,33.82,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
2019-11-12,7085,251,5,103,6,109,55,39,17323,825,146,39.97,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4
2019-11-13,2796,107,1,57,1,39,30,24,7383,331,158,43.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
2019-11-14,1944,86,2,39,1,32,27,8,5061,264,156,42.56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-15,1213,54,1,25,0,26,28,6,3182,175,157,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-11-16,1052,56,2,25,1,16,22,3,4242,191,241,65.94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-17,998,47,1,14,3,22,15,2,2784,144,167,45.61,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2019-11-18,704,35,0,12,0,10,13,2,1848,143,157,42.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-11-19,531,29,1,11,0,15,18,1,1551,102,175,47.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-20,487,25,2,16,1,11,15,8,1437,109,177,48.26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-11-21,305,21,0,4,0,6,12,2,932,81,183,49.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-22,288,17,0,4,1,3,7,1,811,60,169,46.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-23,243,10,0,5,0,2,12,0,707,33,174,47.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-11-24,219,15,0,5,0,3,6,0,703,53,192,52.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-25,169,10,0,3,0,0,7,1,496,32,176,48.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,166,15,0,4,0,2,12,1,539,60,194,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-11-27,167,17,0,2,0,1,3,1,534,78,191,52.290000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-28,168,12,1,2,0,2,5,0,622,45,222,60.62,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-11-29,165,12,0,3,0,6,4,0,584,49,212,57.879999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-30,136,11,0,6,0,0,10,0,496,39,219,59.699999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,140,8,0,2,0,1,4,0,534,42,228,62.36999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-02,124,9,0,5,0,5,6,0,417,23,201,55.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-03,102,2,1,4,1,1,6,0,312,6,183,50.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-04,168,19,0,1,0,6,5,0,568,56,203,55.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-05,133,6,0,2,0,0,5,0,539,31,243,66.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-06,126,13,0,9,0,0,2,1,447,44,213,58.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-07,101,7,0,5,0,0,2,0,329,28,196,53.410000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-08,95,10,0,3,0,0,3,0,324,44,204,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-09,88,6,0,4,0,0,5,0,293,33,199,54.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-10,110,11,0,6,0,0,2,0,412,51,225,61.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-11,57,2,0,1,0,0,2,0,220,6,231,63.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-12,58,5,0,1,0,2,3,0,190,17,197,53.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-13,46,4,1,0,0,0,2,0,169,13,220,60.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-14,72,9,0,2,0,1,6,0,273,44,227,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-15,90,10,0,0,0,1,2,0,360,64,240,65.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-16,78,7,0,0,0,0,2,0,298,33,229,62.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-17,76,8,0,2,0,0,1,0,279,41,220,60.15999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-18,77,4,1,1,0,0,1,0,266,16,207,56.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-19,72,5,0,2,0,0,4,0,286,30,238,65.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-20,52,10,0,2,0,0,2,1,226,53,261,71.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-21,61,6,0,0,0,2,0,0,224,29,220,60.199999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-22,52,6,0,1,0,0,1,1,214,30,247,67.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-23,60,4,0,3,0,0,1,0,205,19,205,56.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-24,58,3,0,2,0,0,2,0,218,9,226,61.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-25,115,6,0,1,0,0,0,0,324,19,169,46.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-26,81,6,0,0,0,2,2,0,233,20,172,47.09,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-12-27,97,6,0,2,0,0,6,0,297,25,184,50.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-28,61,2,0,0,0,1,5,0,193,12,190,51.849999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-29,61,5,0,2,0,2,1,0,216,20,213,58.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-30,53,3,0,0,0,0,2,0,199,12,225,61.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,33,4,0,0,0,0,2,0,111,14,202,55.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,49,9,0,2,1,6,3,0,186,43,228,62.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,41,3,0,1,0,2,3,0,145,16,212,57.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,57,5,0,1,0,1,2,0,219,20,231,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,45,6,0,0,0,1,3,0,154,23,205,56.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,48,8,0,1,0,0,0,0,172,47,216,58.879999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,51,7,0,0,0,0,1,0,216,41,254,69.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,38,5,0,1,0,0,1,0,126,11,199,54.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,39,2,0,0,0,0,2,2,134,5,206,56.21000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,44,3,0,2,0,1,2,0,141,9,192,52.47999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-01-10,69,5,0,2,0,0,5,0,265,28,231,62.96000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-11,68,5,0,0,0,0,3,0,196,17,173,47.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,55,5,0,0,0,2,4,0,212,29,231,63.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,66,3,0,2,0,0,4,0,246,12,224,61.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-14,60,2,0,0,0,0,0,0,231,6,231,63.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,62,1,0,0,0,2,1,0,239,5,231,63.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-16,54,4,0,2,0,0,5,0,215,23,239,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,66,2,1,0,0,2,2,0,203,12,185,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-18,65,4,0,1,0,0,1,0,241,19,222,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-19,87,2,0,1,0,2,0,1,224,10,154,42.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-20,93,3,0,2,0,1,5,0,270,18,174,47.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,66,2,0,0,0,0,2,0,192,8,174,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,43,0,0,1,0,0,1,0,133,0,186,50.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,49,4,0,2,0,0,1,0,139,12,170,46.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,42,1,0,0,0,0,1,0,128,6,183,50.03999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,49,7,0,3,0,71,4,0,135,26,165,45.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,50,7,0,0,0,0,1,0,154,29,185,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-27,47,3,0,1,0,2,2,0,191,18,244,66.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,46,8,0,1,0,1,2,0,182,46,238,65.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,30,2,0,1,0,0,0,0,107,8,215,58.72999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,33,4,0,0,0,0,1,0,122,23,222,60.75000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,46,4,0,1,0,0,2,0,164,14,214,58.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-02-01,49,2,0,0,0,0,1,0,193,9,236,64.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,58,3,0,4,0,3,1,0,190,12,196,53.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,41,3,0,2,0,1,1,1,145,18,213,58.20000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
