day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-07-06,11822,902,84,1405,6,820,142,72,63319,5114,321,73.54,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9
2019-07-07,10101,746,29,742,4,351,156,36,52924,4085,314,71.94,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3
2019-07-08,4115,287,12,281,4,122,86,16,21658,1530,315,72.26,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2019-07-09,3788,233,15,236,7,112,69,15,19220,1250,304,69.67,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2019-07-10,3848,243,9,203,5,123,48,14,19676,1353,306,70.21,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2
2019-07-11,3643,229,5,158,2,101,43,6,18209,1307,299,68.63,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
2019-07-12,2462,118,5,88,3,44,28,8,11581,595,282,64.59,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2019-07-13,1398,61,3,78,0,28,29,4,6982,335,299,68.58,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2019-07-14,859,42,2,39,1,20,26,5,4345,209,303,69.46,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2019-07-15,1021,66,6,49,1,30,19,2,5464,354,321,73.48,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-07-16,936,57,3,59,0,24,14,3,4712,294,302,69.12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-07-17,626,40,1,31,0,20,20,5,3213,188,308,70.49,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-07-18,598,36,2,30,0,6,7,0,2998,199,300,68.83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-07-19,560,35,0,25,1,9,7,2,2733,186,292,67.03,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-07-20,620,44,3,31,0,16,13,1,3088,251,298,68.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-07-21,797,48,2,33,0,16,16,1,4182,268,314,72.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-07-22,508,34,0,26,0,11,3,3,2535,147,299,68.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-07-23,509,17,2,20,0,13,11,4,2522,86,297,68.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-07-24,645,48,1,38,0,16,12,0,3363,253,312,71.59,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-07-25,502,26,0,23,1,19,4,0,2401,104,287,65.69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-07-26,468,31,0,16,0,7,9,1,2374,168,304,69.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-07-27,381,19,4,10,0,12,6,1,1896,106,298,68.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-07-28,327,20,0,20,0,5,11,4,1581,105,290,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-29,423,23,1,23,1,19,9,2,2076,142,294,67.39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-07-30,496,28,2,21,1,9,8,4,2495,151,301,69.08,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-07-31,518,31,0,24,0,12,6,2,2463,139,285,65.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-08-01,498,25,1,28,0,12,9,1,2495,145,300,68.79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-08-02,454,12,0,25,0,9,4,1,2096,70,277,63.41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-03,430,25,0,23,1,9,0,2,2228,140,310,71.16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-04,416,39,1,19,0,4,5,1,2211,225,318,72.98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-05,314,12,1,17,0,4,5,2,1661,56,317,72.66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-08-06,285,18,1,13,0,9,5,1,1496,123,315,72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-07,239,20,1,8,0,4,7,0,1334,116,335,76.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-08-08,321,23,0,8,1,4,4,1,1662,145,310,71.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-09,261,11,0,10,1,6,5,0,1453,76,334,76.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-10,234,21,0,6,0,6,0,1,1241,127,318,72.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,263,11,0,11,0,4,4,0,1463,54,333,76.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
