day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2014-11-12,38,0,3,8,0,2,1,1,137,0,217,48.13,0.0645,0.0417,31,31,24,2,1,0.0,0.0,0,0,0,0,0,0
2014-11-13,321,0,14,12,1,5,0,2,1486,0,277,61.480000000000004,0.005,0.0096,399,399,311,2,3,0.0,0.0,0,0,0,0,1,0
2014-11-14,65,0,0,1,0,1,0,0,331,0,305,67.63,0.0,0.0,74,74,57,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-15,45,0,0,1,0,0,0,0,225,0,301,66.59,0.0,0.0,55,55,42,0,0,0.0,0.0,0,0,0,0,0,1
2014-11-16,17,0,0,0,0,0,0,0,118,0,418,92.62,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-17,39,0,0,3,0,0,0,2,175,0,269,59.63,0.0,0.0789,49,49,38,0,3,0.0,0.0,0,0,0,0,1,0
2014-11-18,30,0,0,4,0,0,0,0,153,0,306,67.74,0.0,0.0,39,39,31,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-19,20,0,0,0,0,0,0,0,92,0,278,61.62,0.0256,0.0333,39,39,30,1,1,0.0,0.0,0,0,0,0,0,0
2014-11-20,27,0,0,0,0,0,1,0,89,0,197,43.77,0.0,0.0526,26,26,19,0,1,0.0,0.0,0,0,0,0,0,0
2014-11-21,20,0,0,0,0,1,0,0,78,0,234,51.92,0.0,0.0,11,11,8,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-22,13,0,0,1,0,0,0,0,79,0,366,81.03,0.0,0.0,24,24,17,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-23,7,0,0,0,0,0,0,0,45,0,386,85.55,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-24,14,0,0,0,0,0,0,0,58,0,248,55.05,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-25,16,0,0,0,0,0,0,0,67,0,253,55.98,0.0,0.0,13,13,10,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-26,20,0,0,0,0,1,0,0,90,0,270,59.88,0.0,0.0,15,15,12,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-27,13,0,0,0,0,0,0,0,46,0,216,47.88,0.0,0.0,5,5,4,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-28,16,0,0,1,0,0,0,0,40,0,150,33.26,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-29,17,0,0,0,0,0,1,0,84,0,298,66.13,0.0,0.0,17,17,13,0,0,0.0,0.0,0,0,0,0,0,0
2014-11-30,8,0,0,0,0,0,0,0,27,0,204,45.17,0.0,0.0,6,6,4,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-01,16,0,0,1,0,0,0,0,90,0,338,74.9,0.0,0.0,7,7,5,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-02,16,0,0,0,0,1,0,0,65,0,247,54.71,0.0,0.0,8,8,6,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-03,17,0,0,3,0,0,0,0,73,0,260,57.72999999999999,0.0,0.0,16,16,12,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-04,22,0,0,0,0,0,0,0,56,0,153,33.96,0.0,0.0,16,16,12,0,0,0.0,0.0,0,0,0,0,1,0
2014-12-05,18,0,0,0,0,0,0,0,80,0,269,59.69,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-06,22,0,0,0,0,0,0,0,93,0,255,56.46,0.0,0.0,9,9,6,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-07,11,0,0,0,0,0,0,0,34,0,187,41.53,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-08,5,0,0,0,0,0,0,0,16,0,192,42.61,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-09,13,0,0,0,0,0,0,0,78,0,360,79.75,0.0,0.0,16,16,12,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-10,10,0,0,0,0,0,0,0,45,0,272,60.39,0.1429,0.0,7,7,5,1,0,0.0,0.0,0,0,0,0,1,0
2014-12-11,7,0,0,0,0,1,1,0,30,0,260,57.61999999999999,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-12,9,0,0,1,0,0,0,0,53,0,356,78.86,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-13,18,0,0,1,0,0,0,0,65,0,218,48.28,0.0,0.0,12,12,8,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-14,9,0,0,1,0,0,0,0,46,0,307,68.11,0.0,0.0,10,10,7,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-15,10,0,0,0,0,0,0,0,54,0,326,72.24,0.0,0.0,7,7,5,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-16,8,0,0,0,0,0,0,0,33,0,248,54.90999999999999,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-17,6,0,0,0,0,1,0,0,36,0,363,80.44,0.0,0.0,8,8,6,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-18,5,0,0,0,0,0,0,0,21,0,263,58.28,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-19,3,0,0,0,0,0,0,0,29,0,586,129.85,0.0833,0.0,12,12,9,1,0,0.0,0.0,0,0,0,0,0,0
2014-12-20,5,0,0,0,0,0,0,0,38,0,457,101.12,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-21,2,0,0,0,0,0,0,0,12,0,378,83.73,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-22,2,0,0,0,0,0,0,0,15,0,451,99.92,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-23,5,0,0,0,0,0,0,0,20,0,244,54.010000000000005,0.0,0.0,8,8,6,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-24,4,0,0,0,0,0,0,0,20,0,314,69.66,0.0,0.0,7,7,5,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-25,8,0,0,0,0,0,0,0,36,0,273,60.57,0.125,0.0,8,8,6,1,0,0.0,0.0,0,0,0,0,0,0
2014-12-26,1,0,0,0,0,0,0,0,7,0,448,99.31,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-27,4,0,0,0,0,0,0,0,15,0,238,52.81,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-28,6,0,0,0,0,0,0,0,26,0,265,58.84,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
