day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-07-03,41339,3780,166,2997,33,2842,393,182,268279,26928,389,58.29,0,0,0,0,0,0,0,0.1447,0.011200000000000002,304,21415,44,240,120,15
2020-07-04,40979,3796,86,2084,34,1953,500,144,250462,25298,366,54.89999999999999,0,0,0,0,0,0,0,0.115,0.0095,226,19086,26,182,283,13
2020-07-05,27463,2662,37,1219,16,1459,441,99,164948,17745,360,53.949999999999996,0,0,0,0,0,0,0,0.1435,0.013300000000000001,209,13491,30,180,258,10
2020-07-06,17267,1690,34,855,21,984,336,71,106557,11375,370,55.43,0,0,0,0,0,0,0,0.1128,0.011699999999999999,133,8754,15,102,177,6
2020-07-07,22875,2103,34,970,19,1395,339,85,136196,13570,357,53.48,0,0,0,0,0,0,0,0.1285,0.0137,179,11257,23,154,308,5
2020-07-08,15831,1417,32,734,17,958,289,49,93650,9282,354,53.13,0,0,0,0,0,0,0,0.1193,0.011699999999999999,109,7725,13,90,182,5
2020-07-09,11170,986,9,463,5,601,248,34,69321,6626,372,55.74,0,0,0,0,0,0,0,0.0941,0.0132,85,5666,8,75,134,2
2020-07-10,6870,607,13,255,6,320,150,17,41458,4198,362,54.2,0,0,0,0,0,0,0,0.16,0.0116,50,3288,8,38,72,3
2020-07-11,7607,730,8,294,3,403,180,18,45558,4890,359,53.790000000000006,0,0,0,0,0,0,0,0.11939999999999999,0.014499999999999999,67,3712,8,54,95,2
2020-07-12,6351,625,8,269,3,320,182,25,38038,4178,359,53.79999999999999,0,0,0,0,0,0,0,0.0652,0.0131,46,3063,3,40,71,2
2020-07-13,5264,478,6,230,3,266,120,15,31373,3305,357,53.53,0,0,0,0,0,0,0,0.0882,0.0103,34,2626,3,27,58,3
