videoID,day,likes
3ji4PcqIBEg,2020-07-03,2997
3ji4PcqIBEg,2020-07-04,2084
3ji4PcqIBEg,2020-07-05,1219
3ji4PcqIBEg,2020-07-06,855
3ji4PcqIBEg,2020-07-07,970
3ji4PcqIBEg,2020-07-08,734
3ji4PcqIBEg,2020-07-09,463
3ji4PcqIBEg,2020-07-10,255
3ji4PcqIBEg,2020-07-11,294
3ji4PcqIBEg,2020-07-12,269
3ji4PcqIBEg,2020-07-13,230
3ji4PcqIBEg,2020-07-14,212
3ji4PcqIBEg,2020-07-15,159
3ji4PcqIBEg,2020-07-16,80
3ji4PcqIBEg,2020-07-17,69
3ji4PcqIBEg,2020-07-18,56
3ji4PcqIBEg,2020-07-19,54
3ji4PcqIBEg,2020-07-20,45
3ji4PcqIBEg,2020-07-21,51
3ji4PcqIBEg,2020-07-22,48
3ji4PcqIBEg,2020-07-23,29
3ji4PcqIBEg,2020-07-24,63
3ji4PcqIBEg,2020-07-25,42
3ji4PcqIBEg,2020-07-26,47
3ji4PcqIBEg,2020-07-27,35
3ji4PcqIBEg,2020-07-28,33
3ji4PcqIBEg,2020-07-29,40
3ji4PcqIBEg,2020-07-30,32
3ji4PcqIBEg,2020-07-31,24
3ji4PcqIBEg,2020-08-01,34
3ji4PcqIBEg,2020-08-02,26
3ji4PcqIBEg,2020-08-03,15
3ji4PcqIBEg,2020-08-04,13
3ji4PcqIBEg,2020-08-05,6
3ji4PcqIBEg,2020-08-06,5
3ji4PcqIBEg,2020-08-07,5
3ji4PcqIBEg,2020-08-08,7
3ji4PcqIBEg,2020-08-09,12
3ji4PcqIBEg,2020-08-10,7
3ji4PcqIBEg,2020-08-11,9
3ji4PcqIBEg,2020-08-12,9
3ji4PcqIBEg,2020-08-13,16
3ji4PcqIBEg,2020-08-14,14
3ji4PcqIBEg,2020-08-15,11
3ji4PcqIBEg,2020-08-16,23
3ji4PcqIBEg,2020-08-17,17
3ji4PcqIBEg,2020-08-18,14
3ji4PcqIBEg,2020-08-19,18
3ji4PcqIBEg,2020-08-20,10
3ji4PcqIBEg,2020-08-21,11
3ji4PcqIBEg,2020-08-22,24
3ji4PcqIBEg,2020-08-23,28
3ji4PcqIBEg,2020-08-24,16
3ji4PcqIBEg,2020-08-25,20
3ji4PcqIBEg,2020-08-26,16
3ji4PcqIBEg,2020-08-27,18
3ji4PcqIBEg,2020-08-28,23
3ji4PcqIBEg,2020-08-29,36
3ji4PcqIBEg,2020-08-30,43
3ji4PcqIBEg,2020-08-31,47
3ji4PcqIBEg,2020-09-01,47
3ji4PcqIBEg,2020-09-02,33
3ji4PcqIBEg,2020-09-03,39
3ji4PcqIBEg,2020-09-04,31
3ji4PcqIBEg,2020-09-05,31
3ji4PcqIBEg,2020-09-06,38
3ji4PcqIBEg,2020-09-07,25
3ji4PcqIBEg,2020-09-08,28
3ji4PcqIBEg,2020-09-09,43
3ji4PcqIBEg,2020-09-10,47
3ji4PcqIBEg,2020-09-11,55
3ji4PcqIBEg,2020-09-12,46
3ji4PcqIBEg,2020-09-13,69
3ji4PcqIBEg,2020-09-14,42
3ji4PcqIBEg,2020-09-15,42
3ji4PcqIBEg,2020-09-16,34
3ji4PcqIBEg,2020-09-17,33
3ji4PcqIBEg,2020-09-18,27
3ji4PcqIBEg,2020-09-19,22
3ji4PcqIBEg,2020-09-20,25
3ji4PcqIBEg,2020-09-21,21
3ji4PcqIBEg,2020-09-22,10
3ji4PcqIBEg,2020-09-23,11
3ji4PcqIBEg,2020-09-24,12
3ji4PcqIBEg,2020-09-25,11
3ji4PcqIBEg,2020-09-26,10
3ji4PcqIBEg,2020-09-27,14
3ji4PcqIBEg,2020-09-28,14
3ji4PcqIBEg,2020-09-29,7
3ji4PcqIBEg,2020-09-30,10
3ji4PcqIBEg,2020-10-01,9
3ji4PcqIBEg,2020-10-02,5
3ji4PcqIBEg,2020-10-03,5
3ji4PcqIBEg,2020-10-04,9
3ji4PcqIBEg,2020-10-05,13
3ji4PcqIBEg,2020-10-06,5
3ji4PcqIBEg,2020-10-07,4
3ji4PcqIBEg,2020-10-08,12
3ji4PcqIBEg,2020-10-09,20
3ji4PcqIBEg,2020-10-10,14
3ji4PcqIBEg,2020-10-11,14
3ji4PcqIBEg,2020-10-12,10
3ji4PcqIBEg,2020-10-13,7
3ji4PcqIBEg,2020-10-14,5
3ji4PcqIBEg,2020-10-15,0
3ji4PcqIBEg,2020-10-16,9
3ji4PcqIBEg,2020-10-17,11
3ji4PcqIBEg,2020-10-18,25
3ji4PcqIBEg,2020-10-19,7
3ji4PcqIBEg,2020-10-20,9
3ji4PcqIBEg,2020-10-21,5
3ji4PcqIBEg,2020-10-22,3
3ji4PcqIBEg,2020-10-23,10
3ji4PcqIBEg,2020-10-24,4
3ji4PcqIBEg,2020-10-25,9
3ji4PcqIBEg,2020-10-26,5
3ji4PcqIBEg,2020-10-27,7
3ji4PcqIBEg,2020-10-28,7
3ji4PcqIBEg,2020-10-29,7
3ji4PcqIBEg,2020-10-30,8
3ji4PcqIBEg,2020-10-31,0
3ji4PcqIBEg,2020-11-01,7
3ji4PcqIBEg,2020-11-02,6
3ji4PcqIBEg,2020-11-03,12
3ji4PcqIBEg,2020-11-04,8
3ji4PcqIBEg,2020-11-05,7
3ji4PcqIBEg,2020-11-06,5
3ji4PcqIBEg,2020-11-07,7
3ji4PcqIBEg,2020-11-08,4
3ji4PcqIBEg,2020-11-09,4
3ji4PcqIBEg,2020-11-10,5
3ji4PcqIBEg,2020-11-11,12
3ji4PcqIBEg,2020-11-12,5
3ji4PcqIBEg,2020-11-13,6
3ji4PcqIBEg,2020-11-14,8
3ji4PcqIBEg,2020-11-15,4
3ji4PcqIBEg,2020-11-16,6
3ji4PcqIBEg,2020-11-17,4
3ji4PcqIBEg,2020-11-18,18
3ji4PcqIBEg,2020-11-19,8
3ji4PcqIBEg,2020-11-20,16
3ji4PcqIBEg,2020-11-21,9
3ji4PcqIBEg,2020-11-22,11
3ji4PcqIBEg,2020-11-23,9
3ji4PcqIBEg,2020-11-24,13
3ji4PcqIBEg,2020-11-25,8
3ji4PcqIBEg,2020-11-26,8
3ji4PcqIBEg,2020-11-27,3
3ji4PcqIBEg,2020-11-28,9
3ji4PcqIBEg,2020-11-29,18
3ji4PcqIBEg,2020-11-30,14
3ji4PcqIBEg,2020-12-01,10
3ji4PcqIBEg,2020-12-02,2
3ji4PcqIBEg,2020-12-03,10
3ji4PcqIBEg,2020-12-04,5
3ji4PcqIBEg,2020-12-05,6
3ji4PcqIBEg,2020-12-06,3
3ji4PcqIBEg,2020-12-07,6
3ji4PcqIBEg,2020-12-08,10
3ji4PcqIBEg,2020-12-09,6
