day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-03,2,0,0,0,0,0,1,0,5,0,162,50.66,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2019-01-04,1,0,0,0,0,0,0,0,5,0,304,95.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-05,3,0,0,0,0,0,0,0,11,0,237,73.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,3,0,0,0,0,0,0,0,6,0,123,38.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,2,0,0,0,0,0,0,0,5,0,161,50.36999999999999,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2019-01-09,1,0,0,0,0,0,0,0,0,0,28,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,1,0,0,0,0,0,0,0,1,0,82,25.679999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,5,0,0,0,0,0,0,0,21,0,252,78.75,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2019-01-12,4,0,0,0,0,0,0,0,7,0,110,34.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,6,0,0,0,0,0,0,0,31,0,310,96.59,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0
2019-01-14,1,0,0,0,0,0,0,0,0,0,24,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,6,0,0,0,0,0,0,0,22,0,223,69.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,2,0,0,0,0,0,0,0,8,0,268,83.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-17,3,1,0,0,0,0,0,0,7,5,143,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,1,0,0,0,0,1,0,0,0,0,15,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-19,2,0,0,0,0,1,1,0,5,0,161,50.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,1,0,0,0,0,1,0,0,5,0,320,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,4,0,0,0,0,0,0,0,15,0,237,73.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,1,0,0,0,0,0,1,1,0,0,3,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,1,0,0,0,0,0,0,0,4,0,297,92.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,2,0,0,1,0,0,0,0,9,0,272,84.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,2,0,0,1,0,0,0,0,5,0,157,49.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,2,0,0,0,0,0,0,0,0,0,18,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,3,0,0,0,0,0,0,0,4,0,87,27.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,3,1,0,0,0,0,0,0,13,4,265,82.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,3,0,0,0,0,0,0,0,13,0,271,84.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,2,0,0,1,0,0,0,0,6,0,192,60.02000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-02,2,0,0,0,0,0,0,0,7,0,228,71.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-03,2,0,0,0,0,0,0,0,10,0,320,99.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,4,0,0,0,0,0,0,0,7,0,114,35.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,1,0,0,0,0,0,0,0,1,0,106,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,2,0,0,0,0,0,0,0,5,0,178,55.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-09,1,0,0,0,0,0,0,0,5,0,320,99.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,1,0,0,0,0,0,0,0,4,0,264,82.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,5,0,0,0,0,0,1,0,8,0,101,31.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,3,0,0,0,0,0,0,0,7,0,157,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-16,1,0,0,0,0,0,0,0,5,0,301,94.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,5,0,0,0,0,0,0,0,12,0,149,46.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-18,3,0,0,0,0,0,0,0,5,0,102,32.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
