day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-11-14,13010,1080,69,1131,23,1045,200,63,57370,5253,264,65.01,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14
2019-11-15,4586,380,13,256,5,202,123,18,19267,1726,252,61.94,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4
2019-11-16,2070,190,1,108,4,50,79,15,8630,867,250,61.46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2019-11-17,1955,155,0,74,2,50,46,6,7332,708,225,55.28999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2019-11-18,1522,119,0,67,1,32,40,5,5759,577,227,55.78999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
2019-11-19,1144,72,1,36,0,22,25,6,4249,335,222,54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2019-11-20,912,80,0,32,0,21,20,2,3497,403,230,56.53,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-11-21,577,46,1,27,0,13,17,1,2440,221,253,62.36000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-11-22,440,45,1,13,2,14,18,3,1692,208,230,56.720000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-11-23,323,30,0,16,0,8,20,1,1453,162,270,66.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,347,26,2,6,1,4,19,2,1457,119,252,61.94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-25,332,33,0,20,0,8,5,2,1548,135,279,68.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,304,24,0,14,2,8,11,0,1346,115,265,65.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-27,241,25,0,9,0,7,11,0,1226,154,305,75.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-11-28,260,27,0,12,0,5,8,0,1288,134,297,73.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-29,213,21,0,6,0,10,4,0,985,80,277,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-11-30,198,24,0,8,0,4,10,4,990,109,300,73.74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-12-01,258,23,0,13,1,4,10,0,1229,120,286,70.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
