day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,753,39,2,16,0,13,9,1,5765,356,459,57.79,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0
2019-01-02,887,50,1,17,0,10,5,0,6417,447,434,54.61,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,8,0
2019-01-03,710,29,0,12,0,12,2,1,5524,222,466,58.72999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-04,598,29,1,12,0,9,8,0,4756,306,477,60.040000000000006,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,5,0
2019-01-05,482,27,0,3,0,12,4,1,3627,199,451,56.8,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,4,0
2019-01-06,533,33,2,8,0,11,5,0,4136,241,465,58.57,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-07,501,23,1,6,0,9,2,0,3490,215,418,52.59,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,4,0
2019-01-08,428,19,1,11,0,12,5,0,3053,139,428,53.849999999999994,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-01-09,368,28,1,9,0,5,6,0,2602,272,424,53.38,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
2019-01-10,331,13,0,8,0,5,1,0,2478,115,449,56.52,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-11,358,19,1,7,0,6,0,2,2755,166,461,58.08,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-12,455,30,0,7,1,10,3,1,3807,299,502,63.16,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,2,0
2019-01-13,550,34,0,7,0,8,1,1,4454,289,485,61.13000000000001,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,7,0
2019-01-14,548,31,2,14,1,7,5,0,4389,267,480,60.45,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,1,0
2019-01-15,622,52,0,19,0,11,3,0,4448,469,429,53.98,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,3,0
2019-01-16,657,40,2,17,0,17,3,1,4667,340,426,53.620000000000005,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,4,0
