videoID,day,likes
4OXhZgFZm4c,2018-06-08,263
4OXhZgFZm4c,2018-06-09,249
4OXhZgFZm4c,2018-06-10,95
4OXhZgFZm4c,2018-06-11,58
4OXhZgFZm4c,2018-06-12,37
4OXhZgFZm4c,2018-06-13,25
4OXhZgFZm4c,2018-06-14,10
4OXhZgFZm4c,2018-06-15,11
4OXhZgFZm4c,2018-06-16,10
4OXhZgFZm4c,2018-06-17,13
4OXhZgFZm4c,2018-06-18,5
4OXhZgFZm4c,2018-06-19,8
4OXhZgFZm4c,2018-06-20,6
4OXhZgFZm4c,2018-06-21,3
4OXhZgFZm4c,2018-06-22,7
4OXhZgFZm4c,2018-06-23,3
4OXhZgFZm4c,2018-06-24,5
4OXhZgFZm4c,2018-06-25,4
4OXhZgFZm4c,2018-06-26,4
4OXhZgFZm4c,2018-06-27,5
4OXhZgFZm4c,2018-06-28,4
4OXhZgFZm4c,2018-06-29,7
4OXhZgFZm4c,2018-06-30,3
4OXhZgFZm4c,2018-07-01,6
4OXhZgFZm4c,2018-07-02,6
4OXhZgFZm4c,2018-07-03,5
4OXhZgFZm4c,2018-07-04,5
4OXhZgFZm4c,2018-07-05,0
4OXhZgFZm4c,2018-07-06,3
4OXhZgFZm4c,2018-07-07,5
4OXhZgFZm4c,2018-07-08,4
4OXhZgFZm4c,2018-07-09,3
4OXhZgFZm4c,2018-07-10,7
4OXhZgFZm4c,2018-07-11,1
4OXhZgFZm4c,2018-07-12,3
4OXhZgFZm4c,2018-07-13,7
4OXhZgFZm4c,2018-07-14,4
4OXhZgFZm4c,2018-07-15,3
4OXhZgFZm4c,2018-07-16,1
4OXhZgFZm4c,2018-07-17,4
4OXhZgFZm4c,2018-07-18,2
4OXhZgFZm4c,2018-07-19,2
4OXhZgFZm4c,2018-07-20,0
4OXhZgFZm4c,2018-07-21,7
4OXhZgFZm4c,2018-07-22,4
4OXhZgFZm4c,2018-07-23,5
4OXhZgFZm4c,2018-07-24,13
4OXhZgFZm4c,2018-07-25,8
4OXhZgFZm4c,2018-07-26,9
4OXhZgFZm4c,2018-07-27,6
4OXhZgFZm4c,2018-07-28,7
4OXhZgFZm4c,2018-07-29,9
4OXhZgFZm4c,2018-07-30,10
4OXhZgFZm4c,2018-07-31,3
4OXhZgFZm4c,2018-08-01,2
4OXhZgFZm4c,2018-08-02,8
4OXhZgFZm4c,2018-08-03,4
4OXhZgFZm4c,2018-08-04,8
4OXhZgFZm4c,2018-08-05,12
4OXhZgFZm4c,2018-08-06,9
4OXhZgFZm4c,2018-08-07,3
4OXhZgFZm4c,2018-08-08,7
4OXhZgFZm4c,2018-08-09,4
4OXhZgFZm4c,2018-08-10,5
4OXhZgFZm4c,2018-08-11,10
4OXhZgFZm4c,2018-08-12,7
4OXhZgFZm4c,2018-08-13,8
4OXhZgFZm4c,2018-08-14,7
4OXhZgFZm4c,2018-08-15,3
4OXhZgFZm4c,2018-08-16,1
4OXhZgFZm4c,2018-08-17,4
4OXhZgFZm4c,2018-08-18,3
4OXhZgFZm4c,2018-08-19,7
4OXhZgFZm4c,2018-08-20,4
