day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-05-08,24195,2217,101,1916,20,1627,284,107,204629,19615,507,63.27,0,0,0,0,0,0,0,0.1447,0.0191,795,18658,115,357,46,12
2020-05-09,22532,1920,30,979,8,693,263,58,183836,16601,489,61.03999999999999,0,0,0,0,0,0,0,0.15380000000000002,0.0172,546,14061,84,242,118,11
2020-05-10,16694,1216,20,542,19,422,206,45,130130,10098,467,58.32000000000001,0,0,0,0,0,0,0,0.1563,0.0171,320,8846,50,151,92,5
2020-05-11,15207,1058,17,435,7,336,132,26,120751,9096,476,59.41,0,0,0,0,0,0,0,0.1479,0.0134,257,8296,38,111,93,4
2020-05-12,16324,1119,12,373,14,386,99,34,123426,9350,453,56.64,0,0,0,0,0,0,0,0.16390000000000002,0.011899999999999999,238,8456,39,101,95,2
2020-05-13,10732,803,11,275,9,269,101,39,80724,6711,451,56.34,0,0,0,0,0,0,0,0.1325,0.012,166,6153,22,74,76,3
2020-05-14,8556,458,5,195,5,253,62,43,58201,3479,408,50.95,0,0,0,0,0,0,0,0.11320000000000001,0.0128,159,5328,18,68,69,4
2020-05-15,5002,317,5,124,2,150,50,26,35176,2547,421,52.68000000000001,0,0,0,0,0,0,0,0.11689999999999999,0.0103,77,3018,9,31,36,4
2020-05-16,4382,315,2,88,3,90,59,9,32200,2489,440,55.04,0,0,0,0,0,0,0,0.1918,0.0147,73,2246,14,33,29,1
2020-05-17,4550,290,4,101,3,78,45,3,34041,2400,448,56.04,0,0,0,0,0,0,0,0.125,0.013300000000000001,64,2260,8,30,28,1
2020-05-18,3982,273,4,97,3,79,42,8,29331,2281,441,55.17999999999999,0,0,0,0,0,0,0,0.16879999999999998,0.015600000000000001,77,2177,13,34,33,2
2020-05-19,6031,406,4,141,2,127,41,10,44576,3452,443,55.37,0,0,0,0,0,0,0,0.1609,0.0132,87,2964,14,39,40,1
2020-05-20,8976,601,3,177,3,162,45,18,63357,4602,423,52.87,0,0,0,0,0,0,0,0.125,0.0123,112,4236,14,52,62,1
2020-05-21,11309,675,7,173,6,231,57,26,80340,5471,426,53.21,0,0,0,0,0,0,0,0.14150000000000001,0.009399999999999999,106,5002,15,47,73,2
2020-05-22,17956,1060,12,247,8,285,54,31,127873,8322,427,53.339999999999996,0,0,0,0,0,0,0,0.175,0.0095,160,6723,28,64,108,4
2020-05-23,44292,2883,28,521,22,603,83,58,323614,22243,438,54.730000000000004,0,0,0,0,0,0,0,0.1586,0.009300000000000001,290,14042,46,131,229,4
2020-05-24,61724,4157,27,666,30,950,139,69,429672,30929,417,52.14,0,0,0,0,0,0,0,0.125,0.0087,384,20207,48,175,358,6
2020-05-25,36728,2528,24,436,16,600,131,41,254283,18971,415,51.85999999999999,0,0,0,0,0,0,0,0.1743,0.009899999999999999,304,13461,53,133,234,3
2020-05-26,31513,1953,19,337,12,517,94,33,215350,14380,410,51.190000000000005,0,0,0,0,0,0,0,0.1231,0.0104,260,11656,32,121,183,3
2020-05-27,32872,2009,10,320,22,569,91,38,224386,14603,409,51.129999999999995,0,0,0,0,0,0,0,0.09849999999999999,0.0102,264,12192,26,124,169,3
2020-05-28,29599,1927,50,315,22,546,89,26,203264,14290,412,51.44,0,0,0,0,0,0,0,0.15380000000000002,0.0108,247,10383,38,112,174,4
2020-05-29,28706,1692,12,277,16,510,100,43,189019,12311,395,49.32,0,0,0,0,0,0,0,0.1025,0.011200000000000002,244,9967,25,112,144,1
2020-05-30,18033,1090,6,164,8,338,86,22,118560,7578,394,49.25,0,0,0,0,0,0,0,0.1097,0.0108,155,6276,17,68,104,2
2020-05-31,10807,652,3,95,1,164,76,11,71297,4679,395,49.42,0,0,0,0,0,0,0,0.1739,0.009899999999999999,92,3832,16,38,43,1
2020-06-01,8288,516,7,77,1,117,54,10,56120,3632,406,50.72,0,0,0,0,0,0,0,0.2075,0.0159,106,3083,22,49,42,1
2020-06-02,7323,402,4,60,0,117,44,9,48873,2851,400,49.99,0,0,0,0,0,0,0,0.1515,0.010700000000000001,66,2795,10,30,31,0
