day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-09-10,168003,9518,324,4096,78,3721,492,518,1396611,89652,498,53.06000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,799,17
2019-09-11,148426,6925,200,2528,103,2600,568,458,1085876,60566,438,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,854,17
2019-09-12,51504,2577,78,935,42,908,328,193,361714,21237,421,44.83,0,0,0,0,0,0,0,0,0,0,0,0,0,350,8
2019-09-13,33608,2098,49,722,37,786,242,119,257870,18652,460,48.98,0,0,0,0,0,0,0,0,0,0,0,0,0,261,8
2019-09-14,33272,2129,48,732,38,811,199,156,261217,18601,471,50.11,0,0,0,0,0,0,0,0,0,0,0,0,0,329,4
2019-09-15,25256,1532,33,552,28,582,210,107,205615,13348,488,51.96999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,303,5
2019-09-16,18183,1182,27,388,21,365,140,77,148720,10055,490,52.21,0,0,0,0,0,0,0,0,0,0,0,0,0,189,2
2019-09-17,12374,798,10,216,16,287,124,65,98640,7026,478,50.88,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1
2019-09-18,5706,389,6,116,2,131,98,33,46595,3426,489,52.12,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1
2019-09-19,3690,218,5,71,4,63,87,21,28700,1831,466,49.65,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1
2019-09-20,2312,139,3,53,4,53,59,15,18655,1310,484,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2019-09-21,2839,178,5,66,2,34,45,12,23867,1570,504,53.66,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
2019-09-22,3858,282,4,97,2,75,71,13,32241,2542,501,53.339999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1
2019-09-23,4273,334,9,108,2,92,60,19,35063,2842,492,52.38,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
2019-09-24,4884,333,7,113,6,116,44,18,38870,2732,477,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
2019-09-25,4534,350,4,79,1,68,48,18,41041,3370,543,57.78,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
2019-09-26,4388,331,7,81,3,58,42,11,39995,3056,546,58.18,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2
2019-09-27,3867,241,3,60,1,50,29,12,31737,2070,492,52.39,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2019-09-28,5745,365,8,82,1,69,30,12,46045,3323,480,51.16,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
2019-09-29,7424,452,8,142,5,126,39,19,57124,4043,461,49.11,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1
2019-09-30,4700,290,5,76,2,71,31,12,36572,2570,466,49.67,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2
2019-10-01,3343,207,3,58,1,44,28,12,26460,1930,474,50.519999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
2019-10-02,2365,167,4,47,1,49,27,14,18144,1304,460,48.97,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
2019-10-03,1997,139,3,33,1,24,28,5,15639,1335,469,49.99,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
2019-10-04,1927,108,1,42,0,35,23,7,15098,1076,470,50.01,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2019-10-05,1677,90,1,30,0,30,39,2,13116,789,469,49.92,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
