day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-10-29,19741,3501,188,2032,135,1688,338,92,58867,10918,178,54.88000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26
2021-10-30,14523,2331,89,1256,57,716,415,71,45803,7864,189,58.050000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13
2021-10-31,6961,1184,29,476,17,252,182,37,22654,4100,195,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5
2021-11-01,5422,838,16,376,17,214,161,18,16357,2615,181,55.53,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2021-11-02,3241,506,8,219,10,149,88,9,9723,1580,180,55.22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2021-11-03,2146,320,7,137,6,88,75,7,6131,1027,171,52.59,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
2021-11-04,998,140,4,54,3,28,52,5,2874,456,172,53.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-11-05,842,120,5,46,2,23,36,8,2455,377,174,53.67000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2021-11-06,722,144,3,47,1,21,24,0,2408,490,200,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,981,193,1,59,5,39,33,0,3197,630,195,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-11-08,1038,158,6,65,1,15,30,2,3326,565,192,58.989999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021-11-09,905,146,4,52,1,15,24,0,2831,500,187,57.59000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-10,931,177,1,51,2,22,33,2,2883,575,185,56.99999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-11-11,817,137,7,57,3,20,17,3,2509,456,184,56.54,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-12,708,124,0,47,0,17,19,0,2063,390,174,53.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021-11-13,859,143,3,49,3,23,11,3,2540,442,177,54.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-14,818,140,2,44,1,25,13,1,2423,459,177,54.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-15,657,118,2,29,0,12,19,0,1952,362,178,54.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-16,672,110,2,33,4,12,7,0,1997,330,178,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-17,605,100,1,26,1,9,12,1,1846,343,183,56.169999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-18,557,89,1,34,2,10,9,0,1704,269,183,56.330000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-19,512,72,0,35,0,15,10,3,1480,231,173,53.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-20,452,86,0,21,0,7,5,1,1418,307,188,57.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-21,488,75,1,20,2,10,14,1,1366,183,167,51.519999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,433,75,1,7,1,5,7,0,1338,248,185,56.89999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-23,430,64,0,26,1,9,8,2,1197,170,167,51.239999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-24,613,122,3,36,2,11,6,2,1710,344,167,51.34000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-25,570,93,1,25,3,32,25,1,1518,274,159,49.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-26,486,87,1,23,2,14,6,3,1450,264,179,54.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-27,391,55,1,22,5,2,12,5,1129,171,173,53.17000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,417,77,0,17,2,10,7,5,1219,216,175,53.839999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-29,258,53,1,12,0,6,10,1,778,143,181,55.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-30,229,37,0,8,1,2,7,0,714,106,187,57.440000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021-12-01,259,34,1,7,2,4,5,1,855,128,198,60.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-02,279,44,1,9,1,7,8,0,814,146,175,53.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-12-03,326,49,1,13,1,4,12,0,917,175,168,51.81,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2021-12-04,221,35,1,9,0,4,9,0,681,98,184,56.72999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-05,255,43,0,19,0,6,5,0,809,138,190,58.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-06,216,32,0,6,1,3,8,0,630,99,175,53.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-07,153,26,0,5,0,1,5,0,457,89,179,55.09,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-12-08,139,23,1,6,0,4,4,1,407,72,175,53.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-09,150,25,0,3,0,2,12,0,470,67,188,57.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-10,157,29,1,3,0,2,4,2,494,95,188,57.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,163,28,1,6,0,3,1,0,494,76,181,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-12,204,39,0,6,1,5,4,0,606,116,178,54.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-13,182,39,0,5,0,1,3,0,581,142,191,58.81000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-14,161,34,0,4,2,1,4,0,513,104,191,58.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-15,138,28,0,6,0,1,5,1,446,104,194,59.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-16,122,15,0,8,0,2,6,0,383,63,188,57.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,111,9,0,2,0,0,2,0,351,39,189,58.21000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,114,17,0,6,1,10,5,0,369,71,194,59.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-19,89,8,0,4,0,1,4,0,308,38,208,63.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-20,106,17,0,6,0,1,2,0,323,49,182,56.10000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-21,92,19,0,6,0,2,3,1,297,65,194,59.53000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-22,116,17,1,4,1,1,2,0,372,64,192,59.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-23,89,11,0,1,2,1,1,1,252,37,170,52.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-24,74,11,0,3,0,1,3,0,253,25,205,62.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-25,98,23,1,5,0,2,3,0,318,64,195,59.82999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-26,104,17,1,8,0,0,5,0,338,65,195,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-27,124,21,0,3,1,0,2,0,379,60,183,56.279999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28,108,13,0,4,0,3,2,0,327,45,181,55.730000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-29,94,14,0,2,0,0,4,0,291,52,185,56.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30,131,20,0,6,0,2,2,1,402,70,184,56.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-31,96,19,1,6,0,5,6,1,285,53,178,54.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,135,21,0,5,0,2,5,0,403,63,179,54.99000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,136,18,0,11,0,4,5,0,378,48,167,51.24999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,112,16,0,2,0,5,3,0,338,41,181,55.620000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,113,20,0,6,1,0,3,0,369,61,196,60.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-05,132,26,0,4,0,1,2,0,447,100,203,62.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,110,13,0,5,1,1,4,0,326,42,178,54.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,111,29,0,3,0,2,2,0,322,76,174,53.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-08,110,13,0,4,1,2,6,0,338,37,184,56.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-09,136,25,0,6,0,2,7,0,429,69,189,58.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,120,19,0,4,0,2,1,0,406,78,203,62.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,99,17,0,3,0,1,1,1,349,64,211,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,97,19,0,4,0,2,3,0,307,52,190,58.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-01-13,78,11,0,8,0,0,3,0,265,46,204,62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,67,11,0,4,0,2,2,0,213,38,190,58.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-15,101,18,1,7,1,1,2,0,323,56,192,59.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-16,134,20,0,7,0,2,2,0,475,81,212,65.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-17,131,29,0,2,1,1,5,0,454,91,208,63.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,93,27,0,3,0,6,3,0,323,94,208,63.96999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-19,69,12,0,5,0,0,4,0,247,44,214,65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-20,70,16,0,6,-1,0,0,0,251,72,215,66.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,65,20,0,0,0,6,1,0,216,68,199,61.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-22,178,33,0,5,2,6,2,0,579,108,195,59.870000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,184,35,0,9,0,2,7,0,590,123,192,59.089999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2022-01-24,137,30,0,9,0,0,2,0,494,106,216,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,175,29,1,17,0,6,2,0,612,97,210,64.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-26,127,27,0,4,0,3,2,0,418,97,197,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,171,35,0,6,0,4,3,0,572,99,201,61.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,128,15,0,6,0,1,3,0,415,53,194,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-29,122,18,0,6,0,1,0,0,381,63,187,57.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022-01-30,118,24,0,2,0,1,4,0,362,65,184,56.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-31,81,8,0,4,0,3,2,0,302,36,223,68.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-02-01,75,13,0,-1,0,1,0,0,245,48,196,60.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-02,60,13,0,2,0,2,1,0,189,44,189,58.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-03,58,6,0,4,0,3,0,0,202,19,209,64.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-04,74,18,0,6,0,1,1,0,262,74,213,65.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-05,78,9,0,1,0,2,0,1,285,46,219,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-06,97,16,0,5,0,1,3,0,365,81,226,69.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,88,17,0,2,0,2,3,0,329,63,224,68.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08,66,19,1,0,0,1,1,0,236,66,215,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-09,79,14,0,3,0,2,1,0,282,55,214,65.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-10,77,21,0,2,0,1,2,0,245,68,191,58.650000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-11,98,18,0,3,0,3,2,0,338,60,207,63.53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
