day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-11-23,3,0,0,0,0,0,0,1,20,0,412,68.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,2,0,0,0,0,0,0,1,2,0,87,14.540000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,27841,2181,155,1745,50,1634,259,131,170932,14575,368,61.09,0,0,0,0,0,0,0,0,0,0,0,0,0,44,17
2019-11-27,32964,2404,110,1157,49,1351,344,142,191286,15139,348,57.74,0,0,0,0,0,0,0,0,0,0,0,0,0,131,6
2019-11-28,33621,2438,64,777,45,1126,267,103,190969,14543,340,56.52,0,0,0,0,0,0,0,0,0,0,0,0,0,144,3
2019-11-29,32270,2724,64,883,37,1387,271,112,176274,16230,327,54.35,0,0,0,0,0,0,0,0,0,0,0,0,0,165,2
2019-11-30,32421,2825,70,1013,42,1427,289,113,171363,16149,317,52.59,0,0,0,0,0,0,0,0,0,0,0,0,0,236,5
2019-12-01,36084,3181,62,1148,51,1598,343,116,185284,18041,308,51.09,0,0,0,0,0,0,0,0,0,0,0,0,0,270,9
2019-12-02,29591,2709,63,1016,36,1332,286,94,149662,14969,303,50.33,0,0,0,0,0,0,0,0,0,0,0,0,0,207,6
2019-12-03,19901,1702,37,697,25,897,248,60,101386,9116,305,50.690000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7
2019-12-04,13753,1152,16,521,16,629,184,53,70985,6278,309,51.35999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,106,5
2019-12-05,11407,952,15,409,19,491,137,49,59081,5315,310,51.54,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1
2019-12-06,9178,722,32,353,10,394,108,29,46984,3787,307,50.94,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4
2019-12-07,13127,1006,14,494,9,502,128,44,64671,5169,295,49.02,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1
2019-12-08,15380,1087,21,628,7,538,143,35,72959,5364,284,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2
2019-12-09,9123,611,7,344,5,317,126,28,42564,2925,279,46.42,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
2019-12-10,7775,529,13,260,4,243,109,21,36553,2559,282,46.78,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2
2019-12-11,5775,412,7,209,1,163,68,15,26807,2018,278,46.19,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
2019-12-12,2028,130,1,69,0,56,52,12,9637,617,285,47.29,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
2019-12-13,1433,76,4,48,0,33,51,4,7050,433,295,48.95,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
2019-12-14,1122,63,1,45,1,23,44,2,5624,323,300,49.88,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-12-15,1055,64,2,43,1,33,37,4,5823,350,331,54.93,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-12-16,557,36,1,23,4,12,28,3,3112,238,335,55.59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-12-17,476,26,0,15,0,10,44,3,2731,178,344,57.10000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-12-18,447,29,2,17,0,13,33,5,2437,133,327,54.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-12-19,415,38,1,11,0,5,23,3,2350,296,339,56.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-12-20,413,38,0,7,0,4,21,1,2362,253,343,56.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-12-21,356,28,0,17,1,15,30,3,1957,177,329,54.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-12-22,392,38,1,12,0,13,30,3,2411,232,369,61.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-23,334,19,0,11,0,11,26,0,2012,144,361,59.93999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
