videoID,day,likes
5XmJrQdsqyQ,2019-11-23,0
5XmJrQdsqyQ,2019-11-25,0
5XmJrQdsqyQ,2019-11-26,1745
5XmJrQdsqyQ,2019-11-27,1157
5XmJrQdsqyQ,2019-11-28,777
5XmJrQdsqyQ,2019-11-29,883
5XmJrQdsqyQ,2019-11-30,1013
5XmJrQdsqyQ,2019-12-01,1148
5XmJrQdsqyQ,2019-12-02,1016
5XmJrQdsqyQ,2019-12-03,697
5XmJrQdsqyQ,2019-12-04,521
5XmJrQdsqyQ,2019-12-05,409
5XmJrQdsqyQ,2019-12-06,353
5XmJrQdsqyQ,2019-12-07,494
5XmJrQdsqyQ,2019-12-08,628
5XmJrQdsqyQ,2019-12-09,344
5XmJrQdsqyQ,2019-12-10,260
5XmJrQdsqyQ,2019-12-11,209
5XmJrQdsqyQ,2019-12-12,69
5XmJrQdsqyQ,2019-12-13,48
5XmJrQdsqyQ,2019-12-14,45
5XmJrQdsqyQ,2019-12-15,43
5XmJrQdsqyQ,2019-12-16,23
5XmJrQdsqyQ,2019-12-17,15
5XmJrQdsqyQ,2019-12-18,17
5XmJrQdsqyQ,2019-12-19,11
5XmJrQdsqyQ,2019-12-20,7
5XmJrQdsqyQ,2019-12-21,17
5XmJrQdsqyQ,2019-12-22,12
5XmJrQdsqyQ,2019-12-23,11
5XmJrQdsqyQ,2019-12-24,9
5XmJrQdsqyQ,2019-12-25,9
5XmJrQdsqyQ,2019-12-26,17
5XmJrQdsqyQ,2019-12-27,7
5XmJrQdsqyQ,2019-12-28,4
5XmJrQdsqyQ,2019-12-29,0
5XmJrQdsqyQ,2019-12-30,5
5XmJrQdsqyQ,2019-12-31,8
5XmJrQdsqyQ,2020-01-01,8
5XmJrQdsqyQ,2020-01-02,7
5XmJrQdsqyQ,2020-01-03,9
5XmJrQdsqyQ,2020-01-04,10
5XmJrQdsqyQ,2020-01-05,9
5XmJrQdsqyQ,2020-01-06,6
5XmJrQdsqyQ,2020-01-07,7
5XmJrQdsqyQ,2020-01-08,4
5XmJrQdsqyQ,2020-01-09,6
5XmJrQdsqyQ,2020-01-10,6
5XmJrQdsqyQ,2020-01-11,13
5XmJrQdsqyQ,2020-01-12,10
5XmJrQdsqyQ,2020-01-13,5
5XmJrQdsqyQ,2020-01-14,5
5XmJrQdsqyQ,2020-01-15,9
5XmJrQdsqyQ,2020-01-16,6
5XmJrQdsqyQ,2020-01-17,13
5XmJrQdsqyQ,2020-01-18,3
5XmJrQdsqyQ,2020-01-19,6
5XmJrQdsqyQ,2020-01-20,7
5XmJrQdsqyQ,2020-01-21,10
5XmJrQdsqyQ,2020-01-22,2
5XmJrQdsqyQ,2020-01-23,7
5XmJrQdsqyQ,2020-01-24,9
5XmJrQdsqyQ,2020-01-25,7
5XmJrQdsqyQ,2020-01-26,4
5XmJrQdsqyQ,2020-01-27,8
5XmJrQdsqyQ,2020-01-28,6
5XmJrQdsqyQ,2020-01-29,6
5XmJrQdsqyQ,2020-01-30,5
5XmJrQdsqyQ,2020-01-31,11
5XmJrQdsqyQ,2020-02-01,2
5XmJrQdsqyQ,2020-02-02,6
5XmJrQdsqyQ,2020-02-03,5
5XmJrQdsqyQ,2020-02-04,16
5XmJrQdsqyQ,2020-02-05,5
5XmJrQdsqyQ,2020-02-06,7
5XmJrQdsqyQ,2020-02-07,7
5XmJrQdsqyQ,2020-02-08,22
5XmJrQdsqyQ,2020-02-09,31
5XmJrQdsqyQ,2020-02-10,13
5XmJrQdsqyQ,2020-02-11,14
5XmJrQdsqyQ,2020-02-12,13
5XmJrQdsqyQ,2020-02-13,16
5XmJrQdsqyQ,2020-02-14,14
5XmJrQdsqyQ,2020-02-15,17
5XmJrQdsqyQ,2020-02-16,17
5XmJrQdsqyQ,2020-02-17,15
5XmJrQdsqyQ,2020-02-18,8
5XmJrQdsqyQ,2020-02-19,9
5XmJrQdsqyQ,2020-02-20,17
5XmJrQdsqyQ,2020-02-21,10
5XmJrQdsqyQ,2020-02-22,16
5XmJrQdsqyQ,2020-02-23,18
5XmJrQdsqyQ,2020-02-24,24
5XmJrQdsqyQ,2020-02-25,16
5XmJrQdsqyQ,2020-02-26,19
5XmJrQdsqyQ,2020-02-27,5
5XmJrQdsqyQ,2020-02-28,7
5XmJrQdsqyQ,2020-02-29,8
5XmJrQdsqyQ,2020-03-01,11
5XmJrQdsqyQ,2020-03-02,16
5XmJrQdsqyQ,2020-03-03,13
5XmJrQdsqyQ,2020-03-04,16
5XmJrQdsqyQ,2020-03-05,26
5XmJrQdsqyQ,2020-03-06,33
5XmJrQdsqyQ,2020-03-07,41
5XmJrQdsqyQ,2020-03-08,41
5XmJrQdsqyQ,2020-03-09,27
5XmJrQdsqyQ,2020-03-10,32
5XmJrQdsqyQ,2020-03-11,33
5XmJrQdsqyQ,2020-03-12,30
5XmJrQdsqyQ,2020-03-13,28
5XmJrQdsqyQ,2020-03-14,31
5XmJrQdsqyQ,2020-03-15,38
5XmJrQdsqyQ,2020-03-16,28
5XmJrQdsqyQ,2020-03-17,31
5XmJrQdsqyQ,2020-03-18,28
5XmJrQdsqyQ,2020-03-19,22
5XmJrQdsqyQ,2020-03-20,30
5XmJrQdsqyQ,2020-03-21,50
5XmJrQdsqyQ,2020-03-22,45
5XmJrQdsqyQ,2020-03-23,68
5XmJrQdsqyQ,2020-03-24,54
5XmJrQdsqyQ,2020-03-25,67
5XmJrQdsqyQ,2020-03-26,106
5XmJrQdsqyQ,2020-03-27,99
5XmJrQdsqyQ,2020-03-28,96
5XmJrQdsqyQ,2020-03-29,71
5XmJrQdsqyQ,2020-03-30,75
5XmJrQdsqyQ,2020-03-31,41
5XmJrQdsqyQ,2020-04-01,34
5XmJrQdsqyQ,2020-04-02,36
5XmJrQdsqyQ,2020-04-03,25
5XmJrQdsqyQ,2020-04-04,21
5XmJrQdsqyQ,2020-04-05,20
5XmJrQdsqyQ,2020-04-06,5
5XmJrQdsqyQ,2020-04-07,17
5XmJrQdsqyQ,2020-04-08,24
5XmJrQdsqyQ,2020-04-09,20
5XmJrQdsqyQ,2020-04-10,22
5XmJrQdsqyQ,2020-04-11,22
5XmJrQdsqyQ,2020-04-12,22
5XmJrQdsqyQ,2020-04-13,19
5XmJrQdsqyQ,2020-04-14,17
5XmJrQdsqyQ,2020-04-15,25
5XmJrQdsqyQ,2020-04-16,22
5XmJrQdsqyQ,2020-04-17,25
5XmJrQdsqyQ,2020-04-18,9
5XmJrQdsqyQ,2020-04-19,22
5XmJrQdsqyQ,2020-04-20,21
5XmJrQdsqyQ,2020-04-21,25
5XmJrQdsqyQ,2020-04-22,23
5XmJrQdsqyQ,2020-04-23,11
5XmJrQdsqyQ,2020-04-24,20
5XmJrQdsqyQ,2020-04-25,33
5XmJrQdsqyQ,2020-04-26,29
5XmJrQdsqyQ,2020-04-27,27
5XmJrQdsqyQ,2020-04-28,27
5XmJrQdsqyQ,2020-04-29,41
5XmJrQdsqyQ,2020-04-30,66
5XmJrQdsqyQ,2020-05-01,61
5XmJrQdsqyQ,2020-05-02,59
5XmJrQdsqyQ,2020-05-03,81
5XmJrQdsqyQ,2020-05-04,76
5XmJrQdsqyQ,2020-05-05,62
5XmJrQdsqyQ,2020-05-06,63
5XmJrQdsqyQ,2020-05-07,36
5XmJrQdsqyQ,2020-05-08,64
5XmJrQdsqyQ,2020-05-09,56
5XmJrQdsqyQ,2020-05-10,59
5XmJrQdsqyQ,2020-05-11,33
5XmJrQdsqyQ,2020-05-12,39
5XmJrQdsqyQ,2020-05-13,53
5XmJrQdsqyQ,2020-05-14,37
5XmJrQdsqyQ,2020-05-15,53
5XmJrQdsqyQ,2020-05-16,41
5XmJrQdsqyQ,2020-05-17,57
5XmJrQdsqyQ,2020-05-18,44
5XmJrQdsqyQ,2020-05-19,52
5XmJrQdsqyQ,2020-05-20,69
5XmJrQdsqyQ,2020-05-21,118
5XmJrQdsqyQ,2020-05-22,190
5XmJrQdsqyQ,2020-05-23,208
5XmJrQdsqyQ,2020-05-24,254
5XmJrQdsqyQ,2020-05-25,189
5XmJrQdsqyQ,2020-05-26,204
5XmJrQdsqyQ,2020-05-27,185
5XmJrQdsqyQ,2020-05-28,171
5XmJrQdsqyQ,2020-05-29,145
5XmJrQdsqyQ,2020-05-30,162
5XmJrQdsqyQ,2020-05-31,154
5XmJrQdsqyQ,2020-06-01,143
5XmJrQdsqyQ,2020-06-02,141
5XmJrQdsqyQ,2020-06-03,113
5XmJrQdsqyQ,2020-06-04,108
5XmJrQdsqyQ,2020-06-05,95
5XmJrQdsqyQ,2020-06-06,115
5XmJrQdsqyQ,2020-06-07,135
5XmJrQdsqyQ,2020-06-08,108
5XmJrQdsqyQ,2020-06-09,102
5XmJrQdsqyQ,2020-06-10,78
5XmJrQdsqyQ,2020-06-11,71
5XmJrQdsqyQ,2020-06-12,93
5XmJrQdsqyQ,2020-06-13,63
5XmJrQdsqyQ,2020-06-14,69
5XmJrQdsqyQ,2020-06-15,49
5XmJrQdsqyQ,2020-06-16,46
5XmJrQdsqyQ,2020-06-17,44
5XmJrQdsqyQ,2020-06-18,49
5XmJrQdsqyQ,2020-06-19,47
5XmJrQdsqyQ,2020-06-20,46
5XmJrQdsqyQ,2020-06-21,58
5XmJrQdsqyQ,2020-06-22,72
5XmJrQdsqyQ,2020-06-23,74
5XmJrQdsqyQ,2020-06-24,99
5XmJrQdsqyQ,2020-06-25,105
5XmJrQdsqyQ,2020-06-26,119
5XmJrQdsqyQ,2020-06-27,88
5XmJrQdsqyQ,2020-06-28,109
5XmJrQdsqyQ,2020-06-29,82
5XmJrQdsqyQ,2020-06-30,61
5XmJrQdsqyQ,2020-07-01,60
5XmJrQdsqyQ,2020-07-02,46
5XmJrQdsqyQ,2020-07-03,32
5XmJrQdsqyQ,2020-07-04,41
5XmJrQdsqyQ,2020-07-05,47
5XmJrQdsqyQ,2020-07-06,42
5XmJrQdsqyQ,2020-07-07,53
5XmJrQdsqyQ,2020-07-08,52
5XmJrQdsqyQ,2020-07-09,33
5XmJrQdsqyQ,2020-07-10,47
5XmJrQdsqyQ,2020-07-11,52
5XmJrQdsqyQ,2020-07-12,74
5XmJrQdsqyQ,2020-07-13,70
5XmJrQdsqyQ,2020-07-14,69
5XmJrQdsqyQ,2020-07-15,90
5XmJrQdsqyQ,2020-07-16,73
5XmJrQdsqyQ,2020-07-17,64
5XmJrQdsqyQ,2020-07-18,44
5XmJrQdsqyQ,2020-07-19,43
5XmJrQdsqyQ,2020-07-20,43
5XmJrQdsqyQ,2020-07-21,36
5XmJrQdsqyQ,2020-07-22,32
5XmJrQdsqyQ,2020-07-23,40
5XmJrQdsqyQ,2020-07-24,45
5XmJrQdsqyQ,2020-07-25,32
5XmJrQdsqyQ,2020-07-26,34
5XmJrQdsqyQ,2020-07-27,22
5XmJrQdsqyQ,2020-07-28,34
5XmJrQdsqyQ,2020-07-29,26
5XmJrQdsqyQ,2020-07-30,26
5XmJrQdsqyQ,2020-07-31,21
5XmJrQdsqyQ,2020-08-01,24
5XmJrQdsqyQ,2020-08-02,29
5XmJrQdsqyQ,2020-08-03,17
5XmJrQdsqyQ,2020-08-04,23
5XmJrQdsqyQ,2020-08-05,27
5XmJrQdsqyQ,2020-08-06,18
5XmJrQdsqyQ,2020-08-07,18
5XmJrQdsqyQ,2020-08-08,20
5XmJrQdsqyQ,2020-08-09,25
5XmJrQdsqyQ,2020-08-10,36
5XmJrQdsqyQ,2020-08-11,41
5XmJrQdsqyQ,2020-08-12,38
5XmJrQdsqyQ,2020-08-13,46
5XmJrQdsqyQ,2020-08-14,32
5XmJrQdsqyQ,2020-08-15,35
5XmJrQdsqyQ,2020-08-16,33
5XmJrQdsqyQ,2020-08-17,35
5XmJrQdsqyQ,2020-08-18,19
5XmJrQdsqyQ,2020-08-19,26
5XmJrQdsqyQ,2020-08-20,29
5XmJrQdsqyQ,2020-08-21,29
5XmJrQdsqyQ,2020-08-22,31
5XmJrQdsqyQ,2020-08-23,44
5XmJrQdsqyQ,2020-08-24,45
5XmJrQdsqyQ,2020-08-25,44
5XmJrQdsqyQ,2020-08-26,42
5XmJrQdsqyQ,2020-08-27,44
5XmJrQdsqyQ,2020-08-28,49
5XmJrQdsqyQ,2020-08-29,35
5XmJrQdsqyQ,2020-08-30,38
5XmJrQdsqyQ,2020-08-31,43
5XmJrQdsqyQ,2020-09-01,37
5XmJrQdsqyQ,2020-09-02,59
5XmJrQdsqyQ,2020-09-03,49
5XmJrQdsqyQ,2020-09-04,38
5XmJrQdsqyQ,2020-09-05,48
5XmJrQdsqyQ,2020-09-06,75
5XmJrQdsqyQ,2020-09-07,42
5XmJrQdsqyQ,2020-09-08,37
5XmJrQdsqyQ,2020-09-09,38
5XmJrQdsqyQ,2020-09-10,21
5XmJrQdsqyQ,2020-09-11,41
5XmJrQdsqyQ,2020-09-12,27
5XmJrQdsqyQ,2020-09-13,35
5XmJrQdsqyQ,2020-09-14,27
5XmJrQdsqyQ,2020-09-15,34
5XmJrQdsqyQ,2020-09-16,32
5XmJrQdsqyQ,2020-09-17,51
5XmJrQdsqyQ,2020-09-18,36
5XmJrQdsqyQ,2020-09-19,59
5XmJrQdsqyQ,2020-09-20,49
5XmJrQdsqyQ,2020-09-21,50
5XmJrQdsqyQ,2020-09-22,41
5XmJrQdsqyQ,2020-09-23,45
5XmJrQdsqyQ,2020-09-24,25
5XmJrQdsqyQ,2020-09-25,24
5XmJrQdsqyQ,2020-09-26,33
5XmJrQdsqyQ,2020-09-27,40
5XmJrQdsqyQ,2020-09-28,54
5XmJrQdsqyQ,2020-09-29,48
5XmJrQdsqyQ,2020-09-30,27
5XmJrQdsqyQ,2020-10-01,30
5XmJrQdsqyQ,2020-10-02,44
5XmJrQdsqyQ,2020-10-03,49
5XmJrQdsqyQ,2020-10-04,62
5XmJrQdsqyQ,2020-10-05,51
5XmJrQdsqyQ,2020-10-06,53
5XmJrQdsqyQ,2020-10-07,49
5XmJrQdsqyQ,2020-10-08,38
5XmJrQdsqyQ,2020-10-09,31
5XmJrQdsqyQ,2020-10-10,22
5XmJrQdsqyQ,2020-10-11,21
5XmJrQdsqyQ,2020-10-12,28
