day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2014-11-05,11,0,2,1,0,2,1,0,24,0,133,53.55,0.0,0.0,6,6,3,0,0,0,0,0,0,0,0,0,0
2014-11-06,9,0,0,1,0,1,0,0,12,0,85,34.52,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-11-07,11,0,0,0,0,0,0,0,23,0,127,51.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-08,7,0,0,0,0,0,0,0,13,0,114,46.17,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,13,0,0,0,0,0,0,0,24,0,113,45.45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-10,4,0,0,0,0,0,0,0,8,0,129,52.12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-11,13,0,0,1,0,0,0,0,23,0,110,44.47,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-12,15,0,0,0,0,0,0,0,35,0,141,56.96,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-11-13,9,0,0,0,0,0,0,0,24,0,160,64.59,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,7,0,0,0,0,0,0,0,12,0,111,44.59,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-15,9,0,0,0,0,0,0,0,27,0,183,73.61,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-16,8,0,0,0,0,0,0,0,17,0,133,53.73,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-17,5,0,1,1,0,0,0,0,12,0,152,61.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-18,8,0,0,0,0,0,0,0,19,0,144,57.95,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-19,5,0,0,0,0,0,0,0,10,0,120,48.45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-20,5,0,0,0,0,0,0,0,9,0,118,47.76,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-21,9,0,0,0,0,0,0,0,10,0,67,27.27,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-22,9,0,0,0,0,0,0,0,18,0,124,49.85,0.0,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,4,0,0,0,0,0,0,0,14,0,220,88.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-24,5,0,0,0,0,0,0,0,10,0,120,48.24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-25,6,0,0,0,0,0,0,0,14,0,142,57.07,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-11-26,3,0,0,0,0,0,0,0,1,0,32,13.18,0.0,0.0,4,4,2,0,0,0,0,0,0,0,0,0,0
2014-11-27,4,0,0,1,0,0,0,0,5,0,84,34.12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-28,6,0,0,0,0,0,0,0,10,0,105,42.32,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-29,6,0,0,0,0,0,0,0,18,0,186,74.99,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,6,0,0,0,0,0,0,0,7,0,71,28.850000000000005,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,6,0,0,0,0,1,0,0,4,0,43,17.57,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-02,5,0,0,0,0,0,0,0,14,0,169,68.12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-03,3,0,0,1,0,0,0,0,5,0,118,47.45,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-12-04,1,0,0,0,0,0,0,0,3,0,223,89.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,4,0,0,0,0,0,0,1,10,0,156,62.79,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-12-06,7,0,0,0,0,0,0,0,6,0,56,22.77,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,9,0,0,0,0,0,0,0,9,0,62,24.99,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,5,0,0,0,0,0,0,0,9,0,116,46.88,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,2,0,0,0,0,0,0,0,8,0,248,99.74,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-11,3,0,0,0,0,1,1,0,0,0,6,2.42,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-12,2,0,0,0,0,0,0,0,5,0,159,63.94,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-13,6,0,0,0,0,0,0,0,6,0,61,24.79,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,6,0,0,0,0,0,0,0,6,0,68,27.449999999999996,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-15,5,0,0,0,0,0,0,0,4,0,56,22.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-16,2,0,0,0,0,0,0,0,0,0,21,8.71,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-17,2,0,0,0,0,0,0,0,0,0,14,6.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-18,3,0,0,0,0,0,0,0,10,0,211,85.09,0.0,0.0,3,3,1,0,0,0,0,0,0,0,0,0,0
2014-12-19,2,0,0,0,0,0,0,0,7,0,221,88.76,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-20,7,0,0,0,0,0,0,0,13,0,118,47.54,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,1,0,0,0,0,0,0,0,0,0,28,11.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-22,1,0,0,1,0,0,0,0,4,0,246,98.96,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
