day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,782,38,2,7,0,11,6,4,4268,233,327,57.56,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-02,891,34,1,20,1,21,4,1,4906,222,330,58.07,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,5,0
2019-01-03,1295,46,4,18,1,4,1,1,6674,293,309,54.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-01-04,1042,44,5,15,1,9,7,0,5746,280,330,58.15,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,2,0
2019-01-05,1765,62,1,30,2,18,5,5,9486,353,322,56.67,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,13,0
2019-01-06,480,11,2,8,1,7,6,0,2567,82,320,56.41,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-01-07,345,14,3,10,1,4,3,0,1870,112,325,57.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-08,333,15,1,7,0,6,4,1,1814,81,326,57.46,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,1
2019-01-09,320,15,0,2,0,3,2,1,1630,62,305,53.73,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2019-01-10,381,23,0,10,1,10,1,7,1790,99,281,49.55,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,6,0
2019-01-11,581,30,1,15,0,12,2,6,2726,170,281,49.48,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0
2019-01-12,340,15,1,5,0,16,5,0,1837,50,324,56.99999999999999,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,0
