videoID,day,likes
5yx3O9cZ5NM,2018-10-27,940
5yx3O9cZ5NM,2018-10-28,672
5yx3O9cZ5NM,2018-10-29,325
5yx3O9cZ5NM,2018-10-30,317
5yx3O9cZ5NM,2018-10-31,111
5yx3O9cZ5NM,2018-11-01,118
5yx3O9cZ5NM,2018-11-02,55
5yx3O9cZ5NM,2018-11-03,16
5yx3O9cZ5NM,2018-11-04,15
5yx3O9cZ5NM,2018-11-05,25
5yx3O9cZ5NM,2018-11-06,12
5yx3O9cZ5NM,2018-11-07,10
5yx3O9cZ5NM,2018-11-08,6
5yx3O9cZ5NM,2018-11-09,14
5yx3O9cZ5NM,2018-11-10,14
5yx3O9cZ5NM,2018-11-11,17
5yx3O9cZ5NM,2018-11-12,14
5yx3O9cZ5NM,2018-11-13,9
5yx3O9cZ5NM,2018-11-14,18
5yx3O9cZ5NM,2018-11-15,10
5yx3O9cZ5NM,2018-11-16,13
5yx3O9cZ5NM,2018-11-17,7
5yx3O9cZ5NM,2018-11-18,5
5yx3O9cZ5NM,2018-11-19,9
5yx3O9cZ5NM,2018-11-20,5
5yx3O9cZ5NM,2018-11-21,3
5yx3O9cZ5NM,2018-11-22,5
5yx3O9cZ5NM,2018-11-23,10
5yx3O9cZ5NM,2018-11-24,10
5yx3O9cZ5NM,2018-11-25,28
5yx3O9cZ5NM,2018-11-26,25
5yx3O9cZ5NM,2018-11-27,25
5yx3O9cZ5NM,2018-11-28,7
5yx3O9cZ5NM,2018-11-29,16
5yx3O9cZ5NM,2018-11-30,9
5yx3O9cZ5NM,2018-12-01,10
5yx3O9cZ5NM,2018-12-02,10
5yx3O9cZ5NM,2018-12-03,4
5yx3O9cZ5NM,2018-12-04,13
5yx3O9cZ5NM,2018-12-05,8
5yx3O9cZ5NM,2018-12-06,8
5yx3O9cZ5NM,2018-12-07,9
5yx3O9cZ5NM,2018-12-08,13
5yx3O9cZ5NM,2018-12-09,9
5yx3O9cZ5NM,2018-12-10,13
5yx3O9cZ5NM,2018-12-11,13
5yx3O9cZ5NM,2018-12-12,13
5yx3O9cZ5NM,2018-12-13,17
5yx3O9cZ5NM,2018-12-14,16
5yx3O9cZ5NM,2018-12-15,13
5yx3O9cZ5NM,2018-12-16,11
5yx3O9cZ5NM,2018-12-17,13
5yx3O9cZ5NM,2018-12-18,6
5yx3O9cZ5NM,2018-12-19,19
5yx3O9cZ5NM,2018-12-20,4
5yx3O9cZ5NM,2018-12-21,9
5yx3O9cZ5NM,2018-12-22,21
5yx3O9cZ5NM,2018-12-23,15
5yx3O9cZ5NM,2018-12-24,17
5yx3O9cZ5NM,2018-12-25,18
5yx3O9cZ5NM,2018-12-26,21
5yx3O9cZ5NM,2018-12-27,16
5yx3O9cZ5NM,2018-12-28,11
5yx3O9cZ5NM,2018-12-29,14
5yx3O9cZ5NM,2018-12-30,20
5yx3O9cZ5NM,2018-12-31,14
5yx3O9cZ5NM,2019-01-01,7
5yx3O9cZ5NM,2019-01-02,20
5yx3O9cZ5NM,2019-01-03,18
5yx3O9cZ5NM,2019-01-04,15
5yx3O9cZ5NM,2019-01-05,30
5yx3O9cZ5NM,2019-01-06,8
5yx3O9cZ5NM,2019-01-07,10
5yx3O9cZ5NM,2019-01-08,7
5yx3O9cZ5NM,2019-01-09,2
5yx3O9cZ5NM,2019-01-10,10
5yx3O9cZ5NM,2019-01-11,15
5yx3O9cZ5NM,2019-01-12,5
5yx3O9cZ5NM,2019-01-13,9
5yx3O9cZ5NM,2019-01-14,7
5yx3O9cZ5NM,2019-01-15,7
5yx3O9cZ5NM,2019-01-16,10
5yx3O9cZ5NM,2019-01-17,5
5yx3O9cZ5NM,2019-01-18,4
5yx3O9cZ5NM,2019-01-19,6
5yx3O9cZ5NM,2019-01-20,8
5yx3O9cZ5NM,2019-01-21,5
5yx3O9cZ5NM,2019-01-22,4
5yx3O9cZ5NM,2019-01-23,6
5yx3O9cZ5NM,2019-01-24,5
5yx3O9cZ5NM,2019-01-25,1
5yx3O9cZ5NM,2019-01-26,7
5yx3O9cZ5NM,2019-01-27,7
5yx3O9cZ5NM,2019-01-28,7
5yx3O9cZ5NM,2019-01-29,7
5yx3O9cZ5NM,2019-01-30,5
5yx3O9cZ5NM,2019-01-31,10
5yx3O9cZ5NM,2019-02-01,6
5yx3O9cZ5NM,2019-02-02,18
5yx3O9cZ5NM,2019-02-03,45
5yx3O9cZ5NM,2019-02-04,23
5yx3O9cZ5NM,2019-02-05,17
5yx3O9cZ5NM,2019-02-06,12
5yx3O9cZ5NM,2019-02-07,15
5yx3O9cZ5NM,2019-02-08,17
5yx3O9cZ5NM,2019-02-09,14
5yx3O9cZ5NM,2019-02-10,20
5yx3O9cZ5NM,2019-02-11,10
5yx3O9cZ5NM,2019-02-12,25
5yx3O9cZ5NM,2019-02-13,13
5yx3O9cZ5NM,2019-02-14,11
5yx3O9cZ5NM,2019-02-15,15
5yx3O9cZ5NM,2019-02-16,10
5yx3O9cZ5NM,2019-02-17,14
5yx3O9cZ5NM,2019-02-18,13
5yx3O9cZ5NM,2019-02-19,8
5yx3O9cZ5NM,2019-02-20,6
5yx3O9cZ5NM,2019-02-21,20
5yx3O9cZ5NM,2019-02-22,10
5yx3O9cZ5NM,2019-02-23,21
5yx3O9cZ5NM,2019-02-24,12
5yx3O9cZ5NM,2019-02-25,16
5yx3O9cZ5NM,2019-02-26,8
5yx3O9cZ5NM,2019-02-27,6
5yx3O9cZ5NM,2019-02-28,10
5yx3O9cZ5NM,2019-03-01,2
5yx3O9cZ5NM,2019-03-02,19
5yx3O9cZ5NM,2019-03-03,17
5yx3O9cZ5NM,2019-03-04,8
5yx3O9cZ5NM,2019-03-05,7
5yx3O9cZ5NM,2019-03-06,6
5yx3O9cZ5NM,2019-03-07,6
5yx3O9cZ5NM,2019-03-08,8
5yx3O9cZ5NM,2019-03-09,17
5yx3O9cZ5NM,2019-03-10,31
5yx3O9cZ5NM,2019-03-11,21
5yx3O9cZ5NM,2019-03-12,11
5yx3O9cZ5NM,2019-03-13,22
5yx3O9cZ5NM,2019-03-14,14
5yx3O9cZ5NM,2019-03-15,22
5yx3O9cZ5NM,2019-03-16,17
5yx3O9cZ5NM,2019-03-17,21
5yx3O9cZ5NM,2019-03-18,34
5yx3O9cZ5NM,2019-03-19,57
5yx3O9cZ5NM,2019-03-20,33
5yx3O9cZ5NM,2019-03-21,56
5yx3O9cZ5NM,2019-03-22,49
5yx3O9cZ5NM,2019-03-23,51
5yx3O9cZ5NM,2019-03-24,40
5yx3O9cZ5NM,2019-03-25,26
5yx3O9cZ5NM,2019-03-26,21
5yx3O9cZ5NM,2019-03-27,9
5yx3O9cZ5NM,2019-03-28,10
5yx3O9cZ5NM,2019-03-29,9
5yx3O9cZ5NM,2019-03-30,12
5yx3O9cZ5NM,2019-03-31,8
5yx3O9cZ5NM,2019-04-01,2
5yx3O9cZ5NM,2019-04-02,6
5yx3O9cZ5NM,2019-04-03,14
5yx3O9cZ5NM,2019-04-04,5
5yx3O9cZ5NM,2019-04-05,7
5yx3O9cZ5NM,2019-04-06,8
5yx3O9cZ5NM,2019-04-07,8
5yx3O9cZ5NM,2019-04-08,9
5yx3O9cZ5NM,2019-04-09,9
5yx3O9cZ5NM,2019-04-10,8
5yx3O9cZ5NM,2019-04-11,4
5yx3O9cZ5NM,2019-04-12,5
5yx3O9cZ5NM,2019-04-13,9
5yx3O9cZ5NM,2019-04-14,2
5yx3O9cZ5NM,2019-04-15,3
5yx3O9cZ5NM,2019-04-16,2
5yx3O9cZ5NM,2019-04-17,2
5yx3O9cZ5NM,2019-04-18,3
5yx3O9cZ5NM,2019-04-19,3
5yx3O9cZ5NM,2019-04-20,6
5yx3O9cZ5NM,2019-04-21,1
5yx3O9cZ5NM,2019-04-22,2
5yx3O9cZ5NM,2019-04-23,3
5yx3O9cZ5NM,2019-04-24,1
5yx3O9cZ5NM,2019-04-25,2
5yx3O9cZ5NM,2019-04-26,2
5yx3O9cZ5NM,2019-04-27,2
5yx3O9cZ5NM,2019-04-28,1
5yx3O9cZ5NM,2019-04-29,7
5yx3O9cZ5NM,2019-04-30,9
5yx3O9cZ5NM,2019-05-01,7
5yx3O9cZ5NM,2019-05-02,8
5yx3O9cZ5NM,2019-05-03,5
5yx3O9cZ5NM,2019-05-04,11
5yx3O9cZ5NM,2019-05-05,17
5yx3O9cZ5NM,2019-05-06,5
5yx3O9cZ5NM,2019-05-07,17
5yx3O9cZ5NM,2019-05-08,12
5yx3O9cZ5NM,2019-05-09,14
5yx3O9cZ5NM,2019-05-10,6
5yx3O9cZ5NM,2019-05-11,6
5yx3O9cZ5NM,2019-05-12,5
