day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2018-01-28,8696,481,78,917,6,388,53,93,78913,4603,544,66.08,0,0,33,33,0,0,0,0.0,0.0,0,294,0,0,39,6
2018-01-29,26533,1220,80,922,35,565,102,96,236118,10863,533,64.8,0,0,0,0,0,0,0,0.5,0.006500000000000001,4,460,2,3,275,9
2018-01-30,67809,3471,160,1661,54,1441,177,217,576255,29244,509,61.88,0,0,0,0,0,0,0,0.6,0.0051,5,988,3,5,956,9
2018-01-31,99245,4270,248,1978,147,1950,290,277,779042,34221,470,57.16,0,0,0,0,0,0,0,0.3333,0.0017000000000000001,3,1209,1,2,1272,6
2018-02-01,56105,2411,95,978,66,1348,257,195,405055,17605,433,52.57000000000001,0,0,0,0,0,0,0,0.0,0.0018,1,570,0,1,601,14
2018-02-02,26629,1090,48,505,23,788,173,138,180918,7398,407,49.47,0,0,0,0,0,0,0,1.0,0.0028000000000000004,1,357,1,1,340,5
2018-02-03,21610,870,28,422,23,521,137,100,155176,6230,430,52.290000000000006,0,0,0,0,0,0,0,1.0,0.0069,2,288,2,2,266,3
2018-02-04,10394,361,14,206,8,208,120,51,74753,2743,431,52.37,0,0,0,0,0,0,0,0.6667000000000001,0.008,3,250,2,2,112,4
2018-02-05,7415,277,8,140,7,155,87,27,52111,2089,421,51.17,0,0,0,0,0,0,0,1.0,0.0072,1,139,1,1,79,1
2018-02-06,7019,259,10,142,3,110,64,35,50450,1932,431,52.34000000000001,0,0,0,0,0,0,0,0.0,0.0,1,151,0,0,80,2
2018-02-07,7600,265,8,131,4,87,61,23,53639,1919,423,51.39,0,0,0,0,0,0,0,1.0,0.006,1,167,1,1,86,1
2018-02-08,8299,337,11,153,4,125,59,20,58694,2445,424,51.5,0,0,0,0,0,0,0,0.0,0.0,1,180,0,0,83,1
2018-02-09,11046,413,16,231,8,158,52,29,81204,3114,441,53.53,0,0,0,0,0,0,0,0.0,0.0,0,235,0,0,108,0
2018-02-10,11002,449,11,239,10,162,64,38,80657,3652,439,53.38,0,0,0,0,0,0,0,0.0,0.0,0,231,0,0,119,3
2018-02-11,17065,745,16,300,5,272,82,45,128699,5889,452,54.92,0,0,0,0,0,0,0,0.0,0.0042,2,238,0,1,199,1
2018-02-12,18158,932,19,330,7,299,81,40,135414,7226,447,54.29999999999999,0,0,0,0,0,0,0,0.0,0.0,0,306,0,0,192,1
2018-02-13,21902,1135,18,375,14,308,80,53,159105,8485,435,52.900000000000006,0,0,0,0,0,0,0,0.0,0.0,0,258,0,0,226,2
2018-02-14,22275,1281,20,359,8,346,77,49,160467,9884,432,52.459999999999994,0,0,0,0,0,0,0,0.5,0.004699999999999999,2,211,1,1,190,1
2018-02-15,21707,923,20,348,9,323,80,48,146902,6730,406,49.28,0,0,0,0,0,0,0,0.5,0.0092,2,217,1,2,191,1
2018-02-16,20813,862,20,271,9,272,75,53,138230,6263,398,48.36,0,0,0,0,0,0,0,0.0,0.0,0,190,0,0,183,4
2018-02-17,20000,902,14,255,4,273,79,38,128592,6289,385,46.82,0,0,0,0,0,0,0,0.0,0.0,1,200,0,0,154,2
2018-02-18,17849,725,19,238,8,250,64,30,116021,5285,390,47.33,0,0,0,0,0,0,0,1.0,0.005600000000000001,1,180,1,1,122,1
2018-02-19,20895,990,22,264,11,291,81,47,140909,7141,404,49.1,0,0,0,0,0,0,0,0.0,0.0,0,227,0,0,153,2
2018-02-20,16833,628,8,198,8,177,56,18,102225,4234,364,44.22,0,0,0,0,0,0,0,0.5,0.0124,2,161,1,2,117,2
2018-02-21,14982,506,18,217,5,145,65,15,92311,3517,369,44.87,0,0,0,0,0,0,0,0.0,0.0,0,154,0,0,137,1
2018-02-22,16048,659,22,218,14,191,53,32,104594,4627,391,47.46,0,0,0,0,0,0,0,0.0,0.0,0,200,0,0,152,3
2018-02-23,11596,365,12,146,7,132,52,24,70467,2484,364,44.25,0,0,0,0,0,0,0,0.0,0.0,0,138,0,0,109,0
2018-02-24,11917,346,9,153,10,127,76,26,72058,2365,362,44.03,0,0,0,0,0,0,0,0.0,0.0,0,117,0,0,94,2
2018-02-25,11377,395,7,153,5,136,69,29,70651,2655,372,45.22,0,0,0,0,0,0,0,0.0,0.0,0,120,0,0,87,1
2018-02-26,10723,366,14,132,4,99,57,11,66370,2404,371,45.07,0,0,0,0,0,0,0,0.5,0.0068000000000000005,2,146,1,1,85,6
2018-02-27,10446,341,12,121,6,94,44,16,64722,2446,371,45.12,0,0,0,0,0,0,0,0.0,0.0087,1,115,0,1,79,2
2018-02-28,10587,353,5,121,5,102,40,32,64425,2375,365,44.31,0,0,0,0,0,0,0,0.0,0.0,0,90,0,0,100,6
2018-03-01,6921,206,9,72,4,86,41,10,42144,1366,365,44.34,0,0,0,0,0,0,0,0.0,0.0,0,62,0,0,76,2
2018-03-02,5355,198,3,90,6,70,42,26,34275,1256,384,46.61,0,0,0,0,0,0,0,0.0,0.0,0,66,0,0,67,3
2018-03-03,6050,284,9,108,4,88,35,19,40546,2133,402,48.8,0,0,0,0,0,0,0,0.0,0.0,0,71,0,0,82,1
2018-03-04,8006,319,11,138,7,151,53,20,55652,2258,417,50.62,0,0,0,0,0,0,0,1.0,0.0118,1,85,1,1,93,0
2018-03-05,4699,246,11,84,8,91,40,15,32526,1847,415,50.4,0,0,0,0,0,0,0,0.0,0.0,0,62,0,0,65,0
2018-03-06,5761,349,11,102,1,121,31,9,41043,2464,427,51.88,0,0,0,0,0,0,0,0.0,0.0,0,66,0,0,67,4
2018-03-07,6757,442,11,141,4,112,37,19,49968,3322,443,53.849999999999994,0,0,0,0,0,0,0,0.0,0.0,0,110,0,0,94,1
2018-03-08,4299,213,6,75,6,61,32,23,30384,1588,424,51.46000000000001,0,0,0,0,0,0,0,1.0,0.0,1,76,1,0,52,0
2018-03-09,3777,140,3,57,4,48,36,14,26531,984,421,51.15,0,0,0,0,0,0,0,1.0,0.0161,1,62,1,1,47,1
2018-03-10,5015,207,10,73,6,65,40,14,37188,1619,444,54.0,0,0,0,0,0,0,0,0.0,0.0,0,90,0,0,75,1
2018-03-11,3930,135,13,74,7,47,32,4,29269,998,446,54.230000000000004,0,0,0,0,0,0,0,1.0,0.0141,1,71,1,1,56,2
2018-03-12,3946,154,5,75,6,46,40,5,30030,1226,456,55.40999999999999,0,0,0,0,0,0,0,0.0,0.0,0,98,0,0,50,1
2018-03-13,3909,127,8,71,5,60,32,8,28668,1013,440,53.400000000000006,0,0,0,0,0,0,0,0.0,0.0,1,92,0,0,50,0
2018-03-14,3365,106,3,54,4,45,32,4,23869,793,425,51.65,0,0,0,0,0,0,0,0.0,0.0,0,81,0,0,34,0
2018-03-15,3720,128,4,65,0,49,26,10,27103,896,437,53.05,0,0,0,0,0,0,0,0.0,0.0,1,77,0,0,41,1
2018-03-16,3593,120,5,52,3,46,24,2,27023,972,451,54.76,0,0,0,0,0,0,0,0.0,0.0,0,71,0,0,33,0
2018-03-17,3826,117,3,70,0,32,21,4,28906,915,453,55.010000000000005,0,0,0,0,0,0,0,1.0,0.012199999999999999,1,82,1,1,38,1
2018-03-18,4799,196,4,70,3,52,37,7,37478,1417,468,56.87,0,0,0,0,0,0,0,0.0,0.0,0,92,0,0,53,1
2018-03-19,5126,156,4,84,2,53,28,13,39361,1284,460,55.91,0,0,0,0,0,0,0,0.0,0.0,0,120,0,0,53,1
2018-03-20,4498,145,8,64,6,55,23,21,33415,1228,445,54.09,0,0,0,0,0,0,0,0.0,0.0,0,92,0,0,33,0
2018-03-21,7226,284,13,115,4,96,30,13,52243,1924,433,52.65,0,0,0,0,0,0,0,0.0,0.0,0,90,0,0,86,1
2018-03-22,6315,266,9,99,0,76,35,15,47002,1983,446,54.2,0,0,0,0,0,0,0,0.0,0.0,0,73,0,0,71,0
2018-03-23,6611,270,9,80,5,110,30,9,49321,2096,447,54.32,0,0,0,0,0,0,0,0.0,0.0,0,88,0,0,62,0
2018-03-24,9366,356,7,130,9,123,34,21,72833,2764,466,56.61999999999999,0,0,0,0,0,0,0,0.0,0.0,0,129,0,0,84,0
2018-03-25,7732,326,6,117,3,106,41,24,59582,2494,462,56.11000000000001,0,0,0,0,0,0,0,0.0,0.0,0,107,0,0,98,0
2018-03-26,5964,277,4,88,7,101,32,8,44716,2048,449,54.6,0,0,0,0,0,0,0,0.0,0.0,0,91,0,0,49,0
2018-03-27,6196,230,7,70,5,97,36,10,47575,1752,460,55.91,0,0,0,0,0,0,0,0.0,0.0,0,81,0,0,59,2
2018-03-28,4212,144,3,66,3,60,37,22,31804,1238,453,54.98,0,0,0,0,0,0,0,0.0,0.0,0,70,0,0,39,0
2018-03-29,3425,132,2,38,1,51,40,8,24915,1006,436,52.96999999999999,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,28,1
2018-03-30,4047,164,6,38,0,62,26,9,30220,1225,448,54.37,0,0,0,0,0,0,0,0.0,0.0,1,44,0,0,40,0
2018-03-31,4620,204,9,74,0,66,25,14,35443,1498,460,55.86,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,55,2
2018-04-01,4219,136,8,47,2,44,30,7,30305,1039,430,52.300000000000004,0,0,0,0,0,0,0,0.0,0.0,0,55,0,0,28,0
2018-04-02,3970,105,2,44,4,48,29,14,28057,786,424,51.46000000000001,0,0,0,0,0,0,0,0.0,0.0,0,57,0,0,39,1
2018-04-03,3405,99,2,44,1,45,24,7,24556,738,432,52.51,0,0,0,0,0,0,0,0.0,0.0,0,40,0,0,35,1
2018-04-04,2724,73,2,38,5,34,26,12,19644,514,432,52.51,0,0,0,0,0,0,0,0.0,0.0,0,41,0,0,36,0
2018-04-05,3460,112,4,36,1,54,16,9,24937,835,432,52.47999999999999,0,0,0,0,0,0,0,0.0,0.0286,1,35,0,1,29,0
2018-04-06,3772,136,5,54,3,48,28,7,26885,858,427,51.9,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,36,0
2018-04-07,4163,126,2,47,3,60,33,13,30579,943,440,53.49,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,42,0
2018-04-08,3931,130,4,47,5,45,20,4,28849,1040,440,53.44,0,0,0,0,0,0,0,1.0,0.0208,1,48,1,1,42,1
