videoID,day,likes
6l4kr36TzQ4,2018-01-28,917
6l4kr36TzQ4,2018-01-29,922
6l4kr36TzQ4,2018-01-30,1661
6l4kr36TzQ4,2018-01-31,1978
6l4kr36TzQ4,2018-02-01,978
6l4kr36TzQ4,2018-02-02,505
6l4kr36TzQ4,2018-02-03,422
6l4kr36TzQ4,2018-02-04,206
6l4kr36TzQ4,2018-02-05,140
6l4kr36TzQ4,2018-02-06,142
6l4kr36TzQ4,2018-02-07,131
6l4kr36TzQ4,2018-02-08,153
6l4kr36TzQ4,2018-02-09,231
6l4kr36TzQ4,2018-02-10,239
6l4kr36TzQ4,2018-02-11,300
6l4kr36TzQ4,2018-02-12,330
6l4kr36TzQ4,2018-02-13,375
6l4kr36TzQ4,2018-02-14,359
6l4kr36TzQ4,2018-02-15,348
6l4kr36TzQ4,2018-02-16,271
6l4kr36TzQ4,2018-02-17,255
6l4kr36TzQ4,2018-02-18,238
6l4kr36TzQ4,2018-02-19,264
6l4kr36TzQ4,2018-02-20,198
6l4kr36TzQ4,2018-02-21,217
6l4kr36TzQ4,2018-02-22,218
6l4kr36TzQ4,2018-02-23,146
6l4kr36TzQ4,2018-02-24,153
6l4kr36TzQ4,2018-02-25,153
6l4kr36TzQ4,2018-02-26,132
6l4kr36TzQ4,2018-02-27,121
6l4kr36TzQ4,2018-02-28,121
6l4kr36TzQ4,2018-03-01,72
6l4kr36TzQ4,2018-03-02,90
6l4kr36TzQ4,2018-03-03,108
6l4kr36TzQ4,2018-03-04,138
6l4kr36TzQ4,2018-03-05,84
6l4kr36TzQ4,2018-03-06,102
6l4kr36TzQ4,2018-03-07,141
6l4kr36TzQ4,2018-03-08,75
6l4kr36TzQ4,2018-03-09,57
6l4kr36TzQ4,2018-03-10,73
6l4kr36TzQ4,2018-03-11,74
6l4kr36TzQ4,2018-03-12,75
6l4kr36TzQ4,2018-03-13,71
6l4kr36TzQ4,2018-03-14,54
6l4kr36TzQ4,2018-03-15,65
6l4kr36TzQ4,2018-03-16,52
6l4kr36TzQ4,2018-03-17,70
6l4kr36TzQ4,2018-03-18,70
6l4kr36TzQ4,2018-03-19,84
6l4kr36TzQ4,2018-03-20,64
6l4kr36TzQ4,2018-03-21,115
6l4kr36TzQ4,2018-03-22,99
6l4kr36TzQ4,2018-03-23,80
6l4kr36TzQ4,2018-03-24,130
6l4kr36TzQ4,2018-03-25,117
6l4kr36TzQ4,2018-03-26,88
6l4kr36TzQ4,2018-03-27,70
6l4kr36TzQ4,2018-03-28,66
6l4kr36TzQ4,2018-03-29,38
6l4kr36TzQ4,2018-03-30,38
6l4kr36TzQ4,2018-03-31,74
6l4kr36TzQ4,2018-04-01,47
6l4kr36TzQ4,2018-04-02,44
6l4kr36TzQ4,2018-04-03,44
6l4kr36TzQ4,2018-04-04,38
6l4kr36TzQ4,2018-04-05,36
6l4kr36TzQ4,2018-04-06,54
6l4kr36TzQ4,2018-04-07,47
6l4kr36TzQ4,2018-04-08,47
6l4kr36TzQ4,2018-04-09,46
6l4kr36TzQ4,2018-04-10,44
6l4kr36TzQ4,2018-04-11,71
6l4kr36TzQ4,2018-04-12,50
6l4kr36TzQ4,2018-04-13,39
6l4kr36TzQ4,2018-04-14,40
6l4kr36TzQ4,2018-04-15,54
6l4kr36TzQ4,2018-04-16,28
6l4kr36TzQ4,2018-04-17,40
6l4kr36TzQ4,2018-04-18,39
6l4kr36TzQ4,2018-04-19,32
6l4kr36TzQ4,2018-04-20,32
6l4kr36TzQ4,2018-04-21,54
6l4kr36TzQ4,2018-04-22,69
6l4kr36TzQ4,2018-04-23,34
6l4kr36TzQ4,2018-04-24,44
6l4kr36TzQ4,2018-04-25,53
6l4kr36TzQ4,2018-04-26,66
6l4kr36TzQ4,2018-04-27,34
6l4kr36TzQ4,2018-04-28,43
6l4kr36TzQ4,2018-04-29,54
6l4kr36TzQ4,2018-04-30,37
6l4kr36TzQ4,2018-05-01,31
6l4kr36TzQ4,2018-05-02,31
6l4kr36TzQ4,2018-05-03,22
6l4kr36TzQ4,2018-05-04,27
6l4kr36TzQ4,2018-05-05,37
6l4kr36TzQ4,2018-05-06,28
6l4kr36TzQ4,2018-05-07,42
6l4kr36TzQ4,2018-05-08,62
6l4kr36TzQ4,2018-05-09,55
6l4kr36TzQ4,2018-05-10,51
6l4kr36TzQ4,2018-05-11,54
6l4kr36TzQ4,2018-05-12,80
6l4kr36TzQ4,2018-05-13,64
6l4kr36TzQ4,2018-05-14,42
6l4kr36TzQ4,2018-05-15,38
6l4kr36TzQ4,2018-05-16,45
6l4kr36TzQ4,2018-05-17,118
6l4kr36TzQ4,2018-05-18,274
6l4kr36TzQ4,2018-05-19,168
6l4kr36TzQ4,2018-05-20,72
6l4kr36TzQ4,2018-05-21,80
6l4kr36TzQ4,2018-05-22,68
6l4kr36TzQ4,2018-05-23,58
6l4kr36TzQ4,2018-05-24,57
6l4kr36TzQ4,2018-05-25,56
6l4kr36TzQ4,2018-05-26,76
6l4kr36TzQ4,2018-05-27,81
6l4kr36TzQ4,2018-05-28,59
6l4kr36TzQ4,2018-05-29,30
6l4kr36TzQ4,2018-05-30,30
6l4kr36TzQ4,2018-05-31,34
6l4kr36TzQ4,2018-06-01,41
6l4kr36TzQ4,2018-06-02,47
6l4kr36TzQ4,2018-06-03,40
6l4kr36TzQ4,2018-06-04,48
6l4kr36TzQ4,2018-06-05,34
6l4kr36TzQ4,2018-06-06,30
6l4kr36TzQ4,2018-06-07,26
6l4kr36TzQ4,2018-06-08,41
6l4kr36TzQ4,2018-06-09,57
6l4kr36TzQ4,2018-06-10,46
6l4kr36TzQ4,2018-06-11,43
6l4kr36TzQ4,2018-06-12,29
6l4kr36TzQ4,2018-06-13,25
6l4kr36TzQ4,2018-06-14,21
6l4kr36TzQ4,2018-06-15,21
6l4kr36TzQ4,2018-06-16,19
6l4kr36TzQ4,2018-06-17,27
6l4kr36TzQ4,2018-06-18,24
6l4kr36TzQ4,2018-06-19,14
6l4kr36TzQ4,2018-06-20,8
6l4kr36TzQ4,2018-06-21,7
6l4kr36TzQ4,2018-06-22,10
6l4kr36TzQ4,2018-06-23,13
6l4kr36TzQ4,2018-06-24,17
6l4kr36TzQ4,2018-06-25,13
6l4kr36TzQ4,2018-06-26,19
6l4kr36TzQ4,2018-06-27,22
6l4kr36TzQ4,2018-06-28,26
6l4kr36TzQ4,2018-06-29,13
6l4kr36TzQ4,2018-06-30,21
6l4kr36TzQ4,2018-07-01,22
6l4kr36TzQ4,2018-07-02,36
6l4kr36TzQ4,2018-07-03,24
6l4kr36TzQ4,2018-07-04,26
6l4kr36TzQ4,2018-07-05,24
6l4kr36TzQ4,2018-07-06,35
6l4kr36TzQ4,2018-07-07,21
6l4kr36TzQ4,2018-07-08,27
6l4kr36TzQ4,2018-07-09,24
6l4kr36TzQ4,2018-07-10,21
6l4kr36TzQ4,2018-07-11,28
6l4kr36TzQ4,2018-07-12,33
6l4kr36TzQ4,2018-07-13,38
6l4kr36TzQ4,2018-07-14,35
6l4kr36TzQ4,2018-07-15,45
6l4kr36TzQ4,2018-07-16,31
6l4kr36TzQ4,2018-07-17,35
6l4kr36TzQ4,2018-07-18,23
6l4kr36TzQ4,2018-07-19,21
6l4kr36TzQ4,2018-07-20,27
6l4kr36TzQ4,2018-07-21,28
6l4kr36TzQ4,2018-07-22,47
6l4kr36TzQ4,2018-07-23,32
6l4kr36TzQ4,2018-07-24,52
6l4kr36TzQ4,2018-07-25,37
6l4kr36TzQ4,2018-07-26,26
6l4kr36TzQ4,2018-07-27,31
6l4kr36TzQ4,2018-07-28,38
6l4kr36TzQ4,2018-07-29,32
6l4kr36TzQ4,2018-07-30,24
6l4kr36TzQ4,2018-07-31,28
6l4kr36TzQ4,2018-08-01,16
6l4kr36TzQ4,2018-08-02,24
6l4kr36TzQ4,2018-08-03,31
6l4kr36TzQ4,2018-08-04,29
6l4kr36TzQ4,2018-08-05,34
6l4kr36TzQ4,2018-08-06,38
6l4kr36TzQ4,2018-08-07,30
6l4kr36TzQ4,2018-08-08,33
6l4kr36TzQ4,2018-08-09,25
6l4kr36TzQ4,2018-08-10,30
6l4kr36TzQ4,2018-08-11,22
6l4kr36TzQ4,2018-08-12,30
6l4kr36TzQ4,2018-08-13,29
6l4kr36TzQ4,2018-08-14,21
6l4kr36TzQ4,2018-08-15,30
6l4kr36TzQ4,2018-08-16,24
6l4kr36TzQ4,2018-08-17,40
6l4kr36TzQ4,2018-08-18,22
6l4kr36TzQ4,2018-08-19,40
6l4kr36TzQ4,2018-08-20,44
6l4kr36TzQ4,2018-08-21,37
