day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-12-30,105519,18520,256,7589,53,3816,729,563,633869,121376,360,65.53,0,0,0,0,0,0,0,0,0,0,0,0,0,440,36
2021-12-31,32088,5273,48,1939,18,838,427,176,173572,31956,324,59.01,0,0,0,0,0,0,0,0,0,0,0,0,0,129,14
2022-01-01,88177,15932,83,3553,40,1859,407,274,445770,88672,303,55.15,0,0,0,0,0,0,0,0,0,0,0,0,0,411,22
2022-01-02,50960,8832,43,1977,31,1149,360,244,252181,47908,296,53.98,0,0,0,0,0,0,0,0,0,0,0,0,0,257,17
2022-01-03,33422,5136,16,1078,14,682,290,108,154883,26562,278,50.55,0,0,0,0,0,0,0,0,0,0,0,0,0,160,10
2022-01-04,22190,3445,10,676,14,473,202,77,102623,17508,277,50.45,0,0,0,0,0,0,0,0,0,0,0,0,0,99,9
2022-01-05,15049,2263,10,458,7,307,151,80,70254,11683,280,50.93,0,0,0,0,0,0,0,0,0,0,0,0,0,64,7
2022-01-06,8259,1259,3,289,9,207,125,33,39089,6667,283,51.629999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4
2022-01-07,5755,737,6,184,4,128,96,31,26287,3839,274,49.83,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
2022-01-08,5195,743,0,144,0,106,88,46,24723,3836,285,51.92,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
2022-01-09,4815,754,4,153,1,105,90,30,22707,3872,282,51.45000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
2022-01-10,4801,612,4,149,3,101,78,28,22192,3031,277,50.43,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2022-01-11,3254,450,3,89,0,80,62,17,14575,2239,268,48.87,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3
2022-01-12,2878,407,4,92,1,77,60,7,12172,2084,253,46.14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2022-01-13,1539,174,0,58,0,51,43,13,6535,927,254,46.32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2022-01-14,1146,136,0,33,-1,25,37,4,4816,744,252,45.85,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2022-01-15,1078,138,1,56,0,18,35,8,4757,715,264,48.15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2022-01-16,951,140,0,32,0,23,38,1,4366,764,275,50.09,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2022-01-17,760,118,1,33,0,17,47,1,3515,630,277,50.470000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2022-01-18,788,136,1,27,0,16,32,4,3503,788,266,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-01-19,643,92,1,21,0,23,32,1,2729,429,254,46.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022-01-20,481,60,1,28,0,9,25,5,2188,366,272,49.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-21,480,72,0,22,0,13,28,8,2036,396,254,46.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-01-22,659,109,0,31,1,40,18,1,3114,587,283,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2022-01-23,637,111,1,33,0,16,22,5,3143,604,296,53.839999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2022-01-24,706,114,0,38,-1,21,33,5,3309,645,281,51.13999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-01-25,817,141,0,42,0,15,24,3,3774,724,277,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2022-01-26,677,121,1,30,1,19,17,2,3165,651,280,51.01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2022-01-27,709,107,3,31,0,20,21,2,3048,570,257,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2022-01-28,549,101,0,18,0,14,19,3,2451,552,267,48.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2022-01-29,340,48,0,17,0,13,16,5,1579,307,278,50.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-01-30,260,48,0,10,0,5,16,1,1515,286,349,63.59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-01-31,243,36,0,9,0,2,12,3,1413,270,349,63.45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-02-01,159,29,0,5,0,3,16,2,878,160,331,60.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-02,162,24,0,4,0,5,23,2,1028,165,381,69.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-03,147,22,0,6,0,0,15,1,851,136,347,63.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-04,142,29,0,5,0,3,8,0,878,191,371,67.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-05,160,30,0,9,0,4,12,2,899,180,337,61.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-06,205,43,0,10,0,6,18,1,1275,340,373,67.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-07,174,38,1,9,0,4,7,1,1107,222,381,69.42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-02-08,149,24,1,8,0,4,12,2,857,139,345,62.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-09,152,26,0,6,0,1,10,0,928,177,366,66.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022-02-10,151,33,0,7,0,4,8,1,931,212,370,67.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2022-02-11,150,29,0,7,0,3,8,0,806,161,322,58.660000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-12,226,48,0,9,0,5,13,4,1361,284,361,65.73,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2022-02-13,223,54,0,8,0,5,9,0,1409,297,379,68.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-14,196,30,0,8,0,3,19,0,1173,179,359,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-02-15,148,27,0,5,0,1,7,1,916,169,371,67.55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2022-02-16,143,27,0,2,0,3,7,1,845,171,354,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-02-17,112,27,0,5,0,2,7,3,606,178,325,59.099999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-18,110,14,0,3,0,1,7,0,633,86,345,62.86999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2022-02-19,105,16,0,3,0,4,10,1,619,92,354,64.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-20,111,19,0,4,1,1,10,0,690,128,373,67.88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2022-02-21,121,18,0,6,0,2,5,0,781,119,387,70.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-22,187,39,0,10,0,3,6,1,1001,230,321,58.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-02-23,85,14,0,4,0,1,6,1,520,121,367,66.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-24,73,14,0,0,0,4,7,1,432,91,355,64.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,72,15,0,1,0,0,8,0,377,86,314,57.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-26,62,17,0,1,0,1,5,0,367,99,356,64.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
