videoID,day,likes
7As2j6a6Dmw,2021-12-30,7589
7As2j6a6Dmw,2021-12-31,1939
7As2j6a6Dmw,2022-01-01,3553
7As2j6a6Dmw,2022-01-02,1977
7As2j6a6Dmw,2022-01-03,1078
7As2j6a6Dmw,2022-01-04,676
7As2j6a6Dmw,2022-01-05,458
7As2j6a6Dmw,2022-01-06,289
7As2j6a6Dmw,2022-01-07,184
7As2j6a6Dmw,2022-01-08,144
7As2j6a6Dmw,2022-01-09,153
7As2j6a6Dmw,2022-01-10,149
7As2j6a6Dmw,2022-01-11,89
7As2j6a6Dmw,2022-01-12,92
7As2j6a6Dmw,2022-01-13,58
7As2j6a6Dmw,2022-01-14,33
7As2j6a6Dmw,2022-01-15,56
7As2j6a6Dmw,2022-01-16,32
7As2j6a6Dmw,2022-01-17,33
7As2j6a6Dmw,2022-01-18,27
7As2j6a6Dmw,2022-01-19,21
7As2j6a6Dmw,2022-01-20,28
7As2j6a6Dmw,2022-01-21,22
7As2j6a6Dmw,2022-01-22,31
7As2j6a6Dmw,2022-01-23,33
7As2j6a6Dmw,2022-01-24,38
7As2j6a6Dmw,2022-01-25,42
7As2j6a6Dmw,2022-01-26,30
7As2j6a6Dmw,2022-01-27,31
7As2j6a6Dmw,2022-01-28,18
7As2j6a6Dmw,2022-01-29,17
7As2j6a6Dmw,2022-01-30,10
7As2j6a6Dmw,2022-01-31,9
7As2j6a6Dmw,2022-02-01,5
7As2j6a6Dmw,2022-02-02,4
7As2j6a6Dmw,2022-02-03,6
7As2j6a6Dmw,2022-02-04,5
7As2j6a6Dmw,2022-02-05,9
7As2j6a6Dmw,2022-02-06,10
7As2j6a6Dmw,2022-02-07,9
7As2j6a6Dmw,2022-02-08,8
7As2j6a6Dmw,2022-02-09,6
7As2j6a6Dmw,2022-02-10,7
7As2j6a6Dmw,2022-02-11,7
7As2j6a6Dmw,2022-02-12,9
7As2j6a6Dmw,2022-02-13,8
7As2j6a6Dmw,2022-02-14,8
7As2j6a6Dmw,2022-02-15,5
7As2j6a6Dmw,2022-02-16,2
7As2j6a6Dmw,2022-02-17,5
7As2j6a6Dmw,2022-02-18,3
7As2j6a6Dmw,2022-02-19,3
7As2j6a6Dmw,2022-02-20,4
7As2j6a6Dmw,2022-02-21,6
7As2j6a6Dmw,2022-02-22,10
7As2j6a6Dmw,2022-02-23,4
7As2j6a6Dmw,2022-02-24,0
7As2j6a6Dmw,2022-02-25,1
7As2j6a6Dmw,2022-02-26,1
7As2j6a6Dmw,2022-02-27,3
7As2j6a6Dmw,2022-02-28,3
7As2j6a6Dmw,2022-03-01,1
7As2j6a6Dmw,2022-03-02,4
7As2j6a6Dmw,2022-03-03,1
7As2j6a6Dmw,2022-03-04,1
7As2j6a6Dmw,2022-03-05,2
7As2j6a6Dmw,2022-03-06,-1
7As2j6a6Dmw,2022-03-07,0
7As2j6a6Dmw,2022-03-08,5
7As2j6a6Dmw,2022-03-09,2
7As2j6a6Dmw,2022-03-10,3
7As2j6a6Dmw,2022-03-11,0
7As2j6a6Dmw,2022-03-12,2
7As2j6a6Dmw,2022-03-13,1
7As2j6a6Dmw,2022-03-14,2
