day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-11-02,24595,3300,134,2554,12,2238,322,177,235505,33938,574,59.91,0,0,0,0,0,0,0,0.4311,0.031400000000000004,341,6817,147,214,48,10
2020-11-03,15013,1736,52,1051,12,582,272,89,120779,16808,482,50.33,0,0,0,0,0,0,0,0.3675,0.0281,166,3559,61,100,54,4
2020-11-04,8080,992,15,456,6,276,177,42,62696,9407,465,48.55,0,0,0,0,0,0,0,0.47369999999999995,0.0348,76,1722,36,60,29,1
2020-11-05,7986,818,8,353,7,235,118,32,55723,7449,418,43.66,0,0,0,0,0,0,0,0.4533,0.0352,75,1362,34,48,46,1
2020-11-06,5678,533,7,211,1,157,96,36,37967,4576,401,41.84,0,0,0,0,0,0,0,0.4286,0.0426,56,915,24,39,32,2
2020-11-07,4877,444,7,162,1,128,84,20,33462,3766,411,42.93,0,0,0,0,0,0,0,0.4894,0.038,47,790,23,30,37,4
2020-11-08,4187,421,5,182,2,109,78,12,31844,3661,456,47.58,0,0,0,0,0,0,0,0.4878,0.034300000000000004,41,728,20,25,29,2
2020-11-09,2388,223,1,112,1,51,49,7,18976,2217,476,49.72,0,0,0,0,0,0,0,0.5385,0.0196,13,511,7,10,11,0
2020-11-10,1552,171,6,58,2,28,38,6,13477,1666,521,54.33,0,0,0,0,0,0,0,0.6,0.022400000000000003,10,357,6,8,4,0
2020-11-11,1184,122,1,37,0,15,42,3,9988,1157,506,52.78,0,0,0,0,0,0,0,0.6667000000000001,0.0276,12,290,8,8,7,1
2020-11-12,4452,652,10,244,-1,165,67,33,28673,4335,386,40.3,0,0,0,0,0,0,0,0.33899999999999997,0.038900000000000004,59,823,20,32,21,1
2020-11-13,2395,343,4,123,2,60,53,13,17088,2542,428,44.64,0,0,0,0,0,0,0,0.34619999999999995,0.031400000000000004,26,477,9,15,17,3
2020-11-14,1541,171,3,70,0,33,34,8,11918,1616,464,48.39,0,0,0,0,0,0,0,0.23079999999999998,0.021400000000000002,13,327,3,7,8,1
2020-11-15,1227,136,0,49,1,27,27,7,9783,1251,478,49.89,0,0,0,0,0,0,0,0.5,0.0335,10,269,5,9,10,0
2020-11-16,1084,117,1,30,-1,27,30,8,8392,1072,464,48.44,0,0,0,0,0,0,0,0.4,0.0231,10,216,4,5,4,0
2020-11-17,945,113,1,38,0,18,29,5,8119,1100,515,53.76,0,0,0,0,0,0,0,0.5556,0.0225,9,222,5,5,4,0
2020-11-18,812,73,1,33,0,23,20,9,6662,724,492,51.34000000000001,0,0,0,0,0,0,0,0.5,0.032799999999999996,10,183,5,6,8,1
2020-11-19,635,68,1,12,0,11,25,2,5402,679,510,53.23,0,0,0,0,0,0,0,0.3333,0.0184,6,163,2,3,1,0
2020-11-20,521,64,0,11,0,2,11,3,4441,619,511,53.339999999999996,0,0,0,0,0,0,0,0.6,0.024,5,125,3,3,5,0
2020-11-21,593,65,0,19,0,11,14,4,4986,547,504,52.61,0,0,0,0,0,0,0,0.0,0.008100000000000001,2,123,0,1,4,1
2020-11-22,608,83,0,15,1,8,18,2,5275,754,520,54.28999999999999,0,0,0,0,0,0,0,0.75,0.0233,4,129,3,3,0,1
2020-11-23,634,75,1,18,0,8,20,2,5094,595,482,50.27,0,0,0,0,0,0,0,0.3333,0.0365,9,137,3,5,2,0
2020-11-24,942,128,0,35,0,23,16,3,8699,1283,554,57.78,0,0,0,0,0,0,0,0.375,0.023,8,217,3,5,3,0
2020-11-25,981,134,1,41,0,32,18,6,8904,1342,544,56.79,0,0,0,0,0,0,0,0.25,0.031400000000000004,12,191,3,6,4,0
2020-11-26,1120,180,4,54,0,25,8,3,10235,1909,548,57.18,0,0,0,0,0,0,0,0.5,0.0437,14,229,7,10,1,0
2020-11-27,1016,127,1,35,0,16,12,5,9394,1315,554,57.85,0,0,0,0,0,0,0,0.4286,0.0415,14,241,6,10,4,1
2020-11-28,1123,146,2,38,0,16,14,4,10400,1462,555,57.940000000000005,0,0,0,0,0,0,0,0.4167,0.0383,12,261,5,10,7,0
2020-11-29,1130,173,1,43,0,30,23,6,10445,1763,554,57.84,0,0,0,0,0,0,0,0.4545,0.0296,11,270,5,8,11,1
2020-11-30,1244,151,2,53,1,27,9,8,10853,1339,523,54.59,0,0,0,0,0,0,0,0.5,0.0388,12,258,6,10,6,0
2020-12-01,1153,141,3,40,1,27,11,9,9569,1197,497,51.93,0,0,0,0,0,0,0,0.4286,0.0368,7,190,3,7,12,0
2020-12-02,1025,129,0,38,0,33,18,4,8863,1229,518,54.1,0,0,0,0,0,0,0,0.6,0.0281,5,178,3,5,7,0
2020-12-03,1054,109,3,32,0,21,11,2,9311,1035,530,55.27000000000001,0,0,0,0,0,0,0,0.2143,0.0545,14,202,3,11,10,0
2020-12-04,881,108,0,21,0,15,12,5,7725,952,526,54.87,0,0,0,0,0,0,0,0.5,0.0395,10,152,5,6,5,0
2020-12-05,880,123,6,29,0,20,15,3,7534,1131,513,53.56999999999999,0,0,0,0,0,0,0,0.16670000000000001,0.021,6,143,1,3,8,1
2020-12-06,844,97,1,25,1,17,11,2,7209,824,512,53.449999999999996,0,0,0,0,0,0,0,0.25,0.0321,8,156,2,5,2,0
2020-12-07,835,112,0,26,2,18,5,6,6750,1016,485,50.580000000000005,0,0,0,0,0,0,0,0.2,0.014499999999999999,5,138,1,2,7,0
2020-12-08,841,125,1,24,2,19,6,2,7070,1222,504,52.6,0,0,0,0,0,0,0,0.6667000000000001,0.0132,3,152,2,2,9,1
2020-12-09,832,103,0,30,0,24,16,9,6709,890,483,50.45,0,0,0,0,0,0,0,0.4,0.0547,10,128,4,7,5,0
2020-12-10,738,111,0,18,0,13,5,5,6447,1085,524,54.66,0,0,0,0,0,0,0,0.2,0.0385,5,130,1,5,5,1
2020-12-11,656,97,0,11,1,5,9,4,5397,853,493,51.47999999999999,0,0,0,0,0,0,0,0.0,0.0275,3,109,0,3,3,0
2020-12-12,781,101,0,25,0,17,14,6,6800,998,522,54.47,0,0,0,0,0,0,0,0.2,0.021,5,143,1,3,5,0
2020-12-13,745,97,0,17,0,12,12,6,6829,1231,550,57.36,0,0,0,0,0,0,0,0.2727,0.17120000000000002,11,146,3,25,4,0
2020-12-14,724,66,0,13,0,15,14,1,5784,578,479,49.99,0,0,0,0,0,0,0,0.375,0.0441,8,136,3,6,4,0
