videoID,day,likes
7F_A4gMxsfE,2020-11-02,2554
7F_A4gMxsfE,2020-11-03,1051
7F_A4gMxsfE,2020-11-04,456
7F_A4gMxsfE,2020-11-05,353
7F_A4gMxsfE,2020-11-06,211
7F_A4gMxsfE,2020-11-07,162
7F_A4gMxsfE,2020-11-08,182
7F_A4gMxsfE,2020-11-09,112
7F_A4gMxsfE,2020-11-10,58
7F_A4gMxsfE,2020-11-11,37
7F_A4gMxsfE,2020-11-12,244
7F_A4gMxsfE,2020-11-13,123
7F_A4gMxsfE,2020-11-14,70
7F_A4gMxsfE,2020-11-15,49
7F_A4gMxsfE,2020-11-16,30
7F_A4gMxsfE,2020-11-17,38
7F_A4gMxsfE,2020-11-18,33
7F_A4gMxsfE,2020-11-19,12
7F_A4gMxsfE,2020-11-20,11
7F_A4gMxsfE,2020-11-21,19
7F_A4gMxsfE,2020-11-22,15
7F_A4gMxsfE,2020-11-23,18
7F_A4gMxsfE,2020-11-24,35
7F_A4gMxsfE,2020-11-25,41
7F_A4gMxsfE,2020-11-26,54
7F_A4gMxsfE,2020-11-27,35
7F_A4gMxsfE,2020-11-28,38
7F_A4gMxsfE,2020-11-29,43
7F_A4gMxsfE,2020-11-30,53
7F_A4gMxsfE,2020-12-01,40
7F_A4gMxsfE,2020-12-02,38
7F_A4gMxsfE,2020-12-03,32
7F_A4gMxsfE,2020-12-04,21
7F_A4gMxsfE,2020-12-05,29
7F_A4gMxsfE,2020-12-06,25
7F_A4gMxsfE,2020-12-07,26
7F_A4gMxsfE,2020-12-08,24
7F_A4gMxsfE,2020-12-09,30
7F_A4gMxsfE,2020-12-10,18
7F_A4gMxsfE,2020-12-11,11
7F_A4gMxsfE,2020-12-12,25
7F_A4gMxsfE,2020-12-13,17
7F_A4gMxsfE,2020-12-14,13
7F_A4gMxsfE,2020-12-15,18
7F_A4gMxsfE,2020-12-16,15
7F_A4gMxsfE,2020-12-17,20
7F_A4gMxsfE,2020-12-18,8
7F_A4gMxsfE,2020-12-19,19
7F_A4gMxsfE,2020-12-20,28
7F_A4gMxsfE,2020-12-21,42
7F_A4gMxsfE,2020-12-22,40
7F_A4gMxsfE,2020-12-23,32
7F_A4gMxsfE,2020-12-24,24
7F_A4gMxsfE,2020-12-25,33
7F_A4gMxsfE,2020-12-26,48
7F_A4gMxsfE,2020-12-27,55
7F_A4gMxsfE,2020-12-28,50
