day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2017-09-13,119247,3605,319,3132,184,1974,226,547,583254,18376,293,54.85,0,0.1,140,140,100,0,10,0.4057,0.0129,387,21881,157,282,75,0
2017-09-14,184379,5530,306,3528,233,2775,483,994,818854,26053,266,49.81,0,0.0,0,0,0,0,0,0.4007,0.013600000000000001,584,29630,234,402,120,1
2017-09-15,207639,6690,199,2656,181,2443,428,1103,800946,27033,231,43.26,0,0.0,0,0,0,0,0,0.38880000000000003,0.0174,661,26725,257,465,63,0
2017-09-16,158131,4682,159,1989,119,2082,443,636,649121,20132,246,46.04,0,0.0,0,0,0,0,0,0.4203,0.0169,464,19480,195,329,28,0
2017-09-17,110407,3344,64,1418,80,1489,355,406,464125,14926,252,47.15,0,0.0,0,0,0,0,0,0.381,0.0147,315,13525,120,199,31,0
2017-09-18,93337,2713,61,1181,60,1559,350,336,397217,11934,255,47.73,0,0.0,0,0,0,0,0,0.34259999999999996,0.011699999999999999,251,13539,86,159,24,0
2017-09-19,103159,3127,66,1334,86,1997,327,381,431049,13755,250,46.86,0,0.0,0,0,0,0,0,0.3788,0.0125,264,13371,100,167,28,0
2017-09-20,55322,1443,50,848,41,1034,301,206,218857,5844,237,44.37,0,0.0,0,0,0,0,0,0.3865,0.0139,163,7781,63,108,25,0
2017-09-21,32506,922,31,418,20,482,246,106,126252,3785,233,43.56,0,0.0,0,0,0,0,0,0.3258,0.0125,89,4159,29,52,9,1
2017-09-22,25758,797,22,295,29,341,194,78,98391,3262,229,42.84,0,0.0,0,0,0,0,0,0.3968,0.0129,63,3187,25,41,9,0
2017-09-23,16228,501,15,239,14,164,152,42,61320,2145,226,42.38,0,0.0,0,0,0,0,0,0.40380000000000005,0.016200000000000003,52,2036,21,33,6,0
2017-09-24,11140,346,6,152,5,138,148,33,42423,1386,228,42.71,0,0.0,0,0,0,0,0,0.5,0.0128,30,1486,15,19,0,0
2017-09-25,8798,277,2,115,5,100,113,29,34367,1178,234,43.81,0,0.0,0,0,0,0,0,0.375,0.015,32,1334,12,20,3,0
2017-09-26,7529,199,1,118,4,97,102,25,29611,848,235,44.11,0,0.0,0,0,0,0,0,0.3448,0.0166,29,1147,10,19,2,0
2017-09-27,6409,189,4,91,5,101,97,16,24686,850,231,43.2,0,0.0,0,0,0,0,0,0.44,0.0178,25,955,11,17,2,0
2017-09-28,5472,141,1,62,3,67,58,14,20221,573,221,41.45,0,0.0,0,0,0,0,0,0.4706,0.018799999999999997,17,800,8,15,0,0
2017-09-29,4648,152,6,71,7,52,71,15,16727,530,215,40.36,0,0.0,0,0,0,0,0,0.35,0.0134,20,674,7,9,2,0
2017-09-30,4204,89,2,46,3,44,71,16,14520,343,207,38.74,0,0.0,0,0,0,0,0,0.6667000000000001,0.0203,12,590,8,12,2,0
2017-10-01,4407,135,6,47,4,46,71,20,15707,524,213,39.97,0,0.0,0,0,0,0,0,0.36840000000000006,0.0207,19,629,7,13,1,0
2017-10-02,3217,65,2,36,5,25,55,7,11434,279,213,39.86,0,0.0,0,0,0,0,0,0.4286,0.008,7,500,3,4,1,0
2017-10-03,2987,60,0,30,2,31,54,7,10526,225,211,39.52,0,0.0,0,0,0,0,0,0.5,0.0159,10,440,5,7,0,0
2017-10-04,2884,64,2,41,0,28,52,4,10063,235,209,39.13,0,0.0,0,0,0,0,0,0.1429,0.0126,7,398,1,5,2,0
2017-10-05,2794,60,5,22,1,33,44,13,9560,226,205,38.38,0,0.0,0,0,0,0,0,0.2727,0.010700000000000001,11,373,3,4,0,0
2017-10-06,2818,54,0,42,3,39,46,15,9879,183,210,39.32,0,0.0,0,0,0,0,0,0.4286,0.010700000000000001,7,375,3,4,1,0
2017-10-07,2934,73,2,32,2,28,45,8,10466,287,214,40.01,0,0.0,0,0,0,0,0,0.2857,0.0072,7,416,2,3,0,0
2017-10-08,2760,70,1,29,0,24,35,2,9451,243,205,38.41,0,0.0,0,0,0,0,0,0.2857,0.012,7,332,2,4,0,0
2017-10-09,2227,72,3,24,1,15,36,11,7490,218,201,37.72,0,0.0,0,0,0,0,0,0.3333,0.0134,6,299,2,4,1,0
2017-10-10,1950,39,0,23,3,19,44,7,6463,112,198,37.17,0,0.0,0,0,0,0,0,1.0,0.0038,1,262,1,1,1,0
2017-10-11,1886,54,0,22,1,30,40,5,6403,175,203,38.08,0,0.0,0,0,0,0,0,0.22219999999999998,0.0111,9,270,2,3,1,1
2017-10-12,1902,42,1,28,1,20,29,12,6329,163,199,37.32,0,0.0,0,0,0,0,0,0.44439999999999996,0.032,9,281,4,9,0,0
2017-10-13,1735,34,1,21,1,22,35,7,5911,171,204,38.21,0,0.0,0,0,0,0,0,0.5,0.0040999999999999995,2,245,1,1,0,0
2017-10-14,1913,44,2,28,1,32,33,8,6315,158,198,37.02,0,0.0,0,0,0,0,0,0.2857,0.0176,7,227,2,4,1,0
2017-10-15,1789,52,3,23,1,22,38,8,6108,192,204,38.29,0,0.0,0,0,0,0,0,0.6667000000000001,0.0206,6,243,4,5,0,0
2017-10-16,1879,48,1,25,2,33,30,14,6316,155,201,37.7,0,0.0,0,0,0,0,0,0.5714,0.0204,7,245,4,5,0,0
2017-10-17,1764,45,1,20,2,31,33,5,6176,181,210,39.27,0,0.0,0,0,0,0,0,0.5,0.0204,6,245,3,5,0,0
2017-10-18,1785,61,1,29,0,22,29,1,6428,241,216,40.39,0,0.0,0,0,0,0,0,0.3333,0.011200000000000002,6,267,2,3,2,0
2017-10-19,2449,44,1,30,3,38,32,6,8834,160,216,40.46,0,0.0,0,0,0,0,0,0.4286,0.014499999999999999,7,345,3,5,3,0
2017-10-20,2226,41,1,31,0,28,27,5,7963,160,214,40.12,0,0.0,0,0,0,0,0,0.5556,0.0213,9,329,5,7,0,0
2017-10-21,1891,39,1,22,3,11,30,4,6505,129,206,38.58,0,0.0,0,0,0,0,0,0.6,0.0151,5,265,3,4,1,0
2017-10-22,1622,37,1,23,1,22,31,7,5850,155,216,40.45,0,0.0,0,0,0,0,0,0.4,0.0087,5,231,2,2,0,0
2017-10-23,1703,61,2,24,0,22,21,13,6184,214,217,40.73,0,0.0,0,0,0,0,0,0.8332999999999999,0.0196,6,255,5,5,2,0
2017-10-24,1650,43,0,25,1,13,18,4,6023,175,219,40.94,0,0.0,0,0,0,0,0,0.44439999999999996,0.0222,9,225,4,5,0,0
2017-10-25,1557,37,0,22,0,14,21,5,5593,96,215,40.29,0,0.0,0,0,0,0,0,0.0,0.0178,5,225,0,4,0,0
2017-10-26,1453,27,2,17,0,15,24,19,5214,130,215,40.24,0,0.0,0,0,0,0,0,0.25,0.0138,4,217,1,3,0,0
2017-10-27,1297,29,1,18,1,12,19,1,4794,96,221,41.46,0,0.0,0,0,0,0,0,0.0,0.013500000000000002,5,223,0,3,0,0
2017-10-28,1337,24,2,16,0,13,24,5,4862,104,218,40.78,0,0.0,0,0,0,0,0,0.8332999999999999,0.0294,6,204,5,6,1,0
2017-10-29,1365,35,2,15,0,12,30,3,4913,130,215,40.37,0,0.0,0,0,0,0,0,0.75,0.0131,4,229,3,3,1,0
2017-10-30,1326,42,0,20,0,13,18,4,4954,190,224,41.9,0,0.0,0,0,0,0,0,1.0,0.009300000000000001,2,215,2,2,1,0
2017-10-31,1203,28,1,27,2,20,19,7,4397,71,219,40.99,0,0.0,0,0,0,0,0,0.0,0.0116,5,173,0,2,0,0
2017-11-01,1384,50,1,17,0,21,25,8,5091,222,220,41.26,0,0.0,0,0,0,0,0,0.0,0.004699999999999999,3,211,0,1,0,0
2017-11-02,1393,58,3,17,1,19,26,6,4982,224,214,40.11,0,0.0,0,0,0,0,0,0.0,0.0,3,216,0,0,1,0
2017-11-03,1518,41,3,19,2,26,20,5,5516,167,218,40.75,0,0.0,0,0,0,0,0,0.2,0.0042,5,236,1,1,0,0
2017-11-04,1770,55,3,28,1,29,22,3,6719,261,227,42.57,0,0.0,0,0,0,0,0,0.5,0.025,8,280,4,7,0,0
2017-11-05,1986,47,0,24,2,29,18,5,7827,164,236,44.2,0,0.0,0,0,0,0,0,0.3636,0.020099999999999996,11,349,4,7,0,0
2017-11-06,2624,75,1,31,6,50,22,8,10982,321,251,46.94,0,0.0,0,0,0,0,0,0.4286,0.0232,14,475,6,11,0,0
2017-11-07,2499,76,2,30,0,37,18,6,10983,321,263,49.29,0,0.0,0,0,0,0,0,0.5,0.0178,10,449,5,8,1,0
2017-11-08,2890,75,2,33,3,52,36,7,12468,393,258,48.38,0,0.0,0,0,0,0,0,0.4545,0.027200000000000002,11,514,5,14,28,1
2017-11-09,2733,76,1,29,2,34,25,10,11282,359,247,46.3,0,0.0,0,0,0,0,0,0.23079999999999998,0.024399999999999998,13,451,3,11,19,0
2017-11-10,2204,56,0,9,0,28,20,5,8646,239,235,44.0,0,0.0,0,0,0,0,0,0.3,0.0217,10,369,3,8,11,0
2017-11-11,3289,114,0,37,0,40,20,13,13606,621,248,46.39,0,0.0,0,0,0,0,0,0.7778,0.0144,9,554,7,8,45,0
2017-11-12,3667,113,4,36,0,47,22,7,15511,451,253,47.44,0,0.0,0,0,0,0,0,0.5,0.0128,12,623,6,8,36,4
2017-11-13,2553,68,1,22,0,32,20,5,10251,265,240,45.03,0,0.0,0,0,0,0,0,0.6154,0.0269,13,409,8,11,14,0
2017-11-14,1630,58,0,20,0,29,25,8,6424,240,236,44.2,0,0.0,0,0,0,0,0,0.625,0.018799999999999997,8,266,5,5,15,0
2017-11-15,1486,37,0,14,1,24,16,1,5703,155,230,43.05,0,0.0,0,0,0,0,0,0.8,0.0169,5,237,4,4,12,0
2017-11-16,1779,46,0,19,0,25,17,10,6524,158,220,41.13,0,0.0,0,0,0,0,0,0.3333,0.0103,3,291,1,3,13,0
2017-11-17,1773,46,3,14,0,20,18,3,6428,190,217,40.66,0,0.0,0,0,0,0,0,0.25,0.015600000000000001,8,256,2,4,11,0
2017-11-18,1957,44,2,22,1,16,17,4,7005,173,214,40.14,0,0.0,0,0,0,0,0,0.5,0.0034000000000000002,2,295,1,1,16,1
2017-11-19,1830,45,0,8,0,26,17,2,6515,200,213,39.93,0,0.0,0,0,0,0,0,0.6,0.0195,5,257,3,5,13,0
2017-11-20,2017,64,1,21,1,23,9,8,7471,193,222,41.54,0,0.0,0,0,0,0,0,0.4,0.012199999999999999,5,327,2,4,12,0
2017-11-21,2983,86,2,33,2,45,20,4,11583,329,232,43.55,0,0.0,0,0,0,0,0,0.25,0.0183,12,438,3,8,20,0
2017-11-22,2613,75,3,29,1,28,12,0,9414,247,216,40.41,0,0.0,0,0,0,0,0,0.2857,0.005600000000000001,7,355,2,2,20,0
2017-11-23,2386,55,3,22,0,28,16,3,8902,256,223,41.85,0,0.0,0,0,0,0,0,0.5,0.0121,6,331,3,4,19,2
2017-11-24,1964,50,0,14,2,17,13,1,7593,211,231,43.36,0,0.0,0,0,0,0,0,0.16670000000000001,0.0134,6,299,1,4,8,0
2017-11-25,2037,49,1,21,2,23,22,2,7772,195,228,42.79,0,0.0,0,0,0,0,0,0.2,0.0163,5,307,1,5,14,0
2017-11-26,2595,72,4,28,3,29,29,7,10508,336,242,45.41,0,0.0,0,0,0,0,0,0.4286,0.0116,7,430,3,5,15,0
2017-11-27,2796,77,1,21,2,27,15,3,11286,324,242,45.27,0,0.0,0,0,0,0,0,0.5,0.0187,10,427,5,8,17,0
2017-11-28,2788,97,2,22,1,40,14,4,10036,298,215,40.37,0,0.0,0,0,0,0,0,0.3333,0.0091,6,331,2,3,15,0
2017-11-29,3117,84,3,33,2,18,13,6,11390,320,219,40.98,0,0.0,0,0,0,0,0,0.4,0.016399999999999998,10,428,4,7,19,1
2017-11-30,3858,97,2,48,3,33,14,11,14230,440,221,41.37,0,0.0,0,0,0,0,0,0.2,0.0055000000000000005,5,542,1,3,24,0
2017-12-01,3554,101,5,44,3,25,16,8,12776,384,215,40.32,0,0.0,0,0,0,0,0,0.375,0.0078000000000000005,8,514,3,4,20,0
2017-12-02,5904,173,6,70,2,65,15,7,22638,694,230,43.0,0,0.0,0,0,0,0,0,0.375,0.0069,16,873,6,6,37,1
2017-12-03,4123,114,1,31,2,50,20,5,16732,448,243,45.51,0,0.0,0,0,0,0,0,0.22219999999999998,0.0064,9,623,2,4,22,2
2017-12-04,4340,142,7,34,3,42,18,10,17430,560,240,45.04,0,0.0,0,0,0,0,0,0.5385,0.0128,13,704,7,9,20,0
2017-12-05,6024,185,3,62,7,68,14,9,24349,780,242,45.33,0,0.0,0,0,0,0,0,0.2632,0.0116,19,948,5,11,32,1
2017-12-06,5878,170,11,48,7,67,18,8,23902,715,243,45.6,0,0.0,0,0,0,0,0,0.35,0.012,20,914,7,11,32,0
2017-12-07,6061,158,6,59,5,62,22,14,23737,648,234,43.92,0,0.0,0,0,0,0,0,0.4211,0.016399999999999998,19,856,8,14,31,0
2017-12-08,5569,165,3,51,7,54,26,10,20711,694,223,41.71,0,0.0,0,0,0,0,0,0.25,0.0084,12,717,3,6,34,1
2017-12-09,5393,166,4,62,3,53,21,3,19284,649,214,40.1,0,0.0,0,0,0,0,0,0.375,0.010700000000000001,16,657,6,7,25,0
2017-12-10,5490,155,5,65,5,55,23,8,19415,541,212,39.66,0,0.0,0,0,0,0,0,0.3889,0.0115,18,693,7,8,35,1
2017-12-11,4395,146,2,47,4,51,22,11,16329,615,222,41.67,0,0.0,0,0,0,0,0,0.5714,0.0161,14,620,8,10,26,2
2017-12-12,4841,119,3,64,2,38,22,4,17725,487,219,41.06,0,0.0,0,0,0,0,0,0.6364,0.018000000000000002,11,667,7,12,47,0
2017-12-13,3590,81,6,34,0,33,25,4,12525,267,209,39.13,0,0.0,0,0,0,0,0,0.4545,0.010700000000000001,11,468,5,5,27,0
2017-12-14,3678,71,9,47,4,29,10,5,13473,323,219,41.08,0,0.0,0,0,0,0,0,0.5,0.0207,18,580,9,12,22,0
2017-12-15,3294,86,5,47,2,33,13,38,12146,368,221,41.36,0,0.0,0,0,0,0,0,0.4,0.0139,10,503,4,7,18,0
2017-12-16,3826,131,4,48,2,45,15,9,14853,571,232,43.54,0,0.0,0,0,0,0,0,0.5832999999999999,0.0161,12,622,7,10,20,1
2017-12-17,3572,95,3,47,5,33,19,7,13294,392,223,41.74,0,0.0,0,0,0,0,0,0.4,0.0146,10,479,4,7,21,1
2017-12-18,3695,119,6,45,5,41,11,3,13855,456,224,42.06,0,0.0,0,0,0,0,0,0.2857,0.0074,7,538,2,4,27,0
2017-12-19,3027,93,5,40,3,35,22,3,11403,351,226,42.25,0,0.0,0,0,0,0,0,0.125,0.011699999999999999,8,426,1,5,20,0
2017-12-20,2980,95,5,33,7,40,25,0,11675,367,235,43.94,0,0.0,0,0,0,0,0,0.75,0.0129,8,464,6,6,17,0
2017-12-21,2637,72,4,24,0,24,18,6,9711,291,220,41.3,0,0.0,0,0,0,0,0,0.3333,0.0163,9,368,3,6,25,0
2017-12-22,2396,66,3,28,1,14,16,5,8840,281,221,41.38,0,0.0,0,0,0,0,0,0.4286,0.0088,7,341,3,3,12,1
2017-12-23,3093,89,1,42,1,28,14,4,11281,347,218,40.91,0,0.0,0,0,0,0,0,0.4167,0.0227,12,441,5,10,20,0
2017-12-24,2548,72,4,17,2,26,8,6,9105,327,214,40.08,0,0.0,0,0,0,0,0,0.3,0.0172,10,349,3,6,14,0
2017-12-25,2439,67,3,28,1,11,13,1,8989,281,221,41.34,0,0.0,0,0,0,0,0,0.4286,0.0233,7,343,3,8,15,0
2017-12-26,2427,68,3,25,1,18,18,4,8904,304,220,41.15,0,0.0,0,0,0,0,0,0.25,0.0183,12,328,3,6,17,0
2017-12-27,2452,60,2,18,1,25,11,9,9133,229,223,41.78,0,0.0,0,0,0,0,0,0.2,0.008100000000000001,5,370,1,3,24,0
2017-12-28,2724,81,1,27,2,27,14,7,10070,268,221,41.46,0,0.0,0,0,0,0,0,0.5,0.024700000000000003,16,405,8,10,11,1
2017-12-29,2612,80,4,23,2,21,21,6,9622,280,221,41.32,0,0.0,0,0,0,0,0,0.35710000000000003,0.0148,14,406,5,6,17,1
2017-12-30,3035,106,2,42,1,28,12,3,10771,363,212,39.8,0,0.0,0,0,0,0,0,0.23079999999999998,0.0152,13,395,3,6,19,1
2017-12-31,2792,83,1,36,1,21,20,4,9784,316,210,39.3,0,0.0,0,0,0,0,0,0.3333,0.0108,6,369,2,4,14,0
2018-01-01,3206,104,3,40,1,19,18,10,11308,379,211,39.56,0,0.0,0,0,0,0,0,0.5556,0.0165,9,423,5,7,21,1
