videoID,day,likes
8D6UWHZ_HYs,2017-09-13,3132
8D6UWHZ_HYs,2017-09-14,3528
8D6UWHZ_HYs,2017-09-15,2656
8D6UWHZ_HYs,2017-09-16,1989
8D6UWHZ_HYs,2017-09-17,1418
8D6UWHZ_HYs,2017-09-18,1181
8D6UWHZ_HYs,2017-09-19,1334
8D6UWHZ_HYs,2017-09-20,848
8D6UWHZ_HYs,2017-09-21,418
8D6UWHZ_HYs,2017-09-22,295
8D6UWHZ_HYs,2017-09-23,239
8D6UWHZ_HYs,2017-09-24,152
8D6UWHZ_HYs,2017-09-25,115
8D6UWHZ_HYs,2017-09-26,118
8D6UWHZ_HYs,2017-09-27,91
8D6UWHZ_HYs,2017-09-28,62
8D6UWHZ_HYs,2017-09-29,71
8D6UWHZ_HYs,2017-09-30,46
8D6UWHZ_HYs,2017-10-01,47
8D6UWHZ_HYs,2017-10-02,36
8D6UWHZ_HYs,2017-10-03,30
8D6UWHZ_HYs,2017-10-04,41
8D6UWHZ_HYs,2017-10-05,22
8D6UWHZ_HYs,2017-10-06,42
8D6UWHZ_HYs,2017-10-07,32
8D6UWHZ_HYs,2017-10-08,29
8D6UWHZ_HYs,2017-10-09,24
8D6UWHZ_HYs,2017-10-10,23
8D6UWHZ_HYs,2017-10-11,22
8D6UWHZ_HYs,2017-10-12,28
8D6UWHZ_HYs,2017-10-13,21
8D6UWHZ_HYs,2017-10-14,28
8D6UWHZ_HYs,2017-10-15,23
8D6UWHZ_HYs,2017-10-16,25
8D6UWHZ_HYs,2017-10-17,20
8D6UWHZ_HYs,2017-10-18,29
8D6UWHZ_HYs,2017-10-19,30
8D6UWHZ_HYs,2017-10-20,31
8D6UWHZ_HYs,2017-10-21,22
8D6UWHZ_HYs,2017-10-22,23
8D6UWHZ_HYs,2017-10-23,24
8D6UWHZ_HYs,2017-10-24,25
8D6UWHZ_HYs,2017-10-25,22
8D6UWHZ_HYs,2017-10-26,17
8D6UWHZ_HYs,2017-10-27,18
8D6UWHZ_HYs,2017-10-28,16
8D6UWHZ_HYs,2017-10-29,15
8D6UWHZ_HYs,2017-10-30,20
8D6UWHZ_HYs,2017-10-31,27
8D6UWHZ_HYs,2017-11-01,17
8D6UWHZ_HYs,2017-11-02,17
8D6UWHZ_HYs,2017-11-03,19
8D6UWHZ_HYs,2017-11-04,28
8D6UWHZ_HYs,2017-11-05,24
8D6UWHZ_HYs,2017-11-06,31
8D6UWHZ_HYs,2017-11-07,30
8D6UWHZ_HYs,2017-11-08,33
8D6UWHZ_HYs,2017-11-09,29
8D6UWHZ_HYs,2017-11-10,9
8D6UWHZ_HYs,2017-11-11,37
8D6UWHZ_HYs,2017-11-12,36
8D6UWHZ_HYs,2017-11-13,22
8D6UWHZ_HYs,2017-11-14,20
8D6UWHZ_HYs,2017-11-15,14
8D6UWHZ_HYs,2017-11-16,19
8D6UWHZ_HYs,2017-11-17,14
8D6UWHZ_HYs,2017-11-18,22
8D6UWHZ_HYs,2017-11-19,8
8D6UWHZ_HYs,2017-11-20,21
8D6UWHZ_HYs,2017-11-21,33
8D6UWHZ_HYs,2017-11-22,29
8D6UWHZ_HYs,2017-11-23,22
8D6UWHZ_HYs,2017-11-24,14
8D6UWHZ_HYs,2017-11-25,21
8D6UWHZ_HYs,2017-11-26,28
8D6UWHZ_HYs,2017-11-27,21
8D6UWHZ_HYs,2017-11-28,22
8D6UWHZ_HYs,2017-11-29,33
8D6UWHZ_HYs,2017-11-30,48
8D6UWHZ_HYs,2017-12-01,44
8D6UWHZ_HYs,2017-12-02,70
8D6UWHZ_HYs,2017-12-03,31
8D6UWHZ_HYs,2017-12-04,34
8D6UWHZ_HYs,2017-12-05,62
8D6UWHZ_HYs,2017-12-06,48
8D6UWHZ_HYs,2017-12-07,59
8D6UWHZ_HYs,2017-12-08,51
8D6UWHZ_HYs,2017-12-09,62
8D6UWHZ_HYs,2017-12-10,65
8D6UWHZ_HYs,2017-12-11,47
8D6UWHZ_HYs,2017-12-12,64
8D6UWHZ_HYs,2017-12-13,34
8D6UWHZ_HYs,2017-12-14,47
8D6UWHZ_HYs,2017-12-15,47
8D6UWHZ_HYs,2017-12-16,48
8D6UWHZ_HYs,2017-12-17,47
8D6UWHZ_HYs,2017-12-18,45
8D6UWHZ_HYs,2017-12-19,40
8D6UWHZ_HYs,2017-12-20,33
8D6UWHZ_HYs,2017-12-21,24
8D6UWHZ_HYs,2017-12-22,28
8D6UWHZ_HYs,2017-12-23,42
8D6UWHZ_HYs,2017-12-24,17
8D6UWHZ_HYs,2017-12-25,28
8D6UWHZ_HYs,2017-12-26,25
8D6UWHZ_HYs,2017-12-27,18
8D6UWHZ_HYs,2017-12-28,27
8D6UWHZ_HYs,2017-12-29,23
8D6UWHZ_HYs,2017-12-30,42
8D6UWHZ_HYs,2017-12-31,36
8D6UWHZ_HYs,2018-01-01,40
8D6UWHZ_HYs,2018-01-02,33
8D6UWHZ_HYs,2018-01-03,28
8D6UWHZ_HYs,2018-01-04,33
8D6UWHZ_HYs,2018-01-05,23
8D6UWHZ_HYs,2018-01-06,28
8D6UWHZ_HYs,2018-01-07,23
8D6UWHZ_HYs,2018-01-08,20
8D6UWHZ_HYs,2018-01-09,34
8D6UWHZ_HYs,2018-01-10,27
8D6UWHZ_HYs,2018-01-11,23
8D6UWHZ_HYs,2018-01-12,24
8D6UWHZ_HYs,2018-01-13,33
8D6UWHZ_HYs,2018-01-14,21
8D6UWHZ_HYs,2018-01-15,13
8D6UWHZ_HYs,2018-01-16,20
8D6UWHZ_HYs,2018-01-17,12
8D6UWHZ_HYs,2018-01-18,14
8D6UWHZ_HYs,2018-01-19,20
8D6UWHZ_HYs,2018-01-20,15
8D6UWHZ_HYs,2018-01-21,29
8D6UWHZ_HYs,2018-01-22,21
8D6UWHZ_HYs,2018-01-23,26
8D6UWHZ_HYs,2018-01-24,17
8D6UWHZ_HYs,2018-01-25,13
8D6UWHZ_HYs,2018-01-26,29
8D6UWHZ_HYs,2018-01-27,29
8D6UWHZ_HYs,2018-01-28,25
8D6UWHZ_HYs,2018-01-29,27
8D6UWHZ_HYs,2018-01-30,58
8D6UWHZ_HYs,2018-01-31,85
8D6UWHZ_HYs,2018-02-01,79
8D6UWHZ_HYs,2018-02-02,44
8D6UWHZ_HYs,2018-02-03,38
8D6UWHZ_HYs,2018-02-04,23
8D6UWHZ_HYs,2018-02-05,32
8D6UWHZ_HYs,2018-02-06,20
8D6UWHZ_HYs,2018-02-07,19
8D6UWHZ_HYs,2018-02-08,31
8D6UWHZ_HYs,2018-02-09,27
8D6UWHZ_HYs,2018-02-10,27
8D6UWHZ_HYs,2018-02-11,45
8D6UWHZ_HYs,2018-02-12,36
8D6UWHZ_HYs,2018-02-13,50
8D6UWHZ_HYs,2018-02-14,46
8D6UWHZ_HYs,2018-02-15,56
8D6UWHZ_HYs,2018-02-16,45
8D6UWHZ_HYs,2018-02-17,32
8D6UWHZ_HYs,2018-02-18,52
8D6UWHZ_HYs,2018-02-19,52
8D6UWHZ_HYs,2018-02-20,62
8D6UWHZ_HYs,2018-02-21,42
8D6UWHZ_HYs,2018-02-22,35
8D6UWHZ_HYs,2018-02-23,49
8D6UWHZ_HYs,2018-02-24,40
8D6UWHZ_HYs,2018-02-25,35
8D6UWHZ_HYs,2018-02-26,36
8D6UWHZ_HYs,2018-02-27,30
8D6UWHZ_HYs,2018-02-28,33
8D6UWHZ_HYs,2018-03-01,29
8D6UWHZ_HYs,2018-03-02,46
8D6UWHZ_HYs,2018-03-03,38
8D6UWHZ_HYs,2018-03-04,55
8D6UWHZ_HYs,2018-03-05,44
8D6UWHZ_HYs,2018-03-06,32
8D6UWHZ_HYs,2018-03-07,35
8D6UWHZ_HYs,2018-03-08,32
8D6UWHZ_HYs,2018-03-09,32
8D6UWHZ_HYs,2018-03-10,29
8D6UWHZ_HYs,2018-03-11,29
8D6UWHZ_HYs,2018-03-12,17
8D6UWHZ_HYs,2018-03-13,31
8D6UWHZ_HYs,2018-03-14,26
8D6UWHZ_HYs,2018-03-15,31
8D6UWHZ_HYs,2018-03-16,30
8D6UWHZ_HYs,2018-03-17,47
8D6UWHZ_HYs,2018-03-18,40
8D6UWHZ_HYs,2018-03-19,32
8D6UWHZ_HYs,2018-03-20,24
8D6UWHZ_HYs,2018-03-21,15
8D6UWHZ_HYs,2018-03-22,23
8D6UWHZ_HYs,2018-03-23,19
8D6UWHZ_HYs,2018-03-24,22
8D6UWHZ_HYs,2018-03-25,17
8D6UWHZ_HYs,2018-03-26,21
8D6UWHZ_HYs,2018-03-27,17
8D6UWHZ_HYs,2018-03-28,35
8D6UWHZ_HYs,2018-03-29,20
8D6UWHZ_HYs,2018-03-30,16
8D6UWHZ_HYs,2018-03-31,23
8D6UWHZ_HYs,2018-04-01,30
8D6UWHZ_HYs,2018-04-02,20
8D6UWHZ_HYs,2018-04-03,16
8D6UWHZ_HYs,2018-04-04,12
8D6UWHZ_HYs,2018-04-05,24
8D6UWHZ_HYs,2018-04-06,20
8D6UWHZ_HYs,2018-04-07,22
8D6UWHZ_HYs,2018-04-08,31
8D6UWHZ_HYs,2018-04-09,23
8D6UWHZ_HYs,2018-04-10,25
8D6UWHZ_HYs,2018-04-11,27
8D6UWHZ_HYs,2018-04-12,15
8D6UWHZ_HYs,2018-04-13,19
8D6UWHZ_HYs,2018-04-14,18
8D6UWHZ_HYs,2018-04-15,26
8D6UWHZ_HYs,2018-04-16,17
8D6UWHZ_HYs,2018-04-17,16
8D6UWHZ_HYs,2018-04-18,23
8D6UWHZ_HYs,2018-04-19,15
8D6UWHZ_HYs,2018-04-20,17
8D6UWHZ_HYs,2018-04-21,14
8D6UWHZ_HYs,2018-04-22,23
8D6UWHZ_HYs,2018-04-23,19
8D6UWHZ_HYs,2018-04-24,24
8D6UWHZ_HYs,2018-04-25,24
8D6UWHZ_HYs,2018-04-26,23
8D6UWHZ_HYs,2018-04-27,16
8D6UWHZ_HYs,2018-04-28,39
8D6UWHZ_HYs,2018-04-29,23
8D6UWHZ_HYs,2018-04-30,27
8D6UWHZ_HYs,2018-05-01,28
8D6UWHZ_HYs,2018-05-02,17
8D6UWHZ_HYs,2018-05-03,26
8D6UWHZ_HYs,2018-05-04,14
8D6UWHZ_HYs,2018-05-05,31
8D6UWHZ_HYs,2018-05-06,34
8D6UWHZ_HYs,2018-05-07,19
8D6UWHZ_HYs,2018-05-08,27
8D6UWHZ_HYs,2018-05-09,27
8D6UWHZ_HYs,2018-05-10,17
8D6UWHZ_HYs,2018-05-11,17
8D6UWHZ_HYs,2018-05-12,20
8D6UWHZ_HYs,2018-05-13,26
8D6UWHZ_HYs,2018-05-14,5
8D6UWHZ_HYs,2018-05-15,13
8D6UWHZ_HYs,2018-05-16,15
8D6UWHZ_HYs,2018-05-17,28
8D6UWHZ_HYs,2018-05-18,35
8D6UWHZ_HYs,2018-05-19,27
8D6UWHZ_HYs,2018-05-20,39
8D6UWHZ_HYs,2018-05-21,29
8D6UWHZ_HYs,2018-05-22,23
8D6UWHZ_HYs,2018-05-23,23
8D6UWHZ_HYs,2018-05-24,15
8D6UWHZ_HYs,2018-05-25,12
8D6UWHZ_HYs,2018-05-26,21
8D6UWHZ_HYs,2018-05-27,22
8D6UWHZ_HYs,2018-05-28,22
8D6UWHZ_HYs,2018-05-29,21
8D6UWHZ_HYs,2018-05-30,22
8D6UWHZ_HYs,2018-05-31,14
8D6UWHZ_HYs,2018-06-01,15
8D6UWHZ_HYs,2018-06-02,11
8D6UWHZ_HYs,2018-06-03,14
8D6UWHZ_HYs,2018-06-04,11
8D6UWHZ_HYs,2018-06-05,17
8D6UWHZ_HYs,2018-06-06,9
8D6UWHZ_HYs,2018-06-07,8
8D6UWHZ_HYs,2018-06-08,8
8D6UWHZ_HYs,2018-06-09,11
8D6UWHZ_HYs,2018-06-10,22
8D6UWHZ_HYs,2018-06-11,22
8D6UWHZ_HYs,2018-06-12,13
8D6UWHZ_HYs,2018-06-13,9
8D6UWHZ_HYs,2018-06-14,7
8D6UWHZ_HYs,2018-06-15,11
8D6UWHZ_HYs,2018-06-16,7
8D6UWHZ_HYs,2018-06-17,2
8D6UWHZ_HYs,2018-06-18,9
8D6UWHZ_HYs,2018-06-19,4
8D6UWHZ_HYs,2018-06-20,7
8D6UWHZ_HYs,2018-06-21,9
8D6UWHZ_HYs,2018-06-22,8
8D6UWHZ_HYs,2018-06-23,6
8D6UWHZ_HYs,2018-06-24,11
8D6UWHZ_HYs,2018-06-25,15
8D6UWHZ_HYs,2018-06-26,12
8D6UWHZ_HYs,2018-06-27,10
8D6UWHZ_HYs,2018-06-28,10
8D6UWHZ_HYs,2018-06-29,9
8D6UWHZ_HYs,2018-06-30,10
8D6UWHZ_HYs,2018-07-01,14
8D6UWHZ_HYs,2018-07-02,11
8D6UWHZ_HYs,2018-07-03,11
8D6UWHZ_HYs,2018-07-04,7
8D6UWHZ_HYs,2018-07-05,11
8D6UWHZ_HYs,2018-07-06,16
8D6UWHZ_HYs,2018-07-07,22
8D6UWHZ_HYs,2018-07-08,18
8D6UWHZ_HYs,2018-07-09,10
8D6UWHZ_HYs,2018-07-10,4
8D6UWHZ_HYs,2018-07-11,13
8D6UWHZ_HYs,2018-07-12,8
8D6UWHZ_HYs,2018-07-13,15
8D6UWHZ_HYs,2018-07-14,20
8D6UWHZ_HYs,2018-07-15,18
8D6UWHZ_HYs,2018-07-16,10
8D6UWHZ_HYs,2018-07-17,20
8D6UWHZ_HYs,2018-07-18,16
8D6UWHZ_HYs,2018-07-19,16
8D6UWHZ_HYs,2018-07-20,7
8D6UWHZ_HYs,2018-07-21,27
8D6UWHZ_HYs,2018-07-22,37
8D6UWHZ_HYs,2018-07-23,32
8D6UWHZ_HYs,2018-07-24,20
8D6UWHZ_HYs,2018-07-25,19
8D6UWHZ_HYs,2018-07-26,16
8D6UWHZ_HYs,2018-07-27,17
8D6UWHZ_HYs,2018-07-28,11
8D6UWHZ_HYs,2018-07-29,18
8D6UWHZ_HYs,2018-07-30,13
8D6UWHZ_HYs,2018-07-31,15
8D6UWHZ_HYs,2018-08-01,9
8D6UWHZ_HYs,2018-08-02,11
8D6UWHZ_HYs,2018-08-03,23
8D6UWHZ_HYs,2018-08-04,24
8D6UWHZ_HYs,2018-08-05,30
8D6UWHZ_HYs,2018-08-06,26
8D6UWHZ_HYs,2018-08-07,20
8D6UWHZ_HYs,2018-08-08,15
8D6UWHZ_HYs,2018-08-09,19
8D6UWHZ_HYs,2018-08-10,30
8D6UWHZ_HYs,2018-08-11,26
8D6UWHZ_HYs,2018-08-12,17
8D6UWHZ_HYs,2018-08-13,19
8D6UWHZ_HYs,2018-08-14,23
8D6UWHZ_HYs,2018-08-15,12
8D6UWHZ_HYs,2018-08-16,16
8D6UWHZ_HYs,2018-08-17,17
8D6UWHZ_HYs,2018-08-18,27
8D6UWHZ_HYs,2018-08-19,13
8D6UWHZ_HYs,2018-08-20,17
8D6UWHZ_HYs,2018-08-21,21
8D6UWHZ_HYs,2018-08-22,27
8D6UWHZ_HYs,2018-08-23,38
8D6UWHZ_HYs,2018-08-24,22
8D6UWHZ_HYs,2018-08-25,25
8D6UWHZ_HYs,2018-08-26,32
8D6UWHZ_HYs,2018-08-27,26
8D6UWHZ_HYs,2018-08-28,29
8D6UWHZ_HYs,2018-08-29,34
8D6UWHZ_HYs,2018-08-30,25
8D6UWHZ_HYs,2018-08-31,39
8D6UWHZ_HYs,2018-09-01,37
8D6UWHZ_HYs,2018-09-02,39
8D6UWHZ_HYs,2018-09-03,31
8D6UWHZ_HYs,2018-09-04,43
8D6UWHZ_HYs,2018-09-05,32
8D6UWHZ_HYs,2018-09-06,38
8D6UWHZ_HYs,2018-09-07,41
8D6UWHZ_HYs,2018-09-08,34
8D6UWHZ_HYs,2018-09-09,32
8D6UWHZ_HYs,2018-09-10,35
8D6UWHZ_HYs,2018-09-11,23
8D6UWHZ_HYs,2018-09-12,24
8D6UWHZ_HYs,2018-09-13,17
8D6UWHZ_HYs,2018-09-14,20
8D6UWHZ_HYs,2018-09-15,21
8D6UWHZ_HYs,2018-09-16,40
8D6UWHZ_HYs,2018-09-17,36
8D6UWHZ_HYs,2018-09-18,57
8D6UWHZ_HYs,2018-09-19,59
8D6UWHZ_HYs,2018-09-20,63
8D6UWHZ_HYs,2018-09-21,74
8D6UWHZ_HYs,2018-09-22,86
8D6UWHZ_HYs,2018-09-23,58
8D6UWHZ_HYs,2018-09-24,60
8D6UWHZ_HYs,2018-09-25,42
8D6UWHZ_HYs,2018-09-26,37
8D6UWHZ_HYs,2018-09-27,28
8D6UWHZ_HYs,2018-09-28,16
8D6UWHZ_HYs,2018-09-29,38
8D6UWHZ_HYs,2018-09-30,29
8D6UWHZ_HYs,2018-10-01,18
8D6UWHZ_HYs,2018-10-02,19
8D6UWHZ_HYs,2018-10-03,16
8D6UWHZ_HYs,2018-10-04,16
8D6UWHZ_HYs,2018-10-05,19
8D6UWHZ_HYs,2018-10-06,23
8D6UWHZ_HYs,2018-10-07,31
8D6UWHZ_HYs,2018-10-08,25
8D6UWHZ_HYs,2018-10-09,41
8D6UWHZ_HYs,2018-10-10,35
8D6UWHZ_HYs,2018-10-11,32
8D6UWHZ_HYs,2018-10-12,54
8D6UWHZ_HYs,2018-10-13,60
8D6UWHZ_HYs,2018-10-14,36
8D6UWHZ_HYs,2018-10-15,34
8D6UWHZ_HYs,2018-10-16,62
8D6UWHZ_HYs,2018-10-17,67
8D6UWHZ_HYs,2018-10-18,47
8D6UWHZ_HYs,2018-10-19,40
8D6UWHZ_HYs,2018-10-20,36
8D6UWHZ_HYs,2018-10-21,34
8D6UWHZ_HYs,2018-10-22,35
8D6UWHZ_HYs,2018-10-23,23
8D6UWHZ_HYs,2018-10-24,24
8D6UWHZ_HYs,2018-10-25,51
8D6UWHZ_HYs,2018-10-26,75
8D6UWHZ_HYs,2018-10-27,67
8D6UWHZ_HYs,2018-10-28,49
8D6UWHZ_HYs,2018-10-29,73
