day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-10-07,15,6,0,1,0,0,0,0,101,68,407,61.46,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-10-08,32696,4977,101,2839,29,3033,471,134,216796,35483,397,60.01,0,0,0,0,0,0,0,0.3056,0.0028000000000000004,36,7981,11,22,92,19
2021-10-09,36259,5499,41,2274,30,1672,487,92,231263,38482,382,57.71999999999999,0,0,0,0,0,0,0,0.2857,0.0024,28,7934,8,19,171,15
2021-10-10,50773,7691,52,2450,31,2265,425,117,302235,51976,357,53.87,0,0,0,0,0,0,0,0.3077,0.0011,26,9411,8,10,393,16
2021-10-11,50844,7427,42,2107,34,2106,418,95,284299,47601,335,50.6,0,0,0,0,0,0,0,0.31579999999999997,0.002,19,7045,6,14,382,15
2021-10-12,40297,5531,39,1636,26,1800,371,97,219672,34597,327,49.33,0,0,0,0,0,0,0,0.2632,0.0024,19,4609,5,11,341,12
2021-10-13,27629,3569,24,1094,18,1235,316,65,149392,22463,324,48.93,0,0,0,0,0,0,0,0.2727,0.0013,11,3125,3,4,219,6
2021-10-14,21227,2774,20,804,14,939,266,50,112527,16999,318,47.97,0,0,0,0,0,0,0,0.2857,0.0026,7,2278,2,6,190,6
2021-10-15,15750,1956,18,557,11,659,233,31,82755,11862,315,47.55,0,0,0,0,0,0,0,0.0,0.0012,4,1631,0,2,141,2
2021-10-16,8796,1223,9,335,5,338,178,23,48612,8015,331,50.01,0,0,0,0,0,0,0,0.1429,0.0021,7,968,1,2,51,7
2021-10-17,8486,1185,1,317,13,353,171,19,47438,7512,335,50.59,0,0,0,0,0,0,0,0.3077,0.0028000000000000004,13,1067,4,3,68,3
2021-10-18,5286,787,1,223,5,209,136,12,29564,5227,335,50.62,0,0,0,0,0,0,0,0.0,0.002,1,505,0,1,45,3
2021-10-19,4030,575,3,153,0,159,112,7,23390,3841,348,52.53,0,0,0,0,0,0,0,0.5,0.006500000000000001,2,309,1,2,30,2
2021-10-20,3302,495,1,150,0,123,95,2,18844,3305,342,51.65,0,0,0,0,0,0,0,0.0,0.0,0,282,0,0,18,1
2021-10-21,3083,456,1,122,1,101,84,12,18648,3074,362,54.74,0,0,0,0,0,0,0,0.0,0.0,0,242,0,0,21,4
2021-10-22,2082,339,8,76,3,63,70,3,12038,2205,346,52.33,0,0,0,0,0,0,0,0.0,0.0,1,166,0,0,11,2
2021-10-23,1794,310,2,84,0,49,61,4,11201,2281,374,56.50999999999999,0,0,0,0,0,0,0,0.5,0.0060999999999999995,2,165,1,1,11,2
2021-10-24,2277,373,2,106,1,63,53,8,13679,2719,360,54.37,0,0,0,0,0,0,0,0.0,0.0053,1,187,0,1,14,0
2021-10-25,2319,389,2,66,1,67,63,2,13182,2446,341,51.44,0,0,0,0,0,0,0,0.0,0.0,0,171,0,0,24,1
2021-10-26,2367,376,0,85,4,81,46,4,14466,2390,366,55.31,0,0,0,0,0,0,0,0.0,0.0,0,222,0,0,25,1
2021-10-27,1857,315,3,65,1,52,50,4,11518,2103,372,56.13,0,0,0,0,0,0,0,0.5,0.0129,4,155,2,2,21,0
2021-10-28,2053,343,1,61,1,64,38,5,12007,2096,350,52.93,0,0,0,0,0,0,0,0.0,0.0,1,167,0,0,20,0
2021-10-29,1543,259,0,48,0,47,49,2,8827,1657,343,51.77,0,0,0,0,0,0,0,1.0,0.0076,1,131,1,1,17,2
2021-10-30,996,151,1,46,0,31,31,4,6273,1105,377,57.00999999999999,0,0,0,0,0,0,0,0.0,0.0,0,88,0,0,9,0
2021-10-31,981,158,2,24,1,35,53,5,5971,1050,365,55.09,0,0,0,0,0,0,0,0.0,0.0,0,82,0,0,13,2
2021-11-01,863,147,0,31,1,23,41,1,5429,1023,377,56.93,0,0,0,0,0,0,0,0.0,0.0,1,92,0,0,7,0
2021-11-02,717,106,1,29,0,19,31,6,4321,774,361,54.54,0,0,0,0,0,0,0,0.0,0.0,0,57,0,0,4,0
2021-11-03,742,113,0,28,0,21,31,1,4838,741,391,59.02,0,0,0,0,0,0,0,0.0,0.0,1,68,0,0,1,0
2021-11-04,785,125,0,25,2,23,33,0,4602,767,351,53.06000000000001,0,0,0,0,0,0,0,0.0,0.0,0,69,0,0,6,0
2021-11-05,658,103,0,23,0,22,21,0,4254,775,387,58.51,0,0,0,0,0,0,0,0.0,0.0,0,73,0,0,4,1
2021-11-06,679,104,0,23,0,12,22,1,4211,703,372,56.14,0,0,0,0,0,0,0,0.0,0.0,0,61,0,0,6,0
2021-11-07,823,161,0,29,0,15,22,0,5703,1240,415,62.71,0,0,0,0,0,0,0,0.0,0.0,0,104,0,0,5,0
2021-11-08,1086,195,1,34,0,23,20,0,6965,1370,384,58.040000000000006,0,0,0,0,0,0,0,0.3333,0.0179,3,112,1,2,12,1
2021-11-09,1400,255,1,44,1,44,27,3,9059,1773,388,58.56,0,0,0,0,0,0,0,0.0,0.0,0,146,0,0,18,1
2021-11-10,1579,279,1,48,0,38,26,2,9632,1765,366,55.21,0,0,0,0,0,0,0,0.0,0.0,0,132,0,0,15,0
2021-11-11,1355,219,0,30,0,39,24,2,8205,1483,363,54.79999999999999,0,0,0,0,0,0,0,0.0,0.0,1,119,0,0,17,3
2021-11-12,964,149,0,24,1,25,27,1,6029,893,375,56.61000000000001,0,0,0,0,0,0,0,0.0,0.0,1,110,0,0,9,0
2021-11-13,950,146,0,30,1,29,20,3,6042,1018,381,57.56,0,0,0,0,0,0,0,0.0,0.0,0,104,0,0,12,2
2021-11-14,838,143,0,38,0,20,30,2,5478,1089,392,59.160000000000004,0,0,0,0,0,0,0,0.0,0.0,1,84,0,0,6,0
2021-11-15,753,114,1,23,0,13,27,0,4857,787,387,58.379999999999995,0,0,0,0,0,0,0,0.0,0.0,0,91,0,0,9,0
2021-11-16,646,108,0,21,0,12,19,1,4338,774,402,60.77,0,0,0,0,0,0,0,0.0,0.0,0,88,0,0,5,0
2021-11-17,699,120,1,28,0,12,23,0,4839,878,415,62.64999999999999,0,0,0,0,0,0,0,0.0,0.011399999999999999,1,88,0,1,3,0
2021-11-18,980,158,1,27,0,24,22,2,6922,1193,423,63.93,0,0,0,0,0,0,0,0.0,0.0,0,110,0,0,11,0
2021-11-19,1029,166,1,34,2,23,16,2,6767,1251,394,59.52,0,0,0,0,0,0,0,0.0,0.0,0,103,0,0,7,0
2021-11-20,966,148,0,28,0,17,21,2,6221,1010,386,58.29,0,0,0,0,0,0,0,0.0,0.0,0,88,0,0,7,0
2021-11-21,891,135,0,26,0,21,17,2,5868,917,395,59.61,0,0,0,0,0,0,0,0.0,0.0,0,75,0,0,8,1
2021-11-22,871,124,1,27,1,11,24,2,5441,845,374,56.54,0,0,0,0,0,0,0,1.0,0.0106,1,94,1,1,4,0
2021-11-23,719,100,1,25,0,12,14,1,4499,640,375,56.63,0,0,0,0,0,0,0,0.0,0.0,0,69,0,0,5,1
2021-11-24,650,113,0,16,1,12,26,3,4120,783,380,57.36,0,0,0,0,0,0,0,0.0,0.0,0,64,0,0,5,0
