videoID,day,likes
8Sb4ZBRVyS4,2021-10-07,1
8Sb4ZBRVyS4,2021-10-08,2839
8Sb4ZBRVyS4,2021-10-09,2274
8Sb4ZBRVyS4,2021-10-10,2450
8Sb4ZBRVyS4,2021-10-11,2107
8Sb4ZBRVyS4,2021-10-12,1636
8Sb4ZBRVyS4,2021-10-13,1094
8Sb4ZBRVyS4,2021-10-14,804
8Sb4ZBRVyS4,2021-10-15,557
8Sb4ZBRVyS4,2021-10-16,335
8Sb4ZBRVyS4,2021-10-17,317
8Sb4ZBRVyS4,2021-10-18,223
8Sb4ZBRVyS4,2021-10-19,153
8Sb4ZBRVyS4,2021-10-20,150
8Sb4ZBRVyS4,2021-10-21,122
8Sb4ZBRVyS4,2021-10-22,76
8Sb4ZBRVyS4,2021-10-23,84
8Sb4ZBRVyS4,2021-10-24,106
8Sb4ZBRVyS4,2021-10-25,66
8Sb4ZBRVyS4,2021-10-26,85
8Sb4ZBRVyS4,2021-10-27,65
8Sb4ZBRVyS4,2021-10-28,61
8Sb4ZBRVyS4,2021-10-29,48
8Sb4ZBRVyS4,2021-10-30,46
8Sb4ZBRVyS4,2021-10-31,24
8Sb4ZBRVyS4,2021-11-01,31
8Sb4ZBRVyS4,2021-11-02,29
8Sb4ZBRVyS4,2021-11-03,28
8Sb4ZBRVyS4,2021-11-04,25
8Sb4ZBRVyS4,2021-11-05,23
8Sb4ZBRVyS4,2021-11-06,23
8Sb4ZBRVyS4,2021-11-07,29
8Sb4ZBRVyS4,2021-11-08,34
8Sb4ZBRVyS4,2021-11-09,44
8Sb4ZBRVyS4,2021-11-10,48
8Sb4ZBRVyS4,2021-11-11,30
8Sb4ZBRVyS4,2021-11-12,24
8Sb4ZBRVyS4,2021-11-13,30
8Sb4ZBRVyS4,2021-11-14,38
8Sb4ZBRVyS4,2021-11-15,23
8Sb4ZBRVyS4,2021-11-16,21
8Sb4ZBRVyS4,2021-11-17,28
8Sb4ZBRVyS4,2021-11-18,27
8Sb4ZBRVyS4,2021-11-19,34
8Sb4ZBRVyS4,2021-11-20,28
8Sb4ZBRVyS4,2021-11-21,26
8Sb4ZBRVyS4,2021-11-22,27
8Sb4ZBRVyS4,2021-11-23,25
8Sb4ZBRVyS4,2021-11-24,16
8Sb4ZBRVyS4,2021-11-25,14
8Sb4ZBRVyS4,2021-11-26,20
8Sb4ZBRVyS4,2021-11-27,12
8Sb4ZBRVyS4,2021-11-28,18
8Sb4ZBRVyS4,2021-11-29,16
8Sb4ZBRVyS4,2021-11-30,16
8Sb4ZBRVyS4,2021-12-01,20
8Sb4ZBRVyS4,2021-12-02,22
8Sb4ZBRVyS4,2021-12-03,16
8Sb4ZBRVyS4,2021-12-04,6
8Sb4ZBRVyS4,2021-12-05,19
8Sb4ZBRVyS4,2021-12-06,15
8Sb4ZBRVyS4,2021-12-07,6
8Sb4ZBRVyS4,2021-12-08,8
8Sb4ZBRVyS4,2021-12-09,2
