day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-08-27,27,3,1,3,0,0,0,0,185,31,411,49.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,58457,8881,155,3886,38,3984,528,131,482813,80641,495,60.14000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,115,24
2021-08-29,49259,7124,71,2321,18,2101,662,107,375585,61349,457,55.52,0,0,0,0,0,0,0,0,0,0,0,0,0,169,16
2021-08-30,27947,3984,27,1186,18,1163,432,67,205608,33493,441,53.56999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,117,11
2021-08-31,20346,2856,17,803,16,750,322,43,150648,23709,444,53.92,0,0,0,0,0,0,0,0,0,0,0,0,0,86,6
2021-09-01,22139,3331,23,756,14,731,270,47,165791,27123,449,54.53,0,0,0,0,0,0,0,0,0,0,0,0,0,81,9
2021-09-02,20842,3036,47,708,17,700,250,35,155359,24748,447,54.28000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,91,11
2021-09-03,15799,2218,17,474,13,531,217,21,113425,17708,430,52.28,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4
2021-09-04,16146,2375,12,439,6,520,177,13,116753,19241,433,52.65,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2
2021-09-05,16446,2493,16,451,16,510,186,19,113918,18931,415,50.44,0,0,0,0,0,0,0,0,0,0,0,0,0,92,7
2021-09-06,14426,2116,10,429,7,454,161,19,99337,16321,413,50.13999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,81,8
2021-09-07,12768,1785,10,341,18,375,147,11,84199,13637,395,48.02,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5
2021-09-08,8661,1223,7,252,10,284,121,12,60425,9673,418,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7
2021-09-09,5422,763,2,160,2,162,113,16,39817,6175,440,53.47,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3
2021-09-10,3325,472,2,115,3,90,72,8,24254,3763,437,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7
2021-09-11,3606,489,3,110,3,110,66,7,25667,4166,427,51.83,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5
2021-09-12,3154,488,4,100,0,94,95,8,23301,3945,443,53.790000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5
2021-09-13,3083,440,2,96,0,87,79,4,21688,3362,422,51.22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-09-14,2423,362,1,82,1,72,71,8,16607,2818,411,49.91,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-09-15,2043,284,2,75,1,61,47,4,13736,2141,403,48.96,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
2021-09-16,1415,214,1,55,1,34,51,2,9629,1735,408,49.55,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-09-17,1034,176,1,39,0,31,62,1,7551,1421,438,53.18000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2021-09-18,1134,157,1,51,0,29,46,2,8260,1356,437,53.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-09-19,1478,233,0,71,0,38,43,2,10777,1953,437,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-09-20,1618,282,4,82,2,48,38,5,11871,2296,440,53.42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
2021-09-21,1211,193,2,46,0,29,41,2,9062,1608,449,54.49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-09-22,1289,216,2,56,0,27,36,4,9474,1791,440,53.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-09-23,1288,203,2,63,2,29,44,3,9200,1739,428,52.01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-09-24,1244,190,0,45,2,29,25,1,8947,1656,431,52.37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-09-25,1356,215,1,56,1,32,33,0,9333,1658,412,50.12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2021-09-26,1438,207,4,56,0,34,28,3,10183,1857,424,51.57000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-09-27,1182,216,1,52,3,32,31,1,9099,1817,461,56.05,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2021-09-28,1077,172,0,39,1,25,22,1,8077,1407,450,54.61,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-09-29,969,164,1,26,-1,24,25,0,7852,1440,486,59.01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-09-30,806,110,0,27,1,19,23,1,6683,1042,497,60.38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-10-01,634,100,1,21,1,11,19,0,5055,790,478,58.06,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-02,680,118,0,15,0,15,16,3,5349,1070,472,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-10-03,946,142,0,23,0,23,24,4,7604,1199,482,58.53,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-04,1025,140,1,25,0,22,32,0,7971,1218,466,56.63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-05,975,150,0,32,0,15,18,3,7333,1247,451,54.77000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-10-06,810,114,0,23,1,13,15,1,6731,1147,498,60.52000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-10-07,1052,192,0,34,0,20,21,1,8353,1770,476,57.82000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-10-08,922,143,1,24,0,23,17,1,7550,1247,491,59.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-09,986,148,0,23,0,23,23,0,7940,1297,483,58.64,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-10-10,1371,214,2,45,0,41,22,0,10984,1768,480,58.34,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-10-11,1498,232,1,45,1,16,26,0,11824,1944,473,57.48,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2021-10-12,1521,257,0,45,1,29,18,8,11520,2114,454,55.15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2021-10-13,1624,254,4,55,0,33,18,0,12667,2307,468,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
2021-10-14,1538,259,2,32,1,29,20,2,11688,2078,456,55.34,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-10-15,1631,268,1,43,0,35,15,2,12645,2181,465,56.45,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-10-16,1164,164,3,19,0,25,11,5,8629,1251,444,53.98,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-17,1483,241,3,48,1,39,13,2,11753,2175,475,57.71000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-10-18,1602,237,1,51,0,38,16,2,12241,2002,458,55.64,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-10-19,1653,277,1,48,1,39,18,4,12495,2259,453,55.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-10-20,1837,265,1,47,2,32,28,2,12912,2185,421,51.18000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-10-21,1547,253,3,40,1,44,17,1,11700,2013,453,55.06999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-10-22,1211,203,0,35,1,29,10,2,8917,1731,441,53.620000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-10-23,1367,234,0,42,0,42,20,5,9877,1962,433,52.61,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-10-24,1519,283,0,36,1,35,16,2,11313,2276,446,54.230000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-10-25,1251,229,2,32,1,20,13,7,9555,1995,458,55.620000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2021-10-26,1057,199,2,37,0,20,13,4,7971,1661,452,54.92,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-10-27,1064,188,0,37,0,23,16,0,7908,1566,445,54.120000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-10-28,1036,205,0,27,0,17,11,0,7663,1644,443,53.86,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-29,917,145,0,28,1,24,12,1,6941,1139,454,55.120000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-10-30,723,102,1,25,0,22,17,2,5419,976,449,54.58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-10-31,866,144,0,22,2,21,15,4,6731,1135,466,56.60000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-11-01,731,121,0,16,2,20,18,2,5290,901,434,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-02,574,96,0,17,0,11,18,1,4506,851,471,57.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-03,511,82,0,17,0,12,12,7,3997,745,469,56.96,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2021-11-04,497,84,1,15,1,11,4,0,3913,781,472,57.34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-05,489,76,0,12,0,18,10,1,3707,756,454,55.21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-06,458,83,1,14,1,11,7,7,3244,752,425,51.59,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-11-07,593,101,0,19,2,12,16,2,4498,910,455,55.24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-11-08,599,100,0,11,0,13,15,0,4456,841,446,54.17000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2021-11-09,668,138,0,16,1,10,14,2,5077,1188,456,55.35,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-11-10,703,108,0,23,0,30,15,2,5253,938,448,54.42,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-11-11,728,123,0,27,0,14,8,2,5600,1159,461,56.02,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-11-12,777,123,0,56,0,22,9,3,5358,1022,413,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5
2021-11-13,635,89,1,35,1,17,12,1,4660,760,440,53.44,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
2021-11-14,601,109,0,27,0,16,9,6,4463,946,445,54.08,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-11-15,492,72,0,17,0,10,13,1,3829,653,466,56.67,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-16,471,75,0,18,0,10,9,0,3746,665,477,57.92,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-11-17,617,87,1,30,1,10,13,2,4907,852,477,57.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-18,813,130,1,23,0,21,7,5,6188,1034,456,55.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-11-19,831,136,0,23,0,15,8,1,6515,1226,470,57.09000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-11-20,772,124,0,35,0,15,10,1,5987,1019,465,56.48,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-11-21,576,89,0,21,1,31,15,0,4519,851,470,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2021-11-22,716,103,0,19,1,14,15,1,5496,891,460,55.89999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-11-23,642,105,0,19,2,13,13,0,4738,824,442,53.74,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-11-24,557,100,1,27,0,10,14,0,4087,874,440,53.43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-25,474,76,1,17,1,24,9,1,3821,704,483,58.709999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-11-26,437,62,0,9,0,8,6,3,3339,555,458,55.64,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-11-27,378,51,0,14,0,7,7,0,2810,449,446,54.14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-11-28,360,48,0,25,0,18,9,7,2570,433,428,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-11-29,398,60,0,27,0,29,7,0,3004,616,452,54.96,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-11-30,405,67,1,23,-1,32,11,0,2993,559,443,53.81,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2021-12-01,432,68,0,20,0,12,11,0,3183,596,442,53.66,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-12-02,500,67,0,22,0,8,13,2,3535,599,424,51.49,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-12-03,387,61,0,17,0,24,2,0,2884,544,447,54.28000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-12-04,380,58,0,23,0,39,5,2,2724,476,430,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-12-05,419,50,0,32,0,12,11,1,2976,455,426,51.73,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-12-06,358,39,0,25,0,6,10,2,2594,356,434,52.77,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2021-12-07,303,34,0,19,0,14,9,0,2228,382,441,53.56000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
