videoID,day,likes
8Yeay2nE_cI,2021-08-27,3
8Yeay2nE_cI,2021-08-28,3886
8Yeay2nE_cI,2021-08-29,2321
8Yeay2nE_cI,2021-08-30,1186
8Yeay2nE_cI,2021-08-31,803
8Yeay2nE_cI,2021-09-01,756
8Yeay2nE_cI,2021-09-02,708
8Yeay2nE_cI,2021-09-03,474
8Yeay2nE_cI,2021-09-04,439
8Yeay2nE_cI,2021-09-05,451
8Yeay2nE_cI,2021-09-06,429
8Yeay2nE_cI,2021-09-07,341
8Yeay2nE_cI,2021-09-08,252
8Yeay2nE_cI,2021-09-09,160
8Yeay2nE_cI,2021-09-10,115
8Yeay2nE_cI,2021-09-11,110
8Yeay2nE_cI,2021-09-12,100
8Yeay2nE_cI,2021-09-13,96
8Yeay2nE_cI,2021-09-14,82
8Yeay2nE_cI,2021-09-15,75
8Yeay2nE_cI,2021-09-16,55
8Yeay2nE_cI,2021-09-17,39
8Yeay2nE_cI,2021-09-18,51
8Yeay2nE_cI,2021-09-19,71
8Yeay2nE_cI,2021-09-20,82
8Yeay2nE_cI,2021-09-21,46
8Yeay2nE_cI,2021-09-22,56
8Yeay2nE_cI,2021-09-23,63
8Yeay2nE_cI,2021-09-24,45
8Yeay2nE_cI,2021-09-25,56
8Yeay2nE_cI,2021-09-26,56
8Yeay2nE_cI,2021-09-27,52
8Yeay2nE_cI,2021-09-28,39
8Yeay2nE_cI,2021-09-29,26
8Yeay2nE_cI,2021-09-30,27
8Yeay2nE_cI,2021-10-01,21
8Yeay2nE_cI,2021-10-02,15
8Yeay2nE_cI,2021-10-03,23
8Yeay2nE_cI,2021-10-04,25
8Yeay2nE_cI,2021-10-05,32
8Yeay2nE_cI,2021-10-06,23
8Yeay2nE_cI,2021-10-07,34
8Yeay2nE_cI,2021-10-08,24
8Yeay2nE_cI,2021-10-09,23
8Yeay2nE_cI,2021-10-10,45
8Yeay2nE_cI,2021-10-11,45
8Yeay2nE_cI,2021-10-12,45
8Yeay2nE_cI,2021-10-13,55
8Yeay2nE_cI,2021-10-14,32
8Yeay2nE_cI,2021-10-15,43
8Yeay2nE_cI,2021-10-16,19
8Yeay2nE_cI,2021-10-17,48
8Yeay2nE_cI,2021-10-18,51
8Yeay2nE_cI,2021-10-19,48
8Yeay2nE_cI,2021-10-20,47
8Yeay2nE_cI,2021-10-21,40
8Yeay2nE_cI,2021-10-22,35
8Yeay2nE_cI,2021-10-23,42
8Yeay2nE_cI,2021-10-24,36
8Yeay2nE_cI,2021-10-25,32
8Yeay2nE_cI,2021-10-26,37
8Yeay2nE_cI,2021-10-27,37
8Yeay2nE_cI,2021-10-28,27
8Yeay2nE_cI,2021-10-29,28
8Yeay2nE_cI,2021-10-30,25
8Yeay2nE_cI,2021-10-31,22
8Yeay2nE_cI,2021-11-01,16
8Yeay2nE_cI,2021-11-02,17
8Yeay2nE_cI,2021-11-03,17
8Yeay2nE_cI,2021-11-04,15
8Yeay2nE_cI,2021-11-05,12
8Yeay2nE_cI,2021-11-06,14
8Yeay2nE_cI,2021-11-07,19
8Yeay2nE_cI,2021-11-08,11
8Yeay2nE_cI,2021-11-09,16
8Yeay2nE_cI,2021-11-10,23
8Yeay2nE_cI,2021-11-11,27
8Yeay2nE_cI,2021-11-12,56
8Yeay2nE_cI,2021-11-13,35
8Yeay2nE_cI,2021-11-14,27
8Yeay2nE_cI,2021-11-15,17
8Yeay2nE_cI,2021-11-16,18
8Yeay2nE_cI,2021-11-17,30
8Yeay2nE_cI,2021-11-18,23
8Yeay2nE_cI,2021-11-19,23
8Yeay2nE_cI,2021-11-20,35
8Yeay2nE_cI,2021-11-21,21
8Yeay2nE_cI,2021-11-22,19
8Yeay2nE_cI,2021-11-23,19
8Yeay2nE_cI,2021-11-24,27
8Yeay2nE_cI,2021-11-25,17
8Yeay2nE_cI,2021-11-26,9
8Yeay2nE_cI,2021-11-27,14
8Yeay2nE_cI,2021-11-28,25
8Yeay2nE_cI,2021-11-29,27
8Yeay2nE_cI,2021-11-30,23
8Yeay2nE_cI,2021-12-01,20
8Yeay2nE_cI,2021-12-02,22
8Yeay2nE_cI,2021-12-03,17
8Yeay2nE_cI,2021-12-04,23
8Yeay2nE_cI,2021-12-05,32
8Yeay2nE_cI,2021-12-06,25
8Yeay2nE_cI,2021-12-07,19
8Yeay2nE_cI,2021-12-08,31
8Yeay2nE_cI,2021-12-09,15
8Yeay2nE_cI,2021-12-10,37
8Yeay2nE_cI,2021-12-11,37
8Yeay2nE_cI,2021-12-12,28
8Yeay2nE_cI,2021-12-13,39
8Yeay2nE_cI,2021-12-14,24
8Yeay2nE_cI,2021-12-15,23
8Yeay2nE_cI,2021-12-16,23
8Yeay2nE_cI,2021-12-17,28
8Yeay2nE_cI,2021-12-18,27
8Yeay2nE_cI,2021-12-19,25
8Yeay2nE_cI,2021-12-20,28
8Yeay2nE_cI,2021-12-21,18
8Yeay2nE_cI,2021-12-22,19
8Yeay2nE_cI,2021-12-23,18
8Yeay2nE_cI,2021-12-24,25
8Yeay2nE_cI,2021-12-25,31
8Yeay2nE_cI,2021-12-26,28
8Yeay2nE_cI,2021-12-27,31
8Yeay2nE_cI,2021-12-28,29
8Yeay2nE_cI,2021-12-29,20
8Yeay2nE_cI,2021-12-30,17
8Yeay2nE_cI,2021-12-31,27
8Yeay2nE_cI,2022-01-01,16
8Yeay2nE_cI,2022-01-02,10
8Yeay2nE_cI,2022-01-03,13
8Yeay2nE_cI,2022-01-04,7
8Yeay2nE_cI,2022-01-05,8
8Yeay2nE_cI,2022-01-06,11
8Yeay2nE_cI,2022-01-07,9
8Yeay2nE_cI,2022-01-08,7
8Yeay2nE_cI,2022-01-09,7
8Yeay2nE_cI,2022-01-10,5
8Yeay2nE_cI,2022-01-11,11
8Yeay2nE_cI,2022-01-12,7
8Yeay2nE_cI,2022-01-13,3
8Yeay2nE_cI,2022-01-14,15
8Yeay2nE_cI,2022-01-15,11
8Yeay2nE_cI,2022-01-16,6
8Yeay2nE_cI,2022-01-17,10
8Yeay2nE_cI,2022-01-18,9
8Yeay2nE_cI,2022-01-19,8
8Yeay2nE_cI,2022-01-20,7
8Yeay2nE_cI,2022-01-21,9
8Yeay2nE_cI,2022-01-22,39
8Yeay2nE_cI,2022-01-23,62
8Yeay2nE_cI,2022-01-24,34
8Yeay2nE_cI,2022-01-25,43
8Yeay2nE_cI,2022-01-26,29
8Yeay2nE_cI,2022-01-27,34
8Yeay2nE_cI,2022-01-28,20
8Yeay2nE_cI,2022-01-29,24
8Yeay2nE_cI,2022-01-30,14
8Yeay2nE_cI,2022-01-31,8
8Yeay2nE_cI,2022-02-01,11
8Yeay2nE_cI,2022-02-02,8
8Yeay2nE_cI,2022-02-03,5
8Yeay2nE_cI,2022-02-04,8
8Yeay2nE_cI,2022-02-05,9
8Yeay2nE_cI,2022-02-06,7
8Yeay2nE_cI,2022-02-07,13
8Yeay2nE_cI,2022-02-08,12
8Yeay2nE_cI,2022-02-09,11
8Yeay2nE_cI,2022-02-10,9
8Yeay2nE_cI,2022-02-11,15
8Yeay2nE_cI,2022-02-12,17
8Yeay2nE_cI,2022-02-13,19
8Yeay2nE_cI,2022-02-14,12
