day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-09-17,22276,2695,108,2094,18,2108,388,75,121704,15764,327,65.56,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14
2020-09-18,18489,2045,45,1067,19,792,375,46,95912,11763,311,62.25000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6
2020-09-19,9937,1240,10,520,13,384,214,16,51818,6835,312,62.580000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4
2020-09-20,8173,991,8,381,9,280,143,16,43318,5743,318,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6
2020-09-21,7027,761,5,319,10,251,122,11,35389,4221,302,60.42999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2
2020-09-22,5238,576,7,183,11,183,102,4,26361,3164,301,60.39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3
2020-09-23,4038,469,5,165,4,121,74,4,20788,2615,308,61.78,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2020-09-24,2139,225,3,90,0,69,62,4,10607,1238,297,59.51,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
2020-09-25,1531,170,1,65,2,50,58,5,7318,843,286,57.37,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-09-26,1335,161,0,45,1,44,41,2,6585,931,295,59.20000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2020-09-27,1184,129,1,51,0,30,37,2,6043,751,306,61.25000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2020-09-28,1144,130,1,55,0,39,45,2,6079,808,318,63.77,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
2020-09-29,998,113,2,31,0,47,56,3,4942,591,297,59.43000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
2020-09-30,797,98,1,29,1,17,18,2,3998,561,300,60.199999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-10-01,541,66,0,21,0,17,27,0,2781,388,308,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-10-02,428,45,0,15,1,16,24,1,2167,285,303,60.77,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2020-10-03,571,66,0,31,0,13,17,0,2985,331,313,62.74000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-10-04,936,120,2,37,0,25,18,1,4536,616,290,58.160000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
2020-10-05,853,95,1,43,1,24,23,1,4550,518,320,64.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-10-06,718,98,0,45,2,26,16,0,3960,629,330,66.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-07,628,78,1,29,1,18,13,0,3296,419,314,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-10-08,425,47,1,16,1,15,13,1,2323,266,327,65.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-10-09,339,47,0,22,0,6,19,0,1873,251,331,66.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-10,320,45,0,7,0,11,12,0,1830,250,343,68.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-11,375,55,1,23,0,3,12,0,2069,299,331,66.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-10-12,285,38,0,20,1,8,12,0,1672,241,352,70.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-13,306,36,0,15,0,3,8,1,1599,231,313,62.72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-10-14,356,39,0,11,0,9,16,0,1979,237,333,66.72,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-10-15,383,51,0,14,0,12,9,0,2140,329,335,67.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-10-16,321,38,0,17,0,5,13,0,1815,233,339,67.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-10-17,357,34,0,12,0,6,12,0,1945,199,326,65.39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-10-18,295,39,0,9,0,14,16,1,1639,249,333,66.71,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-10-19,275,27,0,14,0,4,12,0,1612,151,351,70.37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-10-20,248,31,0,5,0,5,9,1,1366,182,330,66.12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-10-21,207,24,0,6,0,10,10,0,1235,158,358,71.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-22,182,16,0,6,1,3,8,0,1040,99,343,68.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-23,167,24,0,5,0,1,8,0,934,119,335,67.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,170,20,0,8,0,2,10,0,1036,119,365,73.19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-10-25,167,22,1,7,0,5,5,0,990,150,355,71.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,142,24,0,3,0,3,8,0,826,149,349,69.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-10-27,145,17,0,4,0,2,3,0,830,106,343,68.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-28,130,10,0,3,0,5,8,0,714,51,329,65.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-29,133,10,0,4,0,3,6,0,816,75,368,73.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-30,118,11,0,9,0,3,3,0,684,77,348,69.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-31,81,11,0,4,0,0,4,0,426,50,316,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,104,15,0,2,0,2,9,1,652,103,376,75.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,163,19,0,8,0,3,4,0,1034,119,380,76.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
