videoID,day,likes
8qEC6inxwwI,2020-09-17,2094
8qEC6inxwwI,2020-09-18,1067
8qEC6inxwwI,2020-09-19,520
8qEC6inxwwI,2020-09-20,381
8qEC6inxwwI,2020-09-21,319
8qEC6inxwwI,2020-09-22,183
8qEC6inxwwI,2020-09-23,165
8qEC6inxwwI,2020-09-24,90
8qEC6inxwwI,2020-09-25,65
8qEC6inxwwI,2020-09-26,45
8qEC6inxwwI,2020-09-27,51
8qEC6inxwwI,2020-09-28,55
8qEC6inxwwI,2020-09-29,31
8qEC6inxwwI,2020-09-30,29
8qEC6inxwwI,2020-10-01,21
8qEC6inxwwI,2020-10-02,15
8qEC6inxwwI,2020-10-03,31
8qEC6inxwwI,2020-10-04,37
8qEC6inxwwI,2020-10-05,43
8qEC6inxwwI,2020-10-06,45
8qEC6inxwwI,2020-10-07,29
8qEC6inxwwI,2020-10-08,16
8qEC6inxwwI,2020-10-09,22
8qEC6inxwwI,2020-10-10,7
8qEC6inxwwI,2020-10-11,23
8qEC6inxwwI,2020-10-12,20
8qEC6inxwwI,2020-10-13,15
8qEC6inxwwI,2020-10-14,11
8qEC6inxwwI,2020-10-15,14
8qEC6inxwwI,2020-10-16,17
8qEC6inxwwI,2020-10-17,12
8qEC6inxwwI,2020-10-18,9
8qEC6inxwwI,2020-10-19,14
8qEC6inxwwI,2020-10-20,5
8qEC6inxwwI,2020-10-21,6
8qEC6inxwwI,2020-10-22,6
8qEC6inxwwI,2020-10-23,5
8qEC6inxwwI,2020-10-24,8
8qEC6inxwwI,2020-10-25,7
8qEC6inxwwI,2020-10-26,3
8qEC6inxwwI,2020-10-27,4
8qEC6inxwwI,2020-10-28,3
8qEC6inxwwI,2020-10-29,4
8qEC6inxwwI,2020-10-30,9
8qEC6inxwwI,2020-10-31,4
8qEC6inxwwI,2020-11-01,2
8qEC6inxwwI,2020-11-02,8
8qEC6inxwwI,2020-11-03,9
8qEC6inxwwI,2020-11-04,5
8qEC6inxwwI,2020-11-05,1
8qEC6inxwwI,2020-11-06,2
8qEC6inxwwI,2020-11-07,3
8qEC6inxwwI,2020-11-08,6
8qEC6inxwwI,2020-11-09,3
8qEC6inxwwI,2020-11-10,3
8qEC6inxwwI,2020-11-11,5
8qEC6inxwwI,2020-11-12,4
8qEC6inxwwI,2020-11-13,3
8qEC6inxwwI,2020-11-14,0
8qEC6inxwwI,2020-11-15,4
8qEC6inxwwI,2020-11-16,5
8qEC6inxwwI,2020-11-17,5
8qEC6inxwwI,2020-11-18,6
8qEC6inxwwI,2020-11-19,1
8qEC6inxwwI,2020-11-20,4
8qEC6inxwwI,2020-11-21,3
8qEC6inxwwI,2020-11-22,3
8qEC6inxwwI,2020-11-23,2
8qEC6inxwwI,2020-11-24,5
8qEC6inxwwI,2020-11-25,6
8qEC6inxwwI,2020-11-26,8
8qEC6inxwwI,2020-11-27,5
8qEC6inxwwI,2020-11-28,9
8qEC6inxwwI,2020-11-29,5
8qEC6inxwwI,2020-11-30,2
8qEC6inxwwI,2020-12-01,7
8qEC6inxwwI,2020-12-02,4
8qEC6inxwwI,2020-12-03,1
8qEC6inxwwI,2020-12-04,8
8qEC6inxwwI,2020-12-05,2
8qEC6inxwwI,2020-12-06,7
8qEC6inxwwI,2020-12-07,3
8qEC6inxwwI,2020-12-08,4
8qEC6inxwwI,2020-12-09,5
8qEC6inxwwI,2020-12-10,4
8qEC6inxwwI,2020-12-11,8
8qEC6inxwwI,2020-12-12,14
8qEC6inxwwI,2020-12-13,26
8qEC6inxwwI,2020-12-14,17
