day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-09-27,19,0,0,1,0,3,0,0,116,0,368,67.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-09-28,22,4,0,0,0,0,0,0,107,25,292,53.57999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-09-29,32,8,1,1,0,0,0,0,230,68,431,79.11,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-09-30,33678,2621,251,1962,39,2201,304,173,207242,16754,369,67.62,0,0,0,0,0,0,0,0.39799999999999996,0.031200000000000002,711,16439,283,513,116,13
2019-10-01,30271,2175,141,1105,35,1302,333,121,177185,13654,351,64.32,0,0,0,0,0,0,0,0.4094,0.0275,508,13455,208,370,210,10
2019-10-02,22073,1594,85,624,30,859,285,82,117671,9309,319,58.58,0,0,0,0,0,0,0,0.3824,0.0327,353,9093,135,297,175,10
2019-10-03,19642,1426,57,604,25,1012,213,74,93880,7881,286,52.52,0,0,0,0,0,0,0,0.3778,0.037000000000000005,405,7831,153,290,232,8
2019-10-04,13753,931,46,427,23,692,183,62,57651,4836,251,46.07,0,0,0,0,0,0,0,0.33770000000000006,0.0436,302,5072,102,221,170,3
2019-10-05,12510,654,27,336,19,642,161,63,52036,3311,249,45.71,0,0,0,0,0,0,0,0.37070000000000003,0.0429,294,4637,109,199,171,6
2019-10-06,10385,602,24,233,8,464,149,32,43394,3114,250,45.92,0,0,0,0,0,0,0,0.3668,0.0383,199,3762,73,144,143,4
2019-10-07,5689,359,11,139,7,245,90,27,25720,1971,271,49.68,0,0,0,0,0,0,0,0.3661,0.0356,112,2193,41,78,75,1
2019-10-08,3907,279,11,94,2,194,92,22,18503,1609,284,52.04,0,0,0,0,0,0,0,0.4,0.0341,85,1468,34,50,46,2
2019-10-09,2352,188,9,56,2,97,60,9,11261,1051,287,52.61,0,0,0,0,0,0,0,0.42369999999999997,0.0409,59,905,25,37,23,1
