day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,678,47,0,18,0,13,5,0,5626,328,497,56.97,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2019-01-02,602,35,0,14,0,8,7,1,4842,293,482,55.230000000000004,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1
2019-01-03,661,35,0,11,1,8,11,0,5511,340,500,57.24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2019-01-04,696,34,0,16,0,13,12,1,5837,306,503,57.58,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-01-05,518,25,0,8,0,7,6,1,4426,257,512,58.67,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-01-06,652,33,0,14,0,13,8,0,5463,339,502,57.53,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-01-07,3000,38,1,15,0,24,6,13,12081,255,241,27.65,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0
2019-01-08,2487,29,1,6,0,23,7,9,10330,242,249,28.52,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0
2019-01-09,843,28,0,12,0,15,4,0,5401,226,384,43.99,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
2019-01-10,659,23,2,13,1,10,3,0,4329,172,394,45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-01-11,847,47,1,15,1,19,4,1,6608,343,468,53.56000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
2019-01-12,1075,63,4,21,0,19,6,1,9357,623,522,59.760000000000005,0,0,0,0,0,0,0,0,0,0,7,0,0,15,1
2019-01-13,1213,81,1,24,1,23,12,0,10107,689,499,57.2,0,0,0,0,0,0,0,0,0,0,13,0,0,8,0
2019-01-14,1528,108,1,45,0,32,5,8,12463,964,489,56.00000000000001,0,0,0,0,0,0,0,0,0,0,22,0,0,16,0
2019-01-15,1412,104,2,46,0,27,10,3,11288,881,479,54.88000000000001,0,0,0,0,0,0,0,0,0,0,24,0,0,22,0
2019-01-16,1195,84,1,26,1,29,8,6,9371,766,470,53.839999999999996,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0
2019-01-17,938,55,1,24,0,19,10,2,7492,463,479,54.84,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0
2019-01-18,958,58,0,22,1,33,9,2,7212,583,451,51.690000000000005,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0
2019-01-19,1306,76,0,23,0,27,13,2,10424,760,478,54.79999999999999,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0
2019-01-20,1697,98,2,27,0,33,13,1,12973,859,458,52.47999999999999,0,0,0,0,0,0,0,0,0,0,17,0,0,13,0
2019-01-21,1308,91,1,19,0,28,8,2,9961,741,456,52.28,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0
2019-01-22,1166,66,2,21,1,32,8,1,9065,555,466,53.37,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0
2019-01-23,938,64,1,18,1,22,4,2,7530,559,481,55.11000000000001,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
2019-01-24,934,37,2,18,0,16,13,5,7168,273,460,52.68999999999999,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0
2019-01-25,941,38,1,16,0,23,11,3,7320,374,466,53.410000000000004,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0
2019-01-26,1022,53,1,14,0,19,8,5,7605,504,446,51.09,0,0,0,0,0,0,0,0,0,0,9,0,0,6,1
2019-01-27,1018,57,2,13,0,19,7,1,8241,521,485,55.58,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
2019-01-28,851,37,0,12,0,12,4,0,6427,315,453,51.849999999999994,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0
2019-01-29,910,47,1,18,0,19,5,0,6683,425,440,50.42,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0
2019-01-30,885,53,0,26,0,23,4,1,6632,434,449,51.45000000000001,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0
2019-01-31,799,51,0,14,0,21,2,2,5632,458,423,48.4,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0
2019-02-01,830,43,1,8,0,17,8,1,6651,359,480,55.010000000000005,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
2019-02-02,1194,77,4,18,1,24,8,0,10031,724,504,57.67,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0
2019-02-03,1291,87,2,16,0,26,8,4,10414,853,484,55.38000000000001,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0
2019-02-04,1101,62,0,17,0,16,6,0,8515,540,464,53.09,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0
2019-02-05,1090,45,2,16,0,12,2,2,8957,493,493,56.42,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0
2019-02-06,1058,55,0,22,0,33,31,0,9057,565,513,58.77,0,0,0,0,0,0,0,0,0,0,13,0,0,7,2
2019-02-07,966,64,1,17,0,25,9,0,8117,580,504,57.69,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0
2019-02-08,894,56,0,11,0,11,7,3,7359,545,493,56.50999999999999,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0
2019-02-09,799,39,1,5,1,11,4,0,6127,372,460,52.65,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0
2019-02-10,717,44,1,15,0,7,3,3,5906,443,494,56.55,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0
2019-02-11,625,43,0,9,1,12,7,0,5391,401,517,59.21999999999999,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0
2019-02-12,648,36,0,12,0,13,7,2,5163,363,478,54.7,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
2019-02-13,589,11,1,11,0,15,9,3,4542,112,462,52.95000000000001,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0
2019-02-14,649,26,1,13,1,8,4,2,5373,257,496,56.84,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0
2019-02-15,717,48,0,19,1,10,7,0,5906,411,494,56.56,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0
