videoID,day,likes
98iCzrNRWmQ,2018-08-30,795
98iCzrNRWmQ,2018-08-31,451
98iCzrNRWmQ,2018-09-01,215
98iCzrNRWmQ,2018-09-02,152
98iCzrNRWmQ,2018-09-03,101
98iCzrNRWmQ,2018-09-04,56
98iCzrNRWmQ,2018-09-05,50
98iCzrNRWmQ,2018-09-06,36
98iCzrNRWmQ,2018-09-07,25
98iCzrNRWmQ,2018-09-08,19
98iCzrNRWmQ,2018-09-09,15
98iCzrNRWmQ,2018-09-10,12
98iCzrNRWmQ,2018-09-11,9
98iCzrNRWmQ,2018-09-12,5
98iCzrNRWmQ,2018-09-13,10
98iCzrNRWmQ,2018-09-14,10
98iCzrNRWmQ,2018-09-15,15
98iCzrNRWmQ,2018-09-16,14
98iCzrNRWmQ,2018-09-17,16
98iCzrNRWmQ,2018-09-18,26
98iCzrNRWmQ,2018-09-19,42
98iCzrNRWmQ,2018-09-20,20
98iCzrNRWmQ,2018-09-21,7
98iCzrNRWmQ,2018-09-22,7
98iCzrNRWmQ,2018-09-23,11
98iCzrNRWmQ,2018-09-24,5
98iCzrNRWmQ,2018-09-25,6
98iCzrNRWmQ,2018-09-26,5
98iCzrNRWmQ,2018-09-27,8
98iCzrNRWmQ,2018-09-28,6
98iCzrNRWmQ,2018-09-29,7
98iCzrNRWmQ,2018-09-30,4
98iCzrNRWmQ,2018-10-01,3
98iCzrNRWmQ,2018-10-02,4
98iCzrNRWmQ,2018-10-03,2
98iCzrNRWmQ,2018-10-04,2
98iCzrNRWmQ,2018-10-05,1
98iCzrNRWmQ,2018-10-06,6
98iCzrNRWmQ,2018-10-07,1
98iCzrNRWmQ,2018-10-08,0
98iCzrNRWmQ,2018-10-09,3
98iCzrNRWmQ,2018-10-10,3
98iCzrNRWmQ,2018-10-11,1
98iCzrNRWmQ,2018-10-12,5
98iCzrNRWmQ,2018-10-13,10
98iCzrNRWmQ,2018-10-14,24
98iCzrNRWmQ,2018-10-15,23
98iCzrNRWmQ,2018-10-16,13
98iCzrNRWmQ,2018-10-17,17
98iCzrNRWmQ,2018-10-18,14
98iCzrNRWmQ,2018-10-19,12
98iCzrNRWmQ,2018-10-20,12
98iCzrNRWmQ,2018-10-21,8
98iCzrNRWmQ,2018-10-22,12
98iCzrNRWmQ,2018-10-23,6
98iCzrNRWmQ,2018-10-24,8
98iCzrNRWmQ,2018-10-25,11
98iCzrNRWmQ,2018-10-26,14
98iCzrNRWmQ,2018-10-27,11
98iCzrNRWmQ,2018-10-28,20
98iCzrNRWmQ,2018-10-29,18
98iCzrNRWmQ,2018-10-30,16
98iCzrNRWmQ,2018-10-31,8
98iCzrNRWmQ,2018-11-01,8
98iCzrNRWmQ,2018-11-02,18
98iCzrNRWmQ,2018-11-03,15
98iCzrNRWmQ,2018-11-04,14
98iCzrNRWmQ,2018-11-05,7
98iCzrNRWmQ,2018-11-06,7
98iCzrNRWmQ,2018-11-07,10
98iCzrNRWmQ,2018-11-08,4
98iCzrNRWmQ,2018-11-09,2
98iCzrNRWmQ,2018-11-10,8
98iCzrNRWmQ,2018-11-11,4
98iCzrNRWmQ,2018-11-12,6
98iCzrNRWmQ,2018-11-13,10
98iCzrNRWmQ,2018-11-14,15
98iCzrNRWmQ,2018-11-15,10
98iCzrNRWmQ,2018-11-16,13
98iCzrNRWmQ,2018-11-17,9
98iCzrNRWmQ,2018-11-18,8
98iCzrNRWmQ,2018-11-19,11
98iCzrNRWmQ,2018-11-20,16
98iCzrNRWmQ,2018-11-21,8
98iCzrNRWmQ,2018-11-22,7
98iCzrNRWmQ,2018-11-23,9
98iCzrNRWmQ,2018-11-24,20
98iCzrNRWmQ,2018-11-25,30
98iCzrNRWmQ,2018-11-26,22
98iCzrNRWmQ,2018-11-27,19
98iCzrNRWmQ,2018-11-28,27
98iCzrNRWmQ,2018-11-29,20
98iCzrNRWmQ,2018-11-30,21
98iCzrNRWmQ,2018-12-01,16
98iCzrNRWmQ,2018-12-02,14
98iCzrNRWmQ,2018-12-03,3
98iCzrNRWmQ,2018-12-04,13
98iCzrNRWmQ,2018-12-05,14
98iCzrNRWmQ,2018-12-06,15
98iCzrNRWmQ,2018-12-07,10
98iCzrNRWmQ,2018-12-08,4
98iCzrNRWmQ,2018-12-09,14
98iCzrNRWmQ,2018-12-10,7
98iCzrNRWmQ,2018-12-11,13
98iCzrNRWmQ,2018-12-12,8
98iCzrNRWmQ,2018-12-13,11
98iCzrNRWmQ,2018-12-14,16
98iCzrNRWmQ,2018-12-15,12
98iCzrNRWmQ,2018-12-16,14
98iCzrNRWmQ,2018-12-17,16
98iCzrNRWmQ,2018-12-18,10
98iCzrNRWmQ,2018-12-19,16
98iCzrNRWmQ,2018-12-20,14
98iCzrNRWmQ,2018-12-21,10
98iCzrNRWmQ,2018-12-22,9
98iCzrNRWmQ,2018-12-23,16
98iCzrNRWmQ,2018-12-24,11
98iCzrNRWmQ,2018-12-25,18
98iCzrNRWmQ,2018-12-26,14
98iCzrNRWmQ,2018-12-27,18
98iCzrNRWmQ,2018-12-28,14
98iCzrNRWmQ,2018-12-29,19
98iCzrNRWmQ,2018-12-30,18
98iCzrNRWmQ,2018-12-31,14
98iCzrNRWmQ,2019-01-01,18
98iCzrNRWmQ,2019-01-02,14
98iCzrNRWmQ,2019-01-03,11
98iCzrNRWmQ,2019-01-04,16
98iCzrNRWmQ,2019-01-05,8
98iCzrNRWmQ,2019-01-06,14
98iCzrNRWmQ,2019-01-07,15
98iCzrNRWmQ,2019-01-08,6
98iCzrNRWmQ,2019-01-09,12
98iCzrNRWmQ,2019-01-10,13
98iCzrNRWmQ,2019-01-11,15
98iCzrNRWmQ,2019-01-12,21
98iCzrNRWmQ,2019-01-13,24
98iCzrNRWmQ,2019-01-14,45
98iCzrNRWmQ,2019-01-15,46
98iCzrNRWmQ,2019-01-16,26
98iCzrNRWmQ,2019-01-17,24
98iCzrNRWmQ,2019-01-18,22
98iCzrNRWmQ,2019-01-19,23
98iCzrNRWmQ,2019-01-20,27
98iCzrNRWmQ,2019-01-21,19
98iCzrNRWmQ,2019-01-22,21
98iCzrNRWmQ,2019-01-23,18
98iCzrNRWmQ,2019-01-24,18
98iCzrNRWmQ,2019-01-25,16
98iCzrNRWmQ,2019-01-26,14
98iCzrNRWmQ,2019-01-27,13
98iCzrNRWmQ,2019-01-28,12
98iCzrNRWmQ,2019-01-29,18
98iCzrNRWmQ,2019-01-30,26
98iCzrNRWmQ,2019-01-31,14
98iCzrNRWmQ,2019-02-01,8
98iCzrNRWmQ,2019-02-02,18
98iCzrNRWmQ,2019-02-03,16
98iCzrNRWmQ,2019-02-04,17
98iCzrNRWmQ,2019-02-05,16
98iCzrNRWmQ,2019-02-06,22
98iCzrNRWmQ,2019-02-07,17
98iCzrNRWmQ,2019-02-08,11
98iCzrNRWmQ,2019-02-09,5
98iCzrNRWmQ,2019-02-10,15
98iCzrNRWmQ,2019-02-11,9
98iCzrNRWmQ,2019-02-12,12
98iCzrNRWmQ,2019-02-13,11
