day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-07-28,48843,5011,163,3760,34,3249,516,196,305623,34571,375,57.489999999999995,0,0,0,0,0,0,0,0.0308,0.009899999999999999,195,10295,6,102,126,21
2020-07-29,24556,2574,49,1432,22,1168,517,89,146882,17586,358,54.96,0,0,0,0,0,0,0,0.023,0.0121,87,4449,2,54,110,8
2020-07-30,11379,1254,15,618,8,584,278,49,65449,7819,345,52.849999999999994,0,0,0,0,0,0,0,0.0968,0.0104,31,2022,3,21,75,3
2020-07-31,26333,2827,41,1187,11,1147,276,65,151663,17664,345,52.92,0,0,0,0,0,0,0,0.0217,0.0058,46,3996,1,23,182,5
2020-08-01,36924,3814,53,1303,21,1603,386,112,194987,22129,316,48.52,0,0,0,0,0,0,0,0.0167,0.0066,60,4973,1,33,247,3
2020-08-02,28155,2848,36,906,17,1276,350,64,145431,16671,309,47.46,0,0,0,0,0,0,0,0.0,0.0068000000000000005,51,3673,0,25,190,2
2020-08-03,16370,1734,15,501,7,651,274,35,88725,10258,325,49.8,0,0,0,0,0,0,0,0.037000000000000005,0.0063,27,2373,1,15,108,4
2020-08-04,10764,1186,8,348,3,468,251,20,61491,7052,342,52.49,0,0,0,0,0,0,0,0.0,0.0077,21,1688,0,13,74,4
2020-08-05,8081,907,7,257,7,314,173,21,45808,5664,340,52.09,0,0,0,0,0,0,0,0.0,0.0083,18,1205,0,10,57,2
2020-08-06,5720,578,8,183,1,236,145,14,33512,3674,351,53.83,0,0,0,0,0,0,0,0.0,0.0024,4,846,0,2,37,1
2020-08-07,4087,455,1,130,1,172,107,8,24645,2824,361,55.40999999999999,0,0,0,0,0,0,0,0.0,0.0067,7,600,0,4,38,6
2020-08-08,4317,500,2,121,3,126,102,14,25711,3119,357,54.730000000000004,0,0,0,0,0,0,0,0.0,0.0084,9,593,0,5,25,2
2020-08-09,4967,626,5,161,0,155,102,15,30168,3999,364,55.81,0,0,0,0,0,0,0,0.0,0.006999999999999999,10,719,0,5,40,1
2020-08-10,4590,575,5,149,4,162,88,13,26795,3606,350,53.64,0,0,0,0,0,0,0,0.0,0.0060999999999999995,6,653,0,4,34,7
2020-08-11,5396,637,6,154,5,181,88,7,30319,3710,337,51.629999999999995,0,0,0,0,0,0,0,0.0,0.0086,15,698,0,6,38,2
2020-08-12,5727,651,4,154,3,205,81,15,30893,3510,323,49.56,0,0,0,0,0,0,0,0.0,0.0052,7,766,0,4,38,1
2020-08-13,4543,476,3,122,2,127,79,14,24529,2841,323,49.61,0,0,0,0,0,0,0,0.0,0.0108,11,555,0,6,26,2
2020-08-14,3884,407,4,86,1,106,60,6,20805,2453,321,49.22,0,0,0,0,0,0,0,0.0,0.004699999999999999,2,428,0,2,19,2
2020-08-15,5364,594,3,138,1,137,59,10,30161,3605,337,51.67,0,0,0,0,0,0,0,0.1429,0.0042,7,717,1,3,24,2
2020-08-16,5312,604,5,124,0,148,84,6,30067,3723,339,52.01,0,0,0,0,0,0,0,0.0,0.0089,8,676,0,6,35,1
2020-08-17,3618,382,2,92,1,83,48,7,19518,2417,323,49.57,0,0,0,0,0,0,0,0.2,0.0044,5,451,1,2,13,0
2020-08-18,3054,334,5,97,4,88,44,14,15977,1975,313,48.07,0,0,0,0,0,0,0,0.0,0.0027,3,375,0,1,28,2
2020-08-19,2477,235,3,60,2,74,59,15,11376,1335,275,42.2,0,0,0,0,0,0,0,0.0,0.0,3,262,0,0,24,2
2020-08-20,2004,197,3,50,2,70,43,10,9953,1191,298,45.64,0,0,0,0,0,0,0,0.0,0.0,4,242,0,0,14,0
2020-08-21,2206,221,1,65,2,51,43,7,11169,1205,303,46.52,0,0,0,0,0,0,0,0.0,0.0,2,294,0,0,12,0
2020-08-22,2387,247,3,61,3,63,41,10,12252,1355,307,47.16,0,0,0,0,0,0,0,0.0,0.0031,4,326,0,1,18,1
2020-08-23,3224,314,4,98,2,96,49,15,15966,1755,297,45.51,0,0,0,0,0,0,0,0.0,0.0,3,452,0,0,33,1
2020-08-24,2692,301,10,68,3,81,38,11,14286,1740,318,48.76,0,0,0,0,0,0,0,0.0,0.004699999999999999,8,427,0,2,17,1
2020-08-25,2298,271,4,67,0,93,44,8,11846,1666,309,47.37,0,0,0,0,0,0,0,0.0,0.003,2,329,0,1,14,1
2020-08-26,2255,244,4,75,0,67,31,6,11798,1379,313,48.07,0,0,0,0,0,0,0,0.0,0.0029,5,349,0,1,16,1
2020-08-27,2542,267,3,60,1,90,39,5,12870,1492,303,46.52,0,0,0,0,0,0,0,0.0,0.0051,3,389,0,2,20,0
2020-08-28,2858,333,4,74,3,81,45,5,16317,1964,342,52.459999999999994,0,0,0,0,0,0,0,0.0,0.0,2,433,0,0,26,0
2020-08-29,3994,484,4,118,4,121,33,14,22262,2831,334,51.22,0,0,0,0,0,0,0,0.0,0.0034999999999999996,5,577,0,2,30,4
2020-08-30,6572,842,8,173,6,177,69,8,35253,4745,321,49.29,0,0,0,0,0,0,0,0.0,0.0032,5,937,0,3,45,1
2020-08-31,5848,678,13,174,3,181,56,5,30519,3729,313,47.95,0,0,0,0,0,0,0,0.0,0.004699999999999999,8,850,0,4,40,1
2020-09-01,3683,419,1,102,3,130,51,7,19713,2529,321,49.18,0,0,0,0,0,0,0,0.0,0.0087,8,578,0,5,40,2
2020-09-02,2831,388,6,76,1,87,58,4,15204,2427,322,49.35,0,0,0,0,0,0,0,0.0,0.0068000000000000005,4,440,0,3,26,1
2020-09-03,2258,263,2,62,2,64,38,2,12497,1586,332,50.85999999999999,0,0,0,0,0,0,0,0.0,0.0,0,331,0,0,17,1
2020-09-04,1759,213,1,60,1,54,35,3,9459,1300,322,49.41,0,0,0,0,0,0,0,0.0,0.0038,2,265,0,1,17,0
2020-09-05,1871,199,4,64,1,53,34,2,9968,1223,319,48.95,0,0,0,0,0,0,0,0.0,0.006999999999999999,4,285,0,2,16,0
2020-09-06,2279,256,2,79,2,75,32,7,12334,1572,324,49.73,0,0,0,0,0,0,0,0.0,0.0031,6,321,0,1,14,2
2020-09-07,2274,280,3,60,2,65,45,3,12469,1708,329,50.38,0,0,0,0,0,0,0,0.0,0.0,2,355,0,0,18,0
2020-09-08,1734,214,1,57,2,55,31,2,9481,1266,328,50.24000000000001,0,0,0,0,0,0,0,0.1429,0.0182,7,275,1,5,25,0
2020-09-09,1519,184,0,42,1,51,28,7,8026,1130,317,48.55,0,0,0,0,0,0,0,0.0,0.0046,1,219,0,1,14,1
2020-09-10,1728,200,0,37,0,55,38,3,9640,1270,334,51.25999999999999,0,0,0,0,0,0,0,0.0,0.0036,2,277,0,1,13,0
2020-09-11,1440,165,0,43,0,27,28,5,7703,1052,320,49.15,0,0,0,0,0,0,0,0.0,0.013300000000000001,5,225,0,3,7,0
2020-09-12,2093,237,1,48,3,49,22,0,11138,1380,319,48.9,0,0,0,0,0,0,0,0.0,0.0034000000000000002,4,296,0,1,17,0
2020-09-13,1830,232,1,59,2,44,32,5,10224,1547,335,51.34000000000001,0,0,0,0,0,0,0,0.3333,0.0068000000000000005,3,294,1,2,14,0
2020-09-14,1632,204,1,35,0,42,34,3,8982,1133,330,50.57000000000001,0,0,0,0,0,0,0,0.0,0.0037,1,273,0,1,14,0
2020-09-15,1699,223,3,42,2,46,28,8,9143,1350,322,49.45,0,0,0,0,0,0,0,0.0,0.0079,3,254,0,2,9,0
2020-09-16,1940,219,4,40,1,65,30,2,10388,1287,321,49.2,0,0,0,0,0,0,0,0.0,0.0034000000000000002,4,298,0,1,18,2
2020-09-17,1624,198,1,33,0,38,17,3,8854,1187,327,50.1,0,0,0,0,0,0,0,0.0,0.0038,2,262,0,1,9,0
2020-09-18,1244,162,0,22,1,23,23,4,6900,973,332,50.970000000000006,0,0,0,0,0,0,0,0.0,0.011399999999999999,2,176,0,2,12,0
2020-09-19,1665,198,2,26,0,32,15,3,9260,1212,333,51.1,0,0,0,0,0,0,0,0.0,0.0,3,218,0,0,7,0
2020-09-20,2013,240,2,38,0,48,22,1,10527,1329,313,48.05,0,0,0,0,0,0,0,0.0,0.0,3,259,0,0,13,0
2020-09-21,1990,238,1,35,2,45,17,4,10517,1321,317,48.56,0,0,0,0,0,0,0,0.0,0.012199999999999999,5,245,0,3,16,0
2020-09-22,2387,258,2,44,1,66,26,4,12253,1440,307,47.17,0,0,0,0,0,0,0,0.0,0.0037,2,268,0,1,12,0
2020-09-23,3236,319,6,56,3,93,37,2,17466,1920,323,49.59,0,0,0,0,0,0,0,0.0,0.0,3,455,0,0,20,0
2020-09-24,2260,240,0,42,1,51,27,3,12224,1390,324,49.7,0,0,0,0,0,0,0,0.0,0.0,1,322,0,0,9,0
2020-09-25,1712,233,1,40,-1,43,24,2,9183,1325,321,49.29,0,0,0,0,0,0,0,0.0,0.0044,1,226,0,1,10,0
2020-09-26,2249,236,2,29,2,37,22,1,12155,1414,324,49.66,0,0,0,0,0,0,0,0.0,0.0,4,253,0,0,9,0
2020-09-27,2186,255,3,33,0,38,30,5,11964,1324,328,50.29,0,0,0,0,0,0,0,0.0,0.0042,1,238,0,1,8,0
2020-09-28,1946,205,1,33,0,47,24,1,10614,1238,327,50.12,0,0,0,0,0,0,0,0.0,0.0040999999999999995,1,243,0,1,15,1
2020-09-29,1407,131,3,21,0,41,24,1,7371,796,314,48.14,0,0,0,0,0,0,0,0.0,0.0060999999999999995,1,164,0,1,6,0
2020-09-30,1433,127,0,20,0,33,28,3,8072,757,338,51.76,0,0,0,0,0,0,0,0.0,0.0,0,176,0,0,5,0
2020-10-01,1602,161,1,30,0,36,24,2,8832,915,330,50.66,0,0,0,0,0,0,0,0.0,0.0,1,171,0,0,11,0
2020-10-02,1301,112,3,24,1,27,18,3,7130,703,328,50.36000000000001,0,0,0,0,0,0,0,0.0,0.018000000000000002,4,167,0,3,7,0
2020-10-03,1678,148,1,16,0,25,17,2,9430,931,337,51.64,0,0,0,0,0,0,0,0.0,0.005,2,199,0,1,1,0
2020-10-04,2502,238,1,40,1,48,25,2,13783,1562,330,50.62,0,0,0,0,0,0,0,0.0,0.0,2,266,0,0,13,0
2020-10-05,2297,232,2,37,1,64,25,4,12647,1494,330,50.59,0,0,0,0,0,0,0,0.0,0.0038,3,262,0,1,14,1
2020-10-06,2185,205,2,38,0,42,21,7,11837,1324,325,49.78,0,0,0,0,0,0,0,0.0,0.011899999999999999,4,253,0,3,6,0
2020-10-07,2180,233,1,33,1,49,17,6,12093,1441,332,50.970000000000006,0,0,0,0,0,0,0,0.0,0.008199999999999999,2,243,0,2,13,0
2020-10-08,1838,190,1,37,0,43,24,3,10663,1084,348,53.31,0,0,0,0,0,0,0,0.0,0.0,0,231,0,0,8,0
2020-10-09,1725,182,1,28,1,39,20,3,9806,992,341,52.239999999999995,0,0,0,0,0,0,0,0.0,0.0,1,207,0,0,17,2
2020-10-10,2179,222,2,25,2,42,30,4,12332,1364,339,52.0,0,0,0,0,0,0,0,0.0,0.0,3,230,0,0,7,0
2020-10-11,3106,328,3,57,1,58,18,1,16709,2006,322,49.43,0,0,0,0,0,0,0,0.0,0.0105,5,380,0,4,17,0
2020-10-12,2183,185,0,28,3,45,18,3,11370,1097,312,47.86,0,0,0,0,0,0,0,0.0,0.0045000000000000005,1,222,0,1,5,0
2020-10-13,2493,204,3,36,3,60,28,3,13271,1133,319,48.92,0,0,0,0,0,0,0,0.0,0.0,3,280,0,0,13,0
2020-10-14,1257,94,0,19,0,25,19,4,6718,627,320,49.11,0,0,0,0,0,0,0,0.0,0.0,1,162,0,0,4,1
