videoID,day,likes
9BV8X76iLF8,2020-07-28,3760
9BV8X76iLF8,2020-07-29,1432
9BV8X76iLF8,2020-07-30,618
9BV8X76iLF8,2020-07-31,1187
9BV8X76iLF8,2020-08-01,1303
9BV8X76iLF8,2020-08-02,906
9BV8X76iLF8,2020-08-03,501
9BV8X76iLF8,2020-08-04,348
9BV8X76iLF8,2020-08-05,257
9BV8X76iLF8,2020-08-06,183
9BV8X76iLF8,2020-08-07,130
9BV8X76iLF8,2020-08-08,121
9BV8X76iLF8,2020-08-09,161
9BV8X76iLF8,2020-08-10,149
9BV8X76iLF8,2020-08-11,154
9BV8X76iLF8,2020-08-12,154
9BV8X76iLF8,2020-08-13,122
9BV8X76iLF8,2020-08-14,86
9BV8X76iLF8,2020-08-15,138
9BV8X76iLF8,2020-08-16,124
9BV8X76iLF8,2020-08-17,92
9BV8X76iLF8,2020-08-18,97
9BV8X76iLF8,2020-08-19,60
9BV8X76iLF8,2020-08-20,50
9BV8X76iLF8,2020-08-21,65
9BV8X76iLF8,2020-08-22,61
9BV8X76iLF8,2020-08-23,98
9BV8X76iLF8,2020-08-24,68
9BV8X76iLF8,2020-08-25,67
9BV8X76iLF8,2020-08-26,75
9BV8X76iLF8,2020-08-27,60
9BV8X76iLF8,2020-08-28,74
9BV8X76iLF8,2020-08-29,118
9BV8X76iLF8,2020-08-30,173
9BV8X76iLF8,2020-08-31,174
9BV8X76iLF8,2020-09-01,102
9BV8X76iLF8,2020-09-02,76
9BV8X76iLF8,2020-09-03,62
9BV8X76iLF8,2020-09-04,60
9BV8X76iLF8,2020-09-05,64
9BV8X76iLF8,2020-09-06,79
9BV8X76iLF8,2020-09-07,60
9BV8X76iLF8,2020-09-08,57
9BV8X76iLF8,2020-09-09,42
9BV8X76iLF8,2020-09-10,37
9BV8X76iLF8,2020-09-11,43
9BV8X76iLF8,2020-09-12,48
9BV8X76iLF8,2020-09-13,59
9BV8X76iLF8,2020-09-14,35
9BV8X76iLF8,2020-09-15,42
9BV8X76iLF8,2020-09-16,40
9BV8X76iLF8,2020-09-17,33
9BV8X76iLF8,2020-09-18,22
9BV8X76iLF8,2020-09-19,26
9BV8X76iLF8,2020-09-20,38
9BV8X76iLF8,2020-09-21,35
9BV8X76iLF8,2020-09-22,44
9BV8X76iLF8,2020-09-23,56
9BV8X76iLF8,2020-09-24,42
9BV8X76iLF8,2020-09-25,40
9BV8X76iLF8,2020-09-26,29
