day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-05-05,19848,2717,73,1753,25,1245,360,80,17579,2685,53,88.57,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6
2021-05-06,10151,1363,20,856,9,354,255,65,9250,1296,54,91.13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
2021-05-07,7054,962,12,535,9,141,89,34,7106,959,60,100.73999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-05-08,7059,708,8,375,8,119,66,33,5387,726,45,76.32,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2
2021-05-09,6405,715,6,365,15,109,57,19,5139,646,48,80.24,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
2021-05-10,6934,769,9,386,11,108,47,37,5827,741,50,84.05,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
2021-05-11,7738,806,4,402,12,80,54,34,6454,745,50,83.41,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
2021-05-12,9379,1026,6,570,8,105,51,46,7635,940,48,81.41,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
2021-05-13,8031,807,6,496,10,81,37,28,6655,874,49,82.87,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1
2021-05-14,6342,707,1,388,8,72,29,23,5056,623,47,79.73,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4
2021-05-15,5723,697,6,312,6,53,26,26,4482,612,46,78.32,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
2021-05-16,10053,1169,7,574,19,63,28,37,8591,1042,51,85.46,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
2021-05-17,12161,1369,3,659,12,56,27,47,10671,1167,52,87.75,0,0,0,0,0,0,0,0,0,0,0,0,0,77,3
2021-05-18,9338,1134,7,496,18,33,24,31,7915,1099,50,84.77,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
2021-05-19,5113,561,2,268,16,22,15,20,4353,570,51,85.15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2021-05-20,5074,584,1,290,15,22,26,24,4159,561,49,81.98,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
2021-05-21,5468,507,7,304,7,16,11,22,4291,510,47,78.48,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
2021-05-22,6608,624,6,370,10,18,9,31,4871,691,44,73.72,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
2021-05-23,6457,628,3,316,12,31,15,20,5080,733,47,78.68,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
2021-05-24,6461,691,5,359,11,28,23,43,4924,609,45,76.21,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2
2021-05-25,6267,705,4,385,7,14,13,36,5065,609,48,80.82,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
2021-05-26,5424,564,3,334,7,18,8,31,4290,472,47,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
