videoID,day,likes
9T8lLtlZ8Xs,2021-05-05,1753
9T8lLtlZ8Xs,2021-05-06,856
9T8lLtlZ8Xs,2021-05-07,535
9T8lLtlZ8Xs,2021-05-08,375
9T8lLtlZ8Xs,2021-05-09,365
9T8lLtlZ8Xs,2021-05-10,386
9T8lLtlZ8Xs,2021-05-11,402
9T8lLtlZ8Xs,2021-05-12,570
9T8lLtlZ8Xs,2021-05-13,496
9T8lLtlZ8Xs,2021-05-14,388
9T8lLtlZ8Xs,2021-05-15,312
9T8lLtlZ8Xs,2021-05-16,574
9T8lLtlZ8Xs,2021-05-17,659
9T8lLtlZ8Xs,2021-05-18,496
9T8lLtlZ8Xs,2021-05-19,268
9T8lLtlZ8Xs,2021-05-20,290
9T8lLtlZ8Xs,2021-05-21,304
9T8lLtlZ8Xs,2021-05-22,370
9T8lLtlZ8Xs,2021-05-23,316
9T8lLtlZ8Xs,2021-05-24,359
9T8lLtlZ8Xs,2021-05-25,385
9T8lLtlZ8Xs,2021-05-26,334
9T8lLtlZ8Xs,2021-05-27,285
9T8lLtlZ8Xs,2021-05-28,235
9T8lLtlZ8Xs,2021-05-29,248
9T8lLtlZ8Xs,2021-05-30,247
9T8lLtlZ8Xs,2021-05-31,203
9T8lLtlZ8Xs,2021-06-01,201
9T8lLtlZ8Xs,2021-06-02,248
9T8lLtlZ8Xs,2021-06-03,266
9T8lLtlZ8Xs,2021-06-04,287
9T8lLtlZ8Xs,2021-06-05,234
9T8lLtlZ8Xs,2021-06-06,217
9T8lLtlZ8Xs,2021-06-07,172
9T8lLtlZ8Xs,2021-06-08,188
9T8lLtlZ8Xs,2021-06-09,140
9T8lLtlZ8Xs,2021-06-10,165
9T8lLtlZ8Xs,2021-06-11,132
9T8lLtlZ8Xs,2021-06-12,104
9T8lLtlZ8Xs,2021-06-13,124
9T8lLtlZ8Xs,2021-06-14,99
9T8lLtlZ8Xs,2021-06-15,104
9T8lLtlZ8Xs,2021-06-16,116
9T8lLtlZ8Xs,2021-06-17,77
9T8lLtlZ8Xs,2021-06-18,71
9T8lLtlZ8Xs,2021-06-19,74
9T8lLtlZ8Xs,2021-06-20,102
9T8lLtlZ8Xs,2021-06-21,83
9T8lLtlZ8Xs,2021-06-22,70
9T8lLtlZ8Xs,2021-06-23,63
9T8lLtlZ8Xs,2021-06-24,61
9T8lLtlZ8Xs,2021-06-25,68
9T8lLtlZ8Xs,2021-06-26,66
9T8lLtlZ8Xs,2021-06-27,71
9T8lLtlZ8Xs,2021-06-28,64
9T8lLtlZ8Xs,2021-06-29,46
9T8lLtlZ8Xs,2021-06-30,57
9T8lLtlZ8Xs,2021-07-01,47
9T8lLtlZ8Xs,2021-07-02,65
9T8lLtlZ8Xs,2021-07-03,55
9T8lLtlZ8Xs,2021-07-04,55
9T8lLtlZ8Xs,2021-07-05,59
9T8lLtlZ8Xs,2021-07-06,37
9T8lLtlZ8Xs,2021-07-07,51
9T8lLtlZ8Xs,2021-07-08,39
9T8lLtlZ8Xs,2021-07-09,30
9T8lLtlZ8Xs,2021-07-10,42
9T8lLtlZ8Xs,2021-07-11,33
9T8lLtlZ8Xs,2021-07-12,29
9T8lLtlZ8Xs,2021-07-13,31
9T8lLtlZ8Xs,2021-07-14,40
9T8lLtlZ8Xs,2021-07-15,56
9T8lLtlZ8Xs,2021-07-16,58
9T8lLtlZ8Xs,2021-07-17,68
9T8lLtlZ8Xs,2021-07-18,58
9T8lLtlZ8Xs,2021-07-19,71
9T8lLtlZ8Xs,2021-07-20,55
9T8lLtlZ8Xs,2021-07-21,52
9T8lLtlZ8Xs,2021-07-22,38
9T8lLtlZ8Xs,2021-07-23,31
9T8lLtlZ8Xs,2021-07-24,37
9T8lLtlZ8Xs,2021-07-25,45
9T8lLtlZ8Xs,2021-07-26,33
9T8lLtlZ8Xs,2021-07-27,23
9T8lLtlZ8Xs,2021-07-28,25
9T8lLtlZ8Xs,2021-07-29,25
9T8lLtlZ8Xs,2021-07-30,25
9T8lLtlZ8Xs,2021-07-31,36
9T8lLtlZ8Xs,2021-08-01,31
9T8lLtlZ8Xs,2021-08-02,35
9T8lLtlZ8Xs,2021-08-03,30
9T8lLtlZ8Xs,2021-08-04,25
9T8lLtlZ8Xs,2021-08-05,24
9T8lLtlZ8Xs,2021-08-06,17
9T8lLtlZ8Xs,2021-08-07,34
9T8lLtlZ8Xs,2021-08-08,41
9T8lLtlZ8Xs,2021-08-09,34
9T8lLtlZ8Xs,2021-08-10,32
9T8lLtlZ8Xs,2021-08-11,19
9T8lLtlZ8Xs,2021-08-12,20
9T8lLtlZ8Xs,2021-08-13,38
9T8lLtlZ8Xs,2021-08-14,35
9T8lLtlZ8Xs,2021-08-15,35
9T8lLtlZ8Xs,2021-08-16,36
9T8lLtlZ8Xs,2021-08-17,38
9T8lLtlZ8Xs,2021-08-18,40
9T8lLtlZ8Xs,2021-08-19,49
9T8lLtlZ8Xs,2021-08-20,88
9T8lLtlZ8Xs,2021-08-21,75
9T8lLtlZ8Xs,2021-08-22,60
9T8lLtlZ8Xs,2021-08-23,54
9T8lLtlZ8Xs,2021-08-24,48
9T8lLtlZ8Xs,2021-08-25,34
9T8lLtlZ8Xs,2021-08-26,26
9T8lLtlZ8Xs,2021-08-27,35
9T8lLtlZ8Xs,2021-08-28,36
9T8lLtlZ8Xs,2021-08-29,42
9T8lLtlZ8Xs,2021-08-30,44
9T8lLtlZ8Xs,2021-08-31,38
9T8lLtlZ8Xs,2021-09-01,33
9T8lLtlZ8Xs,2021-09-02,34
9T8lLtlZ8Xs,2021-09-03,51
9T8lLtlZ8Xs,2021-09-04,62
9T8lLtlZ8Xs,2021-09-05,63
9T8lLtlZ8Xs,2021-09-06,91
9T8lLtlZ8Xs,2021-09-07,69
9T8lLtlZ8Xs,2021-09-08,97
9T8lLtlZ8Xs,2021-09-09,62
9T8lLtlZ8Xs,2021-09-10,45
9T8lLtlZ8Xs,2021-09-11,66
9T8lLtlZ8Xs,2021-09-12,54
9T8lLtlZ8Xs,2021-09-13,62
9T8lLtlZ8Xs,2021-09-14,66
9T8lLtlZ8Xs,2021-09-15,116
9T8lLtlZ8Xs,2021-09-16,104
9T8lLtlZ8Xs,2021-09-17,81
9T8lLtlZ8Xs,2021-09-18,94
9T8lLtlZ8Xs,2021-09-19,84
9T8lLtlZ8Xs,2021-09-20,106
9T8lLtlZ8Xs,2021-09-21,234
9T8lLtlZ8Xs,2021-09-22,247
9T8lLtlZ8Xs,2021-09-23,216
9T8lLtlZ8Xs,2021-09-24,167
9T8lLtlZ8Xs,2021-09-25,60
9T8lLtlZ8Xs,2021-09-26,188
9T8lLtlZ8Xs,2021-09-27,101
9T8lLtlZ8Xs,2021-09-28,85
9T8lLtlZ8Xs,2021-09-29,146
9T8lLtlZ8Xs,2021-09-30,137
9T8lLtlZ8Xs,2021-10-01,99
9T8lLtlZ8Xs,2021-10-02,165
9T8lLtlZ8Xs,2021-10-03,254
