day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-11-28,24319,2678,243,1961,57,1370,300,153,94092,11447,232,54.24,0,0,0,0,0,0,0,0,0,0,0,0,0,40,29
2020-11-29,14814,1398,74,747,17,374,223,89,55822,5964,226,52.83,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4
2020-11-30,25987,2341,87,1103,20,570,167,82,96694,9397,223,52.16,0,0,0,0,0,0,0,0,0,0,0,0,0,115,5
2020-12-01,25062,2112,86,977,26,458,183,104,88692,7983,212,49.61,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3
2020-12-02,22711,1772,65,936,37,477,151,73,77825,6506,205,48.04,0,0,0,0,0,0,0,0,0,0,0,0,0,181,6
2020-12-03,23407,1865,90,879,33,424,118,78,80495,6830,206,48.21,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3
2020-12-04,12991,918,31,538,18,262,104,43,44034,3323,203,47.52,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2
2020-12-05,9037,616,25,310,11,176,82,37,29349,2177,194,45.53,0,0,0,0,0,0,0,0,0,0,0,0,0,64,4
2020-12-06,4310,362,14,131,7,83,57,12,14304,1347,199,46.53,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1
2020-12-07,3950,290,17,138,4,67,45,17,13355,1128,202,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2
2020-12-08,3660,278,6,183,4,75,35,20,11367,987,186,43.54,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6
2020-12-09,4444,322,5,264,9,77,23,18,12959,986,174,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,91,5
2020-12-10,3435,277,11,139,1,52,22,12,10913,876,190,44.54,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3
2020-12-11,3121,231,10,122,5,66,18,14,10291,845,197,46.22,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2
2020-12-12,4173,354,17,147,5,55,38,6,13703,1157,197,46.03,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
2020-12-13,4965,429,11,176,5,64,36,9,16053,1508,194,45.33,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2
2020-12-14,5650,498,20,178,5,89,32,20,17652,1679,187,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1
2020-12-15,4973,396,12,155,8,96,28,10,15548,1405,187,43.83,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2
2020-12-16,3812,336,14,109,5,84,30,11,12089,1134,190,44.46,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
2020-12-17,3214,259,8,117,6,45,26,15,10144,866,189,44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2020-12-18,2971,234,7,88,3,46,15,4,9581,802,193,45.21,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
2020-12-19,2675,229,5,53,4,39,23,9,8731,780,195,45.76,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2020-12-20,2797,255,3,81,3,34,24,3,9247,922,198,46.35,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2020-12-21,2905,210,10,99,4,49,22,5,9571,708,197,46.19,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
2020-12-22,2748,186,10,121,3,54,19,8,8814,693,192,44.97,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
2020-12-23,2139,139,7,74,4,32,25,5,7133,508,200,46.75,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
2020-12-24,2508,175,3,79,1,58,18,12,8264,570,197,46.19,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
2020-12-25,2485,167,3,85,4,33,23,7,8266,595,199,46.63,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2020-12-26,2205,153,4,96,0,39,15,3,7645,591,208,48.61,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2020-12-27,1897,138,8,83,2,26,15,3,6856,552,216,50.67,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2020-12-28,1730,129,4,49,2,51,15,1,6102,531,211,49.45,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2020-12-29,1567,111,11,44,1,31,18,11,5329,381,204,47.68,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2020-12-30,1205,72,4,46,2,21,11,1,4279,273,213,49.79,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
2020-12-31,1204,75,2,38,0,25,14,1,4253,312,211,49.53,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2021-01-01,1715,130,3,62,1,26,12,4,6026,514,210,49.26,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-01-02,2340,159,2,97,4,26,17,4,8010,559,205,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
2021-01-03,2069,147,5,80,2,28,16,6,6831,588,198,46.29,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2021-01-04,1941,105,2,63,3,37,13,5,6703,428,207,48.41,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-01-05,1573,95,4,59,1,55,15,16,5566,446,212,49.61,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
2021-01-06,1403,81,3,51,0,19,12,8,4910,345,209,49.06,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2021-01-07,1225,60,1,48,0,17,13,7,4007,263,196,45.86,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2021-01-08,1052,79,1,35,2,21,13,4,3751,327,213,49.99,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-01-09,1437,86,2,28,1,15,19,5,4950,343,206,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-01-10,1811,128,4,59,2,22,13,1,6236,517,206,48.28,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
2021-01-11,1460,85,1,47,0,17,9,4,4828,361,198,46.37,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-01-12,1654,88,4,54,2,24,9,0,5464,351,198,46.31,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-01-13,1498,74,2,45,1,21,10,1,4607,316,184,43.11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-01-14,1255,72,3,39,2,25,17,3,4096,263,195,45.76,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-01-15,1121,57,2,24,3,13,7,1,3755,233,200,46.96,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2021-01-16,1078,43,3,33,0,13,13,6,3407,165,189,44.31,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
