videoID,day,likes
A-ro3IQDWAA,2020-11-28,1961
A-ro3IQDWAA,2020-11-29,747
A-ro3IQDWAA,2020-11-30,1103
A-ro3IQDWAA,2020-12-01,977
A-ro3IQDWAA,2020-12-02,936
A-ro3IQDWAA,2020-12-03,879
A-ro3IQDWAA,2020-12-04,538
A-ro3IQDWAA,2020-12-05,310
A-ro3IQDWAA,2020-12-06,131
A-ro3IQDWAA,2020-12-07,138
A-ro3IQDWAA,2020-12-08,183
A-ro3IQDWAA,2020-12-09,264
A-ro3IQDWAA,2020-12-10,139
A-ro3IQDWAA,2020-12-11,122
A-ro3IQDWAA,2020-12-12,147
A-ro3IQDWAA,2020-12-13,176
A-ro3IQDWAA,2020-12-14,178
A-ro3IQDWAA,2020-12-15,155
A-ro3IQDWAA,2020-12-16,109
A-ro3IQDWAA,2020-12-17,117
A-ro3IQDWAA,2020-12-18,88
A-ro3IQDWAA,2020-12-19,53
A-ro3IQDWAA,2020-12-20,81
A-ro3IQDWAA,2020-12-21,99
A-ro3IQDWAA,2020-12-22,121
A-ro3IQDWAA,2020-12-23,74
A-ro3IQDWAA,2020-12-24,79
A-ro3IQDWAA,2020-12-25,85
A-ro3IQDWAA,2020-12-26,96
A-ro3IQDWAA,2020-12-27,83
A-ro3IQDWAA,2020-12-28,49
A-ro3IQDWAA,2020-12-29,44
A-ro3IQDWAA,2020-12-30,46
A-ro3IQDWAA,2020-12-31,38
A-ro3IQDWAA,2021-01-01,62
A-ro3IQDWAA,2021-01-02,97
A-ro3IQDWAA,2021-01-03,80
A-ro3IQDWAA,2021-01-04,63
A-ro3IQDWAA,2021-01-05,59
A-ro3IQDWAA,2021-01-06,51
A-ro3IQDWAA,2021-01-07,48
A-ro3IQDWAA,2021-01-08,35
A-ro3IQDWAA,2021-01-09,28
A-ro3IQDWAA,2021-01-10,59
A-ro3IQDWAA,2021-01-11,47
A-ro3IQDWAA,2021-01-12,54
A-ro3IQDWAA,2021-01-13,45
A-ro3IQDWAA,2021-01-14,39
A-ro3IQDWAA,2021-01-15,24
A-ro3IQDWAA,2021-01-16,33
A-ro3IQDWAA,2021-01-17,38
A-ro3IQDWAA,2021-01-18,35
A-ro3IQDWAA,2021-01-19,17
A-ro3IQDWAA,2021-01-20,24
A-ro3IQDWAA,2021-01-21,31
A-ro3IQDWAA,2021-01-22,29
A-ro3IQDWAA,2021-01-23,23
A-ro3IQDWAA,2021-01-24,33
A-ro3IQDWAA,2021-01-25,28
A-ro3IQDWAA,2021-01-26,30
