day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-08-12,50383,2914,195,2260,40,1560,196,137,344311,21353,410,59.599999999999994,0,0,0,0,0,0,0,0.134,0.0077,209,22039,28,169,129,13
2019-08-13,80755,3668,157,1708,67,1543,418,180,490541,24743,364,52.96999999999999,0,0,0,0,0,0,0,0.125,0.0063,248,31951,31,200,318,13
2019-08-14,39868,1590,54,708,41,783,246,94,233108,10578,350,50.99,0,0,0,0,0,0,0,0.0745,0.0049,94,15594,7,77,177,8
2019-08-15,37724,1435,43,548,21,588,198,79,218144,9230,346,50.43,0,0,0,0,0,0,0,0.041100000000000005,0.0055000000000000005,73,13889,3,76,162,1
2019-08-16,41533,1338,40,454,48,833,161,106,227791,8542,329,47.83,0,0,0,0,0,0,0,0.0833,0.0042,108,17416,9,74,196,4
2019-08-17,53292,1631,69,587,51,988,187,135,297469,10698,334,48.68,0,0,0,0,0,0,0,0.069,0.0043,145,23043,10,100,275,4
2019-08-18,45996,1360,44,421,45,880,165,129,249699,8542,325,47.34,0,0,0,0,0,0,0,0.1438,0.004699999999999999,153,19952,22,93,216,5
2019-08-19,20105,564,16,237,28,458,116,90,99941,3378,298,43.35,0,0,0,0,0,0,0,0.1765,0.0037,68,9609,12,36,97,1
2019-08-20,7062,244,18,111,13,140,92,22,36977,1598,314,45.66,0,0,0,0,0,0,0,0.0526,0.0049,19,3041,1,15,48,2
2019-08-21,5785,172,12,69,4,99,55,15,31170,1092,323,46.99,0,0,0,0,0,0,0,0.1364,0.0048,22,2299,3,11,31,1
2019-08-22,3921,155,3,61,6,68,50,15,22163,943,339,49.3,0,0,0,0,0,0,0,0.0,0.005600000000000001,17,1612,0,9,14,1
2019-08-23,2132,86,4,31,5,57,42,3,11464,521,322,46.9,0,0,0,0,0,0,0,0.0,0.0063,10,945,0,6,15,0
2019-08-24,2417,104,0,39,2,35,31,4,15116,729,375,54.54,0,0,0,0,0,0,0,0.0,0.0021,4,956,0,2,12,1
2019-08-25,2270,99,1,50,3,36,29,7,14715,731,388,56.54,0,0,0,0,0,0,0,0.0,0.0054,7,922,0,5,11,0
2019-08-26,1464,61,5,41,2,25,40,3,9028,331,370,53.78000000000001,0,0,0,0,0,0,0,0.1429,0.0068000000000000005,7,588,1,4,9,1
2019-08-27,1190,57,5,20,2,16,42,2,6786,373,342,49.73,0,0,0,0,0,0,0,0.2857,0.0039000000000000003,7,511,2,2,6,0
2019-08-28,1092,48,2,23,2,18,22,8,6306,341,346,50.36000000000001,0,0,0,0,0,0,0,0.3333,0.0087,6,461,2,4,5,0
2019-08-29,762,34,1,22,1,8,19,2,4614,237,363,52.81,0,0,0,0,0,0,0,0.3333,0.0144,9,348,3,5,7,0
