day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2022-01-15,40753,7944,178,3722,58,4385,592,151,312804,65731,460,62.74000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,132,37
2022-01-16,38380,7302,97,2461,56,2288,723,114,284414,59765,444,60.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,229,31
2022-01-17,33674,6563,64,1853,44,1691,561,86,244590,52691,435,59.37,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,292,30
2022-01-18,14914,3056,40,773,15,698,357,42,109845,24246,441,60.209999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,150,14
2022-01-19,11764,2430,31,563,15,560,269,34,83475,18601,425,57.99999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,87,13
2022-01-20,9803,1942,12,453,12,442,218,33,69389,15242,424,57.86,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,104,10
2022-01-21,10403,2055,21,436,13,548,211,30,72666,15958,419,57.10000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,130,10
2022-01-22,11263,2189,18,557,9,524,180,29,78965,16923,420,57.31,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,129,9
2022-01-23,12683,2499,21,548,12,509,175,30,89618,18924,423,57.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,121,8
2022-01-24,14425,2925,19,566,13,577,196,27,100532,22018,418,56.97,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,166,7
2022-01-25,13034,2552,25,517,27,595,158,24,88670,19017,408,55.61000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,154,10
2022-01-26,12461,2523,19,507,11,535,180,18,84941,18573,408,55.720000000000006,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,197,11
2022-01-27,16301,3193,21,642,17,841,161,29,107732,23508,396,54.02,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,209,9
2022-01-28,12114,2269,14,438,14,591,155,16,78598,16270,389,53.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,152,7
2022-01-29,11794,2198,13,407,16,533,156,16,75450,15887,383,52.290000000000006,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,129,10
2022-01-30,9613,1833,12,291,13,457,158,13,60188,12802,375,51.18000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,127,13
2022-01-31,6934,1319,8,256,9,320,123,15,45122,9447,390,53.18999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,95,10
2022-02-01,5590,1018,6,196,7,207,118,9,36132,7131,387,52.839999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,56,2
2022-02-02,4585,907,7,159,2,211,101,19,30404,6785,397,54.21,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,43,0
2022-02-03,4495,887,7,168,1,203,86,3,29404,6295,392,53.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,71,6
2022-02-04,5546,1051,5,281,3,240,114,16,40238,8348,435,59.31000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,62,2
2022-02-05,6028,1202,5,280,7,234,104,27,43055,9502,428,58.39,0,0,0,0,0,0,0,0.44439999999999996,0.024900000000000002,18,602,8,15,57,0
2022-02-06,6414,1240,4,263,6,228,114,27,46015,9839,430,58.650000000000006,0,0,0,0,0,0,0,0.8,0.0235,20,680,16,16,76,1
2022-02-07,8583,1617,8,362,12,384,123,28,60117,12223,420,57.26,0,0,0,0,0,0,0,0.5667,0.0223,30,986,17,22,123,3
2022-02-08,8109,1647,10,315,8,367,111,14,54741,11974,405,55.17999999999999,0,0,0,0,0,0,0,0.4815,0.0241,27,788,13,19,113,3
2022-02-09,11936,2451,16,426,16,605,108,41,78723,17638,395,53.90999999999999,0,0,0,0,0,0,0,0.6296,0.018000000000000002,27,1166,17,21,176,0
2022-02-10,13238,2581,19,381,23,624,129,31,85526,18493,387,52.81,0,0,0,0,0,0,0,0.5263,0.0139,19,1294,10,18,165,13
2022-02-11,18274,3364,38,523,27,838,149,30,112137,23600,368,50.16,0,0,0,0,0,0,0,0.3529,0.0102,17,1570,6,16,229,5
2022-02-12,16308,3076,28,430,28,844,170,25,101565,21693,373,50.91,0,0,0,0,0,0,0,0.5,0.013300000000000001,24,1430,12,19,259,5
2022-02-13,27038,4905,48,643,46,1287,202,40,164860,33533,365,49.84,0,0,0,0,0,0,0,0.6897,0.0113,29,2473,20,28,336,13
2022-02-14,23040,3745,42,560,37,1035,228,34,135464,26012,352,48.06,0,0,0,0,0,0,0,0.4242,0.012,33,2078,14,25,302,11
2022-02-15,18357,3240,21,406,27,807,233,37,110183,22261,360,49.06,0,0,0,0,0,0,0,0.4286,0.01,21,1501,9,15,236,12
2022-02-16,12822,2342,16,293,28,642,190,21,77110,16230,360,49.16,0,0,0,0,0,0,0,0.6667000000000001,0.0152,18,1050,12,16,159,9
2022-02-17,8275,1538,10,193,24,389,166,18,50596,10815,366,49.98,0,0,0,0,0,0,0,0.5455,0.0148,11,743,6,11,107,3
2022-02-18,6565,1155,15,156,17,287,115,18,39740,7994,363,49.48,0,0,0,0,0,0,0,0.5,0.0068000000000000005,6,587,3,4,78,4
2022-02-19,4450,736,7,92,19,178,108,10,26999,4666,364,49.6,0,0,0,0,0,0,0,0.1429,0.0166,7,422,1,7,68,5
2022-02-20,3628,620,5,86,8,149,128,8,23127,4485,382,52.11,0,0,0,0,0,0,0,0.5556,0.0229,9,349,5,8,44,6
2022-02-21,2259,370,5,47,5,97,92,3,14858,2815,394,53.77000000000001,0,0,0,0,0,0,0,1.0,0.004,1,252,1,1,19,1
2022-02-22,1287,228,2,33,2,43,77,1,8300,1696,386,52.72,0,0,0,0,0,0,0,0.6667000000000001,0.0152,3,132,2,2,10,1
2022-02-23,932,160,0,27,1,27,72,6,5887,1166,379,51.64,0,0,0,0,0,0,0,1.0,0.0089,1,112,1,1,13,0
2022-02-24,876,143,0,27,2,38,58,3,5509,1101,377,51.41,0,0,0,0,0,0,0,0.5,0.0395,4,76,2,3,9,0
2022-02-25,782,143,2,26,1,23,47,1,5257,1073,403,54.96,0,0,0,0,0,0,0,0.5,0.0308,2,65,1,2,12,2
2022-02-26,842,164,0,25,0,34,44,1,5757,1283,410,55.89999999999999,0,0,0,0,0,0,0,0.0,0.0,0,61,0,0,3,0
