videoID,day,likes
AdT5duI716k,2022-01-15,3722
AdT5duI716k,2022-01-16,2461
AdT5duI716k,2022-01-17,1853
AdT5duI716k,2022-01-18,773
AdT5duI716k,2022-01-19,563
AdT5duI716k,2022-01-20,453
AdT5duI716k,2022-01-21,436
AdT5duI716k,2022-01-22,557
AdT5duI716k,2022-01-23,548
AdT5duI716k,2022-01-24,566
AdT5duI716k,2022-01-25,517
AdT5duI716k,2022-01-26,507
AdT5duI716k,2022-01-27,642
AdT5duI716k,2022-01-28,438
AdT5duI716k,2022-01-29,407
AdT5duI716k,2022-01-30,291
AdT5duI716k,2022-01-31,256
AdT5duI716k,2022-02-01,196
AdT5duI716k,2022-02-02,159
AdT5duI716k,2022-02-03,168
AdT5duI716k,2022-02-04,281
AdT5duI716k,2022-02-05,280
AdT5duI716k,2022-02-06,263
AdT5duI716k,2022-02-07,362
AdT5duI716k,2022-02-08,315
AdT5duI716k,2022-02-09,426
AdT5duI716k,2022-02-10,381
AdT5duI716k,2022-02-11,523
AdT5duI716k,2022-02-12,430
AdT5duI716k,2022-02-13,643
AdT5duI716k,2022-02-14,560
AdT5duI716k,2022-02-15,406
AdT5duI716k,2022-02-16,293
AdT5duI716k,2022-02-17,193
AdT5duI716k,2022-02-18,156
AdT5duI716k,2022-02-19,92
AdT5duI716k,2022-02-20,86
AdT5duI716k,2022-02-21,47
AdT5duI716k,2022-02-22,33
AdT5duI716k,2022-02-23,27
AdT5duI716k,2022-02-24,27
AdT5duI716k,2022-02-25,26
AdT5duI716k,2022-02-26,25
AdT5duI716k,2022-02-27,27
AdT5duI716k,2022-02-28,23
AdT5duI716k,2022-03-01,21
AdT5duI716k,2022-03-02,15
AdT5duI716k,2022-03-03,16
AdT5duI716k,2022-03-04,19
AdT5duI716k,2022-03-05,15
AdT5duI716k,2022-03-06,21
AdT5duI716k,2022-03-07,24
AdT5duI716k,2022-03-08,26
AdT5duI716k,2022-03-09,23
AdT5duI716k,2022-03-10,21
AdT5duI716k,2022-03-11,28
AdT5duI716k,2022-03-12,22
AdT5duI716k,2022-03-13,41
AdT5duI716k,2022-03-14,32
