day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,552,38,1,16,0,7,3,1,4006,322,435,54.84,0,0,0,0,0,0,0,0.125,0.0108,8,279,1,3,5,0
2019-01-02,579,34,0,13,0,7,3,1,4536,324,470,59.20000000000001,0,0,0,0,0,0,0,0.0,0.0,2,342,0,0,5,0
2019-01-03,638,37,1,13,0,4,4,1,4390,295,412,52.0,0,0,0,0,0,0,0,0.15380000000000002,0.015300000000000001,13,326,2,5,3,0
2019-01-04,654,28,2,16,0,9,3,0,4739,241,434,54.76,0,0,0,0,0,0,0,0.5,0.006,2,334,1,2,8,1
2019-01-05,605,29,1,8,0,5,1,1,4091,279,405,51.11,0,0,0,0,0,0,0,0.0,0.0113,6,266,0,3,2,0
2019-01-06,613,32,5,18,0,7,1,1,4506,284,441,55.559999999999995,0,0,0,0,0,0,0,0.5,0.0,2,312,1,0,0,0
2019-01-07,531,24,0,11,0,7,1,1,3892,263,439,55.39000000000001,0,0,0,0,0,0,0,0.0,0.0034000000000000002,4,298,0,1,4,0
2019-01-08,498,16,0,5,0,8,2,0,3586,196,432,54.42,0,0,0,0,0,0,0,0.0,0.0078000000000000005,6,257,0,2,1,0
2019-01-09,612,38,0,8,0,2,2,1,4212,329,413,52.019999999999996,0,0,0,0,0,0,0,0.0,0.0034000000000000002,2,290,0,1,3,0
2019-01-10,680,26,1,14,1,6,5,4,5197,296,458,57.76,0,0,0,0,0,0,0,0.5,0.005600000000000001,2,359,1,2,6,0
2019-01-11,894,51,0,15,0,9,2,4,6476,513,434,54.75,0,0,0,0,0,0,0,0.0,0.0,2,438,0,0,4,0
2019-01-12,915,53,0,14,0,16,4,4,6884,513,451,56.85,0,0,0,0,0,0,0,0.25,0.0042,4,476,1,2,6,0
2019-01-13,867,63,0,14,0,6,3,6,6719,551,465,58.57,0,0,0,0,0,0,0,0.25,0.0040999999999999995,8,482,2,2,4,0
2019-01-14,680,26,0,17,1,0,0,3,5248,265,463,58.32999999999999,0,0,0,0,0,0,0,0.0,0.0,0,338,0,0,5,0
2019-01-15,688,41,1,23,1,5,3,5,5306,400,462,58.28,0,0,0,0,0,0,0,0.3333,0.0083,6,361,2,3,8,0
2019-01-16,678,25,2,14,0,9,4,2,4776,246,422,53.23,0,0,0,0,0,0,0,0.16670000000000001,0.0092,6,325,1,3,3,0
2019-01-17,742,33,2,16,1,9,5,2,5297,305,428,53.949999999999996,0,0,0,0,0,0,0,0.0,0.003,4,336,0,1,2,0
2019-01-18,717,47,1,17,0,10,5,4,4998,467,418,52.68000000000001,0,0,0,0,0,0,0,0.25,0.0064,4,311,1,2,5,0
2019-01-19,804,47,0,14,0,5,2,2,6091,461,454,57.26,0,0,0,0,0,0,0,0.2857,0.0254,14,354,4,9,4,0
2019-01-20,785,51,0,11,0,7,4,1,5668,407,433,54.56999999999999,0,0,0,0,0,0,0,0.0,0.003,6,333,0,1,6,0
2019-01-21,689,29,0,13,0,8,4,0,5137,339,447,56.34,0,0,0,0,0,0,0,0.5,0.0032,2,309,1,1,6,0
2019-01-22,630,31,0,6,0,9,5,3,4577,256,435,54.90999999999999,0,0,0,0,0,0,0,0.0,0.0,0,267,0,0,3,0
2019-01-23,658,30,0,4,0,4,0,5,4761,316,434,54.67999999999999,0,0,0,0,0,0,0,0.0,0.0031,2,323,0,1,5,0
2019-01-24,560,21,0,11,0,8,5,3,3846,203,412,51.9,0,0,0,0,0,0,0,0.0,0.0,0,224,0,0,1,0
2019-01-25,570,15,1,17,0,5,3,4,3855,136,405,51.11,0,0,0,0,0,0,0,0.0,0.0,4,266,0,0,3,1
2019-01-26,577,24,0,9,0,5,1,2,4253,245,442,55.71,0,0,0,0,0,0,0,0.0,0.0073,4,273,0,2,1,0
2019-01-27,604,31,0,8,0,5,4,2,4083,243,405,51.09,0,0,0,0,0,0,0,0.0,0.0040999999999999995,2,245,0,1,2,0
2019-01-28,558,21,0,10,0,6,0,5,3362,185,361,45.54,0,0,0,0,0,0,0,0.0,0.0,0,204,0,0,3,0
2019-01-29,539,33,1,6,0,5,1,0,3351,229,373,46.99,0,0,0,0,0,0,0,0.0,0.0,2,177,0,0,1,0
2019-01-30,490,24,0,9,0,1,1,1,3192,226,390,49.24,0,0,0,0,0,0,0,0.0,0.0,2,189,0,0,4,0
2019-01-31,537,25,1,8,1,6,1,0,3305,226,369,46.51,0,0,0,0,0,0,0,0.0,0.0046,2,219,0,1,3,0
2019-02-01,543,26,0,4,0,10,5,0,3316,225,366,46.16,0,0,0,0,0,0,0,0.25,0.0128,4,156,1,2,2,0
2019-02-02,660,44,1,9,0,9,4,3,4785,428,435,54.78999999999999,0,0,0,0,0,0,0,0.5,0.0074,2,270,1,2,3,0
2019-02-03,658,38,0,13,0,4,2,0,4961,424,452,56.98,0,0,0,0,0,0,0,0.2,0.0231,10,303,2,7,11,0
2019-02-04,611,27,2,9,0,5,1,1,4119,199,404,50.95,0,0,0,0,0,0,0,0.16670000000000001,0.0101,6,199,1,2,2,0
2019-02-05,657,39,1,12,1,8,2,4,4503,318,411,51.790000000000006,0,0,0,0,0,0,0,0.0,0.0040999999999999995,4,242,0,1,5,0
2019-02-06,600,33,0,7,2,4,2,0,4035,271,403,50.83,0,0,0,0,0,0,0,0.0,0.0282,8,248,0,7,5,0
2019-02-07,630,37,0,8,0,2,1,4,4662,294,444,55.93,0,0,0,0,0,0,0,0.0833,0.0139,12,287,1,4,4,0
2019-02-08,676,44,0,9,0,5,3,0,4604,393,408,51.46999999999999,0,0,0,0,0,0,0,0.16670000000000001,0.008,6,251,1,2,5,3
2019-02-09,653,30,0,9,1,8,4,1,4525,300,415,52.37,0,0,0,0,0,0,0,0.0,0.0,2,256,0,0,3,0
2019-02-10,684,43,1,11,0,7,1,1,4887,350,428,54.0,0,0,0,0,0,0,0,0.0,0.0192,10,260,0,5,5,0
2019-02-11,583,27,0,8,0,3,3,2,3930,213,404,50.94,0,0,0,0,0,0,0,0.0,0.0044,4,228,0,1,1,0
2019-02-12,542,30,0,8,0,3,3,2,3849,239,426,53.67000000000001,0,0,0,0,0,0,0,0.0,0.0044,2,226,0,1,3,0
2019-02-13,611,27,0,8,1,4,1,1,4353,201,427,53.839999999999996,0,0,0,0,0,0,0,0.0,0.0038,4,261,0,1,4,0
2019-02-14,605,26,0,10,0,7,2,3,4216,221,418,52.67000000000001,0,0,0,0,0,0,0,0.0,0.0036,2,280,0,1,1,0
2019-02-15,760,35,0,15,0,4,1,1,5589,364,441,55.57,0,0,0,0,0,0,0,0.0,0.003,2,333,0,1,3,0
2019-02-16,964,45,1,18,0,6,4,3,6997,431,435,54.85,0,0,0,0,0,0,0,0.16670000000000001,0.0068000000000000005,6,443,1,3,8,1
2019-02-17,1087,61,2,15,0,6,1,6,8635,608,476,60.03000000000001,0,0,0,0,0,0,0,0.0,0.0058,14,518,0,3,6,0
2019-02-18,849,46,0,16,0,10,1,2,6296,467,445,56.05,0,0,0,0,0,0,0,0.0,0.0052,4,381,0,2,2,0
2019-02-19,937,55,3,13,0,4,2,2,7302,532,467,58.89,0,0,0,0,0,0,0,0.125,0.0084,8,474,1,4,3,0
2019-02-20,920,45,1,6,1,6,1,1,6509,372,424,53.47,0,0,0,0,0,0,0,0.0,0.0023,2,439,0,1,3,0
2019-02-21,747,32,0,8,0,6,1,3,5572,318,447,56.37,0,0,0,0,0,0,0,0.0,0.0060999999999999995,6,326,0,2,4,0
2019-02-22,703,24,0,6,0,5,2,2,4838,225,412,52.01,0,0,0,0,0,0,0,0.25,0.0102,4,295,1,3,1,0
2019-02-23,780,36,1,10,0,6,2,0,5494,335,422,53.23,0,0,0,0,0,0,0,0.0,0.0,2,320,0,0,5,0
2019-02-24,756,29,1,9,0,3,2,3,5348,306,424,53.47,0,0,0,0,0,0,0,0.0,0.005600000000000001,6,359,0,2,5,0
2019-02-25,637,32,0,9,0,3,1,3,4375,278,412,51.910000000000004,0,0,0,0,0,0,0,0.1,0.0192,10,260,1,5,5,0
2019-02-26,632,20,1,14,1,4,1,1,4634,207,439,55.40999999999999,0,0,0,0,0,0,0,0.0,0.0070999999999999995,4,283,0,2,2,0
2019-02-27,675,27,0,11,0,5,1,1,4424,258,393,49.53,0,0,0,0,0,0,0,0.16670000000000001,0.0069,6,289,1,2,4,0
2019-02-28,619,28,0,8,0,5,2,2,4289,267,415,52.37,0,0,0,0,0,0,0,0.0,0.0040999999999999995,2,243,0,1,5,0
2019-03-01,575,25,0,7,0,5,3,2,3666,240,382,48.18,0,0,0,0,0,0,0,0.0,0.0046,2,217,0,1,1,0
2019-03-02,547,39,1,10,0,5,6,1,3901,372,427,53.900000000000006,0,0,0,0,0,0,0,0.0,0.0044,4,227,0,1,3,0
2019-03-03,843,68,0,11,0,4,0,0,6925,685,492,62.08,0,0,0,0,0,0,0,0.25,0.005600000000000001,4,356,1,2,9,0
2019-03-04,663,35,0,6,0,2,1,0,4943,347,447,56.34,0,0,0,0,0,0,0,0.0,0.0034999999999999996,2,286,0,1,1,0
2019-03-05,613,41,0,6,0,1,2,0,4524,415,442,55.779999999999994,0,0,0,0,0,0,0,0.0,0.0,0,275,0,0,6,0
2019-03-06,595,32,0,17,1,1,1,4,4146,275,418,52.66,0,0,0,0,0,0,0,0.25,0.0078000000000000005,4,258,1,2,2,0
2019-03-07,572,30,0,9,1,3,1,4,3366,191,353,44.47,0,0,0,0,0,0,0,0.0,0.016399999999999998,8,183,0,3,5,2
2019-03-08,506,29,0,5,0,10,3,0,3050,268,361,45.55,0,0,0,0,0,0,0,0.0,0.017,8,176,0,3,2,0
2019-03-09,484,22,0,16,0,1,4,4,3078,220,381,48.06,0,0,0,0,0,0,0,0.16670000000000001,0.0154,6,195,1,3,5,0
2019-03-10,475,17,0,7,0,5,1,0,3106,151,392,49.42,0,0,0,0,0,0,0,0.5,0.005600000000000001,4,179,2,1,2,0
2019-03-11,452,15,1,8,0,1,0,2,3049,158,404,50.97999999999999,0,0,0,0,0,0,0,0.0,0.0,0,191,0,0,4,0
2019-03-12,453,26,0,6,1,19,2,1,2857,272,378,47.66,0,0,0,0,0,0,0,0.0,0.005699999999999999,2,174,0,1,1,0
2019-03-13,479,23,0,8,0,6,4,2,2928,183,366,46.21,0,0,0,0,0,0,0,0.0,0.0,0,172,0,0,3,0
2019-03-14,527,25,1,5,0,6,2,3,3286,190,374,47.13,0,0,0,0,0,0,0,0.0,0.0,0,211,0,0,1,0
2019-03-15,482,9,0,3,0,3,1,13,2810,55,349,44.06,0,0,0,0,0,0,0,0.0,0.0,6,170,0,0,2,0
2019-03-16,509,27,0,7,0,6,2,3,2934,208,345,43.56,0,0,0,0,0,0,0,0.0,0.024700000000000003,12,162,0,4,2,0
2019-03-17,477,27,0,5,0,5,0,1,2812,249,353,44.56,0,0,0,0,0,0,0,0.5,0.0058,2,172,1,1,1,0
2019-03-18,420,16,0,4,0,4,2,1,2446,140,349,44.02,0,0,0,0,0,0,0,0.5,0.0070999999999999995,2,141,1,1,0,0
