day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-03-03,27139,3570,164,2083,34,1905,386,85,160781,22695,355,63.24999999999999,0,0,0,0,0,0,0,0.45890000000000003,0.0316,438,9189,201,290,48,14
2021-03-04,19296,2380,49,1001,15,541,335,46,109824,14462,341,60.760000000000005,0,0,0,0,0,0,0,0.4481,0.025699999999999997,212,5554,95,143,55,5
2021-03-05,6933,786,15,293,10,169,155,13,38977,5011,337,60.02000000000001,0,0,0,0,0,0,0,0.46299999999999997,0.021400000000000002,54,1870,25,40,13,4
2021-03-06,6601,807,14,286,6,163,105,19,37284,4964,338,60.3,0,0,0,0,0,0,0,0.5156000000000001,0.0268,64,1678,33,45,23,3
2021-03-07,3826,476,5,150,5,89,91,10,21840,2997,342,60.94,0,0,0,0,0,0,0,0.4815,0.014499999999999999,27,1032,13,15,16,2
2021-03-08,2174,273,3,118,2,66,71,12,12500,1636,345,61.39,0,0,0,0,0,0,0,0.46149999999999997,0.0231,26,692,12,16,13,1
2021-03-09,1828,188,4,70,2,39,47,4,10271,1135,337,59.99,0,0,0,0,0,0,0,0.47619999999999996,0.025,21,519,10,13,6,2
2021-03-10,1322,147,0,57,2,26,48,7,7816,983,354,63.12,0,0,0,0,0,0,0,0.3077,0.0254,13,394,4,10,12,2
2021-03-11,846,86,0,45,0,15,23,6,4850,537,344,61.22,0,0,0,0,0,0,0,0.4286,0.0433,14,254,6,11,1,0
2021-03-12,553,62,0,29,1,12,18,4,3022,391,327,58.35,0,0,0,0,0,0,0,0.4286,0.037000000000000005,7,162,3,6,2,0
2021-03-13,477,57,0,21,0,8,21,3,2739,378,344,61.31999999999999,0,0,0,0,0,0,0,0.6667000000000001,0.0443,9,158,6,7,1,3
2021-03-14,455,71,0,23,0,12,27,2,2708,465,357,63.54,0,0,0,0,0,0,0,0.4286,0.042699999999999995,14,164,6,7,2,0
2021-03-15,418,50,0,19,1,17,24,1,2539,376,364,64.86,0,0,0,0,0,0,0,0.4286,0.0231,7,130,3,3,2,1
2021-03-16,353,48,0,13,0,11,19,2,2112,284,359,63.9,0,0,0,0,0,0,0,0.0,0.0169,3,118,0,2,2,0
2021-03-17,403,55,0,15,1,8,8,5,2441,373,363,64.67,0,0,0,0,0,0,0,1.0,0.008,1,125,1,1,2,0
2021-03-18,423,43,0,18,0,10,14,0,2459,253,348,62.07,0,0,0,0,0,0,0,0.0,0.0075,1,134,0,1,1,0
2021-03-19,417,41,1,16,0,5,9,0,2316,281,333,59.3,0,0,0,0,0,0,0,0.5,0.0174,2,115,1,2,0,0
2021-03-20,395,46,0,14,1,12,18,1,2240,301,340,60.57,0,0,0,0,0,0,0,0.2,0.0388,5,103,1,4,3,1
2021-03-21,420,56,0,16,1,14,17,0,2509,380,358,63.78,0,0,0,0,0,0,0,0.5,0.0538,14,130,7,7,1,0
2021-03-22,395,47,2,15,1,5,9,0,2346,330,356,63.43,0,0,0,0,0,0,0,0.4,0.015600000000000001,5,128,2,2,1,0
2021-03-23,358,39,2,13,1,5,14,0,2015,226,337,60.099999999999994,0,0,0,0,0,0,0,0.5,0.0288,4,104,2,3,0,1
2021-03-24,488,68,1,21,1,10,3,2,3053,455,375,66.79,0,0,0,0,0,0,0,0.5,0.023700000000000002,6,169,3,4,0,0
2021-03-25,426,48,1,21,0,11,6,2,2661,359,374,66.71,0,0,0,0,0,0,0,0.6364,0.0519,11,154,7,8,2,0
2021-03-26,360,50,1,18,0,10,8,1,2246,372,374,66.63,0,0,0,0,0,0,0,0.25,0.0174,4,115,1,2,3,1
2021-03-27,377,53,0,13,0,6,9,1,2274,339,361,64.41,0,0,0,0,0,0,0,0.4545,0.0726,11,124,5,9,0,0
2021-03-28,440,48,0,21,0,11,7,1,2735,358,373,66.38,0,0,0,0,0,0,0,0.4,0.0118,5,170,2,2,0,0
2021-03-29,413,55,0,24,0,10,11,0,2414,336,350,62.41,0,0,0,0,0,0,0,0.5,0.015600000000000001,4,128,2,2,2,2
2021-03-30,230,27,0,8,0,7,10,0,1349,176,352,62.63999999999999,0,0,0,0,0,0,0,0.3333,0.044800000000000006,3,67,1,3,1,0
2021-03-31,229,49,0,9,1,8,6,0,1267,282,331,59.07,0,0,0,0,0,0,0,0.5714,0.0862,7,58,4,5,0,0
2021-04-01,266,28,0,11,0,10,9,0,1433,157,323,57.52,0,0,0,0,0,0,0,1.0,0.0,2,68,2,0,0,0
2021-04-02,229,22,0,9,0,6,9,2,1275,147,334,59.47,0,0,0,0,0,0,0,0.3333,0.0725,6,69,2,5,2,0
2021-04-03,230,34,0,10,1,11,5,0,1232,163,321,57.22999999999999,0,0,0,0,0,0,0,0.7,0.1017,10,59,7,6,1,0
2021-04-04,242,31,0,15,0,5,3,0,1413,202,350,62.34,0,0,0,0,0,0,0,0.4286,0.0735,7,68,3,5,1,0
2021-04-05,235,26,0,10,0,0,5,2,1445,156,368,65.66,0,0,0,0,0,0,0,0.7143,0.0556,7,72,5,4,0,0
2021-04-06,225,32,0,8,1,6,6,0,1345,206,358,63.85999999999999,0,0,0,0,0,0,0,0.6667000000000001,0.0366,3,82,2,3,4,0
2021-04-07,208,35,0,7,0,5,10,0,1274,219,367,65.43,0,0,0,0,0,0,0,0.625,0.11939999999999999,8,67,5,8,1,0
2021-04-08,322,38,2,12,0,10,3,0,1761,229,328,58.4,0,0,0,0,0,0,0,0.5455,0.0594,11,101,6,6,0,0
