videoID,day,likes
AzGbxQzmViQ,2021-04-15,2762
AzGbxQzmViQ,2021-04-16,1170
AzGbxQzmViQ,2021-04-17,1194
AzGbxQzmViQ,2021-04-18,870
AzGbxQzmViQ,2021-04-19,589
AzGbxQzmViQ,2021-04-20,469
AzGbxQzmViQ,2021-04-21,366
AzGbxQzmViQ,2021-04-22,427
AzGbxQzmViQ,2021-04-23,466
AzGbxQzmViQ,2021-04-24,479
AzGbxQzmViQ,2021-04-25,475
AzGbxQzmViQ,2021-04-26,402
AzGbxQzmViQ,2021-04-27,577
AzGbxQzmViQ,2021-04-28,468
AzGbxQzmViQ,2021-04-29,527
AzGbxQzmViQ,2021-04-30,484
AzGbxQzmViQ,2021-05-01,384
AzGbxQzmViQ,2021-05-02,503
AzGbxQzmViQ,2021-05-03,401
AzGbxQzmViQ,2021-05-04,415
AzGbxQzmViQ,2021-05-05,447
AzGbxQzmViQ,2021-05-06,501
AzGbxQzmViQ,2021-05-07,414
AzGbxQzmViQ,2021-05-08,517
AzGbxQzmViQ,2021-05-09,439
AzGbxQzmViQ,2021-05-10,399
AzGbxQzmViQ,2021-05-11,471
AzGbxQzmViQ,2021-05-12,369
AzGbxQzmViQ,2021-05-13,495
AzGbxQzmViQ,2021-05-14,358
AzGbxQzmViQ,2021-05-15,444
AzGbxQzmViQ,2021-05-16,416
AzGbxQzmViQ,2021-05-17,477
AzGbxQzmViQ,2021-05-18,444
AzGbxQzmViQ,2021-05-19,430
AzGbxQzmViQ,2021-05-20,424
AzGbxQzmViQ,2021-05-21,336
AzGbxQzmViQ,2021-05-22,219
AzGbxQzmViQ,2021-05-23,211
AzGbxQzmViQ,2021-05-24,187
AzGbxQzmViQ,2021-05-25,193
AzGbxQzmViQ,2021-05-26,293
AzGbxQzmViQ,2021-05-27,226
AzGbxQzmViQ,2021-05-28,215
AzGbxQzmViQ,2021-05-29,225
AzGbxQzmViQ,2021-05-30,182
AzGbxQzmViQ,2021-05-31,169
AzGbxQzmViQ,2021-06-01,172
AzGbxQzmViQ,2021-06-02,243
AzGbxQzmViQ,2021-06-03,216
AzGbxQzmViQ,2021-06-04,257
AzGbxQzmViQ,2021-06-05,244
AzGbxQzmViQ,2021-06-06,270
AzGbxQzmViQ,2021-06-07,275
AzGbxQzmViQ,2021-06-08,249
AzGbxQzmViQ,2021-06-09,214
AzGbxQzmViQ,2021-06-10,184
AzGbxQzmViQ,2021-06-11,197
AzGbxQzmViQ,2021-06-12,167
AzGbxQzmViQ,2021-06-13,206
AzGbxQzmViQ,2021-06-14,167
AzGbxQzmViQ,2021-06-15,160
AzGbxQzmViQ,2021-06-16,132
AzGbxQzmViQ,2021-06-17,114
AzGbxQzmViQ,2021-06-18,116
AzGbxQzmViQ,2021-06-19,145
AzGbxQzmViQ,2021-06-20,120
AzGbxQzmViQ,2021-06-21,111
AzGbxQzmViQ,2021-06-22,78
AzGbxQzmViQ,2021-06-23,93
AzGbxQzmViQ,2021-06-24,104
AzGbxQzmViQ,2021-06-25,105
AzGbxQzmViQ,2021-06-26,103
AzGbxQzmViQ,2021-06-27,112
AzGbxQzmViQ,2021-06-28,112
AzGbxQzmViQ,2021-06-29,128
AzGbxQzmViQ,2021-06-30,108
AzGbxQzmViQ,2021-07-01,104
AzGbxQzmViQ,2021-07-02,88
AzGbxQzmViQ,2021-07-03,62
AzGbxQzmViQ,2021-07-04,65
AzGbxQzmViQ,2021-07-05,66
AzGbxQzmViQ,2021-07-06,68
AzGbxQzmViQ,2021-07-07,75
AzGbxQzmViQ,2021-07-08,55
AzGbxQzmViQ,2021-07-09,79
AzGbxQzmViQ,2021-07-10,72
AzGbxQzmViQ,2021-07-11,75
AzGbxQzmViQ,2021-07-12,92
AzGbxQzmViQ,2021-07-13,100
AzGbxQzmViQ,2021-07-14,132
AzGbxQzmViQ,2021-07-15,122
AzGbxQzmViQ,2021-07-16,102
AzGbxQzmViQ,2021-07-17,60
AzGbxQzmViQ,2021-07-18,93
AzGbxQzmViQ,2021-07-19,111
AzGbxQzmViQ,2021-07-20,62
AzGbxQzmViQ,2021-07-21,75
AzGbxQzmViQ,2021-07-22,85
AzGbxQzmViQ,2021-07-23,80
AzGbxQzmViQ,2021-07-24,53
AzGbxQzmViQ,2021-07-25,49
AzGbxQzmViQ,2021-07-26,37
AzGbxQzmViQ,2021-07-27,62
AzGbxQzmViQ,2021-07-28,60
AzGbxQzmViQ,2021-07-29,35
AzGbxQzmViQ,2021-07-30,39
AzGbxQzmViQ,2021-07-31,46
AzGbxQzmViQ,2021-08-01,52
AzGbxQzmViQ,2021-08-02,63
AzGbxQzmViQ,2021-08-03,60
AzGbxQzmViQ,2021-08-04,58
AzGbxQzmViQ,2021-08-05,51
AzGbxQzmViQ,2021-08-06,41
AzGbxQzmViQ,2021-08-07,42
AzGbxQzmViQ,2021-08-08,48
AzGbxQzmViQ,2021-08-09,56
AzGbxQzmViQ,2021-08-10,48
AzGbxQzmViQ,2021-08-11,53
AzGbxQzmViQ,2021-08-12,26
